player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
derozde01,37.733333333333334,4.0,14.0,0.286,0.0,0.0,,2.0,3.0,0.667,0.0,3.0,3.0,3.0,3.0,1.0,5.0,4.0,10.0,-11.0,DeMar DeRozan,TOR,False,True
lowryky01,36.666666666666664,2.0,13.0,0.154,0.0,7.0,0.0,7.0,10.0,0.7,0.0,1.0,1.0,4.0,0.0,0.0,7.0,5.0,11.0,-14.0,Kyle Lowry,TOR,False,True
johnsja01,34.55,10.0,16.0,0.625,1.0,2.0,0.5,6.0,8.0,0.75,0.0,5.0,5.0,0.0,4.0,4.0,2.0,1.0,27.0,-9.0,James Johnson,TOR,False,True
valanjo01,25.316666666666666,3.0,5.0,0.6,0.0,0.0,,5.0,5.0,1.0,2.0,5.0,7.0,0.0,3.0,0.0,1.0,3.0,11.0,0.0,Jonas Valančiūnas,TOR,False,True
johnsam01,18.933333333333334,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,7.0,7.0,1.0,2.0,0.0,3.0,4.0,0.0,-4.0,Amir Johnson,TOR,False,True
pattepa01,23.566666666666666,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,,2.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,5.0,-17.0,Patrick Patterson,TOR,False,False
vasqugr01,22.35,2.0,7.0,0.286,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,6.0,-27.0,Greivis Vásquez,TOR,False,False
rosste01,20.55,2.0,9.0,0.222,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,6.0,-13.0,Terrence Ross,TOR,False,False
hansbty01,8.133333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,-9.0,Tyler Hansbrough,TOR,False,False
fieldla01,3.8,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Landry Fields,TOR,False,False
hayesch01,3.4333333333333336,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,Chuck Hayes,TOR,False,False
noguelu01,3.1333333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Lucas Nogueira,TOR,False,False
stiemgr01,1.8333333333333335,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Greg Stiemsma,TOR,False,False
motiedo01,30.5,5.0,12.0,0.417,0.0,2.0,0.0,2.0,2.0,1.0,3.0,8.0,11.0,2.0,3.0,2.0,3.0,3.0,12.0,4.0,Donatas Motiejūnas,HOU,True,True
hardeja01,29.3,5.0,12.0,0.417,2.0,6.0,0.333,8.0,10.0,0.8,0.0,5.0,5.0,7.0,2.0,0.0,5.0,2.0,20.0,9.0,James Harden,HOU,True,True
arizatr01,28.366666666666667,3.0,9.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,9.0,9.0,Trevor Ariza,HOU,True,True
beverpa01,25.35,1.0,8.0,0.125,1.0,6.0,0.167,0.0,0.0,,1.0,3.0,4.0,2.0,4.0,0.0,3.0,4.0,3.0,5.0,Patrick Beverley,HOU,True,True
dorsejo01,16.133333333333333,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,6.0,-1.0,Joey Dorsey,HOU,True,True
breweco01,34.53333333333333,12.0,19.0,0.632,0.0,2.0,0.0,2.0,3.0,0.667,2.0,8.0,10.0,2.0,5.0,0.0,3.0,3.0,26.0,27.0,Corey Brewer,HOU,True,False
joneste01,23.566666666666666,3.0,9.0,0.333,0.0,1.0,0.0,5.0,8.0,0.625,4.0,5.0,9.0,1.0,0.0,3.0,1.0,3.0,11.0,28.0,Terrence Jones,HOU,True,False
smithjo03,20.733333333333334,3.0,7.0,0.429,2.0,5.0,0.4,0.0,2.0,0.0,0.0,5.0,5.0,3.0,0.0,3.0,5.0,1.0,8.0,13.0,Josh Smith,HOU,True,False
terryja01,18.85,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,18.0,Jason Terry,HOU,True,False
papanko01,5.066666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Kostas Papanikolaou,HOU,True,False
mcdankj01,3.8,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,K.J. McDaniels,HOU,True,False
prigipa01,3.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,Pablo Prigioni,HOU,True,False
