player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
millspa01,25.05,2.0,13.0,0.154,0.0,3.0,0.0,3.0,4.0,0.75,2.0,3.0,5.0,0.0,1.0,0.0,2.0,3.0,7.0,-18.0,Paul Millsap,ATL,False,True,
bazemke01,23.866666666666667,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,-11.0,Kent Bazemore,ATL,False,True,
schrode01,22.916666666666668,4.0,10.0,0.4,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,2.0,4.0,8.0,-15.0,Dennis Schröder,ATL,False,True,
sefolth01,21.216666666666665,5.0,10.0,0.5,3.0,4.0,0.75,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,3.0,1.0,0.0,13.0,-2.0,Thabo Sefolosha,ATL,False,True,
howardw01,21.05,9.0,9.0,1.0,0.0,0.0,,2.0,3.0,0.667,6.0,6.0,12.0,2.0,2.0,1.0,3.0,2.0,20.0,-9.0,Dwight Howard,ATL,False,True,
korveky01,23.4,2.0,7.0,0.286,2.0,6.0,0.333,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,-24.0,Kyle Korver,ATL,False,False,
delanma01,21.05,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,-9.0,Malcolm Delaney,ATL,False,False,
muscami01,18.3,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,-25.0,Mike Muscala,ATL,False,False,
scottmi01,17.516666666666666,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,5.0,7.0,Mike Scott,ATL,False,False,
bembrde01,16.966666666666665,3.0,4.0,0.75,0.0,0.0,,1.0,3.0,0.333,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,DeAndre' Bembry,ATL,False,False,
humphkr01,10.9,3.0,5.0,0.6,0.0,1.0,0.0,6.0,7.0,0.857,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,12.0,12.0,Kris Humphries,ATL,False,False,
princta02,9.916666666666666,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,13.0,Taurean Waller-Prince,ATL,False,False,
kellyry01,7.85,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,11.0,Ryan Kelly,ATL,False,False,
dienggo01,34.55,6.0,12.0,0.5,0.0,0.0,,2.0,2.0,1.0,2.0,5.0,7.0,3.0,3.0,0.0,2.0,3.0,14.0,27.0,Gorgui Dieng,MIN,True,True,
townska01,30.85,8.0,8.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,8.0,11.0,4.0,0.0,3.0,1.0,5.0,22.0,13.0,Karl-Anthony Towns,MIN,True,True,
lavinza01,30.8,7.0,16.0,0.438,6.0,9.0,0.667,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,1.0,21.0,27.0,Zach LaVine,MIN,True,True,
wiggian01,28.316666666666666,7.0,14.0,0.5,4.0,6.0,0.667,3.0,4.0,0.75,1.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,21.0,16.0,Andrew Wiggins,MIN,True,True,
rubiori01,24.15,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,3.0,17.0,Ricky Rubio,MIN,True,True,
muhamsh01,29.033333333333335,4.0,13.0,0.308,1.0,3.0,0.333,3.0,4.0,0.75,2.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,12.0,-4.0,Shabazz Muhammad,MIN,True,False,
bjeline01,25.083333333333332,3.0,9.0,0.333,0.0,5.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,2.0,0.0,3.0,4.0,8.0,-4.0,Nemanja Bjelica,MIN,True,False,
dunnkr01,23.85,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,0.0,6.0,6.0,1.0,2.0,0.0,1.0,1.0,3.0,-3.0,Kris Dunn,MIN,True,False,
jonesty01,7.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,Tyus Jones,MIN,True,False,
hilljo01,5.516666666666667,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,Jordan Hill,MIN,True,False,
aldrico01,,,,,,,,,,,,,,,,,,,,,Cole Aldrich,MIN,True,False,Did Not Play
paynead01,,,,,,,,,,,,,,,,,,,,,Adreian Payne,MIN,True,False,Did Not Play
rushbr01,,,,,,,,,,,,,,,,,,,,,Brandon Rush,MIN,True,False,Did Not Play
