player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
leonaka01,36.2,9.0,19.0,0.474,3.0,6.0,0.5,3.0,4.0,0.75,1.0,5.0,6.0,5.0,0.0,2.0,1.0,2.0,24.0,26.0,Kawhi Leonard,SAS,False,True,
gasolpa01,34.9,7.0,8.0,0.875,1.0,1.0,1.0,2.0,3.0,0.667,1.0,8.0,9.0,4.0,0.0,2.0,1.0,3.0,17.0,27.0,Pau Gasol,SAS,False,True,
aldrila01,32.81666666666667,11.0,18.0,0.611,1.0,1.0,1.0,5.0,6.0,0.833,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,28.0,13.0,LaMarcus Aldridge,SAS,False,True,
greenda02,25.166666666666668,2.0,7.0,0.286,2.0,6.0,0.333,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,6.0,16.0,Danny Green,SAS,False,True,
parketo01,23.55,10.0,11.0,0.909,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,9.0,0.0,0.0,1.0,1.0,21.0,15.0,Tony Parker,SAS,False,True,
ginobma01,18.3,4.0,10.0,0.4,3.0,6.0,0.5,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,11.0,-1.0,Manu Ginóbili,SAS,False,False,
millspa02,18.033333333333335,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,5.0,7.0,Patty Mills,SAS,False,False,
simmojo02,13.033333333333333,1.0,1.0,1.0,0.0,0.0,,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,10.0,Jonathon Simmons,SAS,False,False,
dedmode01,12.666666666666666,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,Dewayne Dedmon,SAS,False,False,
anderky01,8.3,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,Kyle Anderson,SAS,False,False,
murrade01,6.416666666666667,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,Dejounte Murray,SAS,False,False,
leeda02,6.05,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,David Lee,SAS,False,False,
bertada01,4.566666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Dāvis Bertāns,SAS,False,False,
mudiaem01,28.066666666666666,4.0,10.0,0.4,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,5.0,0.0,1.0,2.0,0.0,8.0,-18.0,Emmanuel Mudiay,DEN,True,True,
gallida01,27.766666666666666,5.0,13.0,0.385,1.0,3.0,0.333,4.0,4.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,15.0,-5.0,Danilo Gallinari,DEN,True,True,
jokicni01,27.333333333333332,8.0,10.0,0.8,0.0,0.0,,3.0,4.0,0.75,5.0,6.0,11.0,5.0,1.0,0.0,3.0,2.0,19.0,-9.0,Nikola Jokić,DEN,True,True,
harriga01,26.483333333333334,3.0,11.0,0.273,1.0,4.0,0.25,1.0,2.0,0.5,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,8.0,-15.0,Gary Harris,DEN,True,True,
arthuda01,19.416666666666668,5.0,8.0,0.625,2.0,4.0,0.5,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,13.0,-12.0,Darrell Arthur,DEN,True,True,
chandwi01,24.45,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,,1.0,6.0,7.0,2.0,0.0,1.0,1.0,2.0,11.0,-10.0,Wilson Chandler,DEN,True,False,
murraja01,22.616666666666667,3.0,8.0,0.375,1.0,4.0,0.25,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,-25.0,Jamal Murray,DEN,True,False,
nurkiju01,20.666666666666668,3.0,4.0,0.75,0.0,0.0,,1.0,2.0,0.5,1.0,5.0,6.0,0.0,0.0,0.0,1.0,4.0,7.0,-19.0,Jusuf Nurkić,DEN,True,False,
nelsoja01,19.933333333333334,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,3.0,-10.0,Jameer Nelson,DEN,True,False,
bartowi01,14.666666666666666,2.0,6.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,7.0,-5.0,Will Barton,DEN,True,False,
geeal01,4.466666666666667,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,-6.0,Alonzo Gee,DEN,True,False,
millemi01,4.133333333333334,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-6.0,Mike Miller,DEN,True,False,
farieke01,,,,,,,,,,,,,,,,,,,,,Kenneth Faried,DEN,True,False,Did Not Dress
