player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
jamesle01,35.0,6.0,18.0,0.333,1.0,4.0,0.25,7.0,10.0,0.7,2.0,6.0,8.0,2.0,1.0,0.0,6.0,1.0,20.0,-32.0,LeBron James,CLE,False,True
thomptr01,29.65,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,1.0,2.0,6.0,-28.0,Tristan Thompson,CLE,False,True
shumpim01,29.633333333333333,5.0,10.0,0.5,2.0,5.0,0.4,3.0,4.0,0.75,0.0,9.0,9.0,0.0,3.0,0.0,1.0,0.0,15.0,-23.0,Iman Shumpert,CLE,False,True
irvinky01,29.15,6.0,19.0,0.316,1.0,5.0,0.2,4.0,5.0,0.8,0.0,2.0,2.0,2.0,1.0,1.0,6.0,3.0,17.0,-12.0,Kyrie Irving,CLE,False,True
loveke01,16.166666666666668,1.0,6.0,0.167,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,-23.0,Kevin Love,CLE,False,True
korveky01,27.15,4.0,10.0,0.4,3.0,8.0,0.375,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,-12.0,Kyle Korver,CLE,False,False
jefferi01,20.416666666666668,3.0,8.0,0.375,2.0,5.0,0.4,3.0,5.0,0.6,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,11.0,-8.0,Richard Jefferson,CLE,False,False
liggide01,16.733333333333334,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,-17.0,DeAndre Liggins,CLE,False,False
fryech01,16.15,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-17.0,Channing Frye,CLE,False,False
mcraejo01,6.65,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,-1.0,Jordan McRae,CLE,False,False
feldeka01,6.65,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,-1.0,Kay Felder,CLE,False,False
jonesja02,6.65,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,James Jones,CLE,False,False
greendr01,34.766666666666666,4.0,6.0,0.667,0.0,0.0,,3.0,4.0,0.75,2.0,11.0,13.0,11.0,1.0,5.0,0.0,1.0,11.0,43.0,Draymond Green,GSW,True,True
thompkl01,31.25,8.0,17.0,0.471,5.0,11.0,0.455,5.0,5.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,5.0,26.0,41.0,Klay Thompson,GSW,True,True
curryst01,30.916666666666668,7.0,20.0,0.35,5.0,12.0,0.417,1.0,2.0,0.5,0.0,2.0,2.0,11.0,4.0,0.0,3.0,2.0,20.0,23.0,Stephen Curry,GSW,True,True
duranke01,28.666666666666668,9.0,16.0,0.563,3.0,7.0,0.429,0.0,0.0,,1.0,5.0,6.0,5.0,2.0,3.0,1.0,0.0,21.0,21.0,Kevin Durant,GSW,True,True
pachuza01,20.583333333333332,2.0,7.0,0.286,0.0,0.0,,0.0,0.0,,3.0,10.0,13.0,1.0,1.0,0.0,1.0,3.0,4.0,24.0,Zaza Pachulia,GSW,True,True
iguodan01,24.5,5.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,14.0,16.0,Andre Iguodala,GSW,True,False
livinsh01,15.433333333333334,6.0,7.0,0.857,0.0,0.0,,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,13.0,13.0,Shaun Livingston,GSW,True,False
westda01,14.516666666666667,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,6.0,16.0,David West,GSW,True,False
clarkia01,11.9,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.5,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,-10.0,Ian Clark,GSW,True,False
looneke01,9.1,0.0,2.0,0.0,0.0,0.0,,3.0,4.0,0.75,4.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,-10.0,Kevon Looney,GSW,True,False
mcgeeja01,8.983333333333333,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,JaVale McGee,GSW,True,False
mccawpa01,4.683333333333334,0.0,0.0,,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,Patrick McCaw,GSW,True,False
mcadoja01,4.683333333333334,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.0,James Michael McAdoo,GSW,True,False
