player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
georgpa01,36.2,8.0,15.0,0.533,3.0,7.0,0.429,2.0,2.0,1.0,1.0,5.0,6.0,2.0,2.0,1.0,4.0,0.0,21.0,-15.0,Paul George,IND,False,True
teaguje01,33.18333333333333,3.0,9.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,1.0,2.0,3.0,7.0,1.0,1.0,6.0,1.0,11.0,-12.0,Jeff Teague,IND,False,True
youngth01,32.63333333333333,3.0,9.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,2.0,6.0,8.0,3.0,5.0,1.0,0.0,0.0,9.0,-7.0,Thaddeus Young,IND,False,True
turnemy01,32.5,6.0,12.0,0.5,0.0,2.0,0.0,3.0,3.0,1.0,0.0,5.0,5.0,2.0,3.0,1.0,5.0,3.0,15.0,-24.0,Myles Turner,IND,False,True
robingl02,22.133333333333333,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,5.0,-1.0,Glenn Robinson,IND,False,True
ellismo01,23.683333333333334,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,1.0,-10.0,Monta Ellis,IND,False,False
jeffeal01,17.4,7.0,15.0,0.467,0.0,0.0,,6.0,6.0,1.0,1.0,5.0,6.0,1.0,2.0,0.0,0.0,1.0,20.0,1.0,Al Jefferson,IND,False,False
milescj01,14.033333333333333,2.0,5.0,0.4,2.0,3.0,0.667,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,-8.0,C.J. Miles,IND,False,False
brookaa01,12.7,1.0,3.0,0.333,1.0,2.0,0.5,0.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,5.0,Aaron Brooks,IND,False,False
serapke01,10.7,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,Kevin Séraphin,IND,False,False
niangge01,2.4166666666666665,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,Georges Niang,IND,False,False
allenla01,2.4166666666666665,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,Lavoy Allen,IND,False,False
randlju01,34.9,7.0,13.0,0.538,0.0,0.0,,2.0,3.0,0.667,1.0,4.0,5.0,4.0,1.0,1.0,2.0,5.0,16.0,1.0,Julius Randle,LAL,True,True
ingrabr01,32.71666666666667,6.0,14.0,0.429,3.0,6.0,0.5,0.0,0.0,,2.0,5.0,7.0,2.0,2.0,0.0,3.0,1.0,15.0,14.0,Brandon Ingram,LAL,True,True
youngni01,25.916666666666668,5.0,13.0,0.385,5.0,11.0,0.455,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,15.0,15.0,Nick Young,LAL,True,True
mozgoti01,24.833333333333332,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,4.0,7.0,11.0,4.0,2.0,1.0,4.0,1.0,4.0,10.0,Timofey Mozgov,LAL,True,True
russeda01,1.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,D'Angelo Russell,LAL,True,True
clarkjo01,33.266666666666666,5.0,12.0,0.417,1.0,4.0,0.25,1.0,1.0,1.0,1.0,4.0,5.0,3.0,5.0,0.0,7.0,0.0,12.0,5.0,Jordan Clarkson,LAL,True,False
willilo02,29.533333333333335,7.0,15.0,0.467,4.0,8.0,0.5,9.0,10.0,0.9,0.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,27.0,4.0,Lou Williams,LAL,True,False
blackta01,28.266666666666666,4.0,6.0,0.667,0.0,0.0,,0.0,1.0,0.0,6.0,7.0,13.0,3.0,2.0,0.0,1.0,2.0,8.0,16.0,Tarik Black,LAL,True,False
caldejo01,19.466666666666665,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,,1.0,0.0,1.0,6.0,1.0,0.0,0.0,3.0,7.0,2.0,José Calderón,LAL,True,False
zubaciv01,6.416666666666667,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,-5.0,Ivica Zubac,LAL,True,False
robinth01,1.8666666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Thomas Robinson,LAL,True,False
artesro01,0.9833333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,Metta World Peace,LAL,True,False
huertma01,0.6333333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Marcelo Huertas,LAL,True,False
