player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
bogdabo02,31.216666666666665,6.0,13.0,0.462,1.0,4.0,0.25,3.0,3.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,3.0,2.0,16.0,-15.0,Bojan Bogdanović,,BRK,False,True
lopezbr01,30.733333333333334,5.0,17.0,0.294,0.0,6.0,0.0,4.0,6.0,0.667,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,14.0,-7.0,Brook Lopez,,BRK,False,True
booketr01,25.95,5.0,9.0,0.556,0.0,1.0,0.0,3.0,5.0,0.6,2.0,6.0,8.0,0.0,2.0,1.0,4.0,3.0,13.0,-19.0,Trevor Booker,,BRK,False,True
dinwisp01,24.35,3.0,7.0,0.429,0.0,0.0,,4.0,4.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,2.0,10.0,-15.0,Spencer Dinwiddie,,BRK,False,True
foyera01,21.233333333333334,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,-15.0,Randy Foye,,BRK,False,True
leverca01,26.766666666666666,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,,3.0,3.0,6.0,2.0,2.0,0.0,4.0,0.0,4.0,7.0,Caris LeVert,,BRK,False,False
whiteis01,23.65,6.0,12.0,0.5,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,4.0,5.0,0.0,1.0,0.0,3.0,13.0,7.0,Isaiah Whitehead,,BRK,False,False
holliro01,22.333333333333332,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,2.0,9.0,11.0,2.0,1.0,0.0,2.0,5.0,4.0,9.0,Rondae Hollis-Jefferson,,BRK,False,False
hamilju01,16.983333333333334,4.0,5.0,0.8,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,Justin Hamilton,,BRK,False,False
kilpase01,16.783333333333335,3.0,6.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,8.0,7.0,Sean Kilpatrick,,BRK,False,False
scolalu01,,,,,,,,,,,,,,,,,,,,,Luis Scola,Did Not Play,BRK,False,False
mcculch01,,,,,,,,,,,,,,,,,,,,,Chris McCullough,Did Not Play,BRK,False,False
acyqu01,,,,,,,,,,,,,,,,,,,,,Quincy Acy,Did Not Play,BRK,False,False
waitedi01,35.78333333333333,7.0,18.0,0.389,3.0,6.0,0.5,2.0,4.0,0.5,0.0,5.0,5.0,9.0,0.0,1.0,1.0,0.0,19.0,10.0,Dion Waiters,,MIA,True,True
dragigo01,32.78333333333333,6.0,13.0,0.462,1.0,2.0,0.5,7.0,11.0,0.636,1.0,2.0,3.0,8.0,3.0,0.0,1.0,4.0,20.0,0.0,Goran Dragić,,MIA,True,True
mcgruro01,31.533333333333335,5.0,9.0,0.556,3.0,6.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,13.0,13.0,Rodney McGruder,,MIA,True,True
whiteha01,30.133333333333333,6.0,10.0,0.6,0.0,0.0,,0.0,0.0,,1.0,8.0,9.0,0.0,1.0,3.0,4.0,6.0,12.0,10.0,Hassan Whiteside,,MIA,True,True
babbilu01,7.2,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,-2.0,Luke Babbitt,,MIA,True,True
johnsja01,33.06666666666667,6.0,11.0,0.545,2.0,3.0,0.667,3.0,4.0,0.75,1.0,4.0,5.0,5.0,2.0,3.0,3.0,1.0,17.0,12.0,James Johnson,,MIA,True,False
johnsty01,19.216666666666665,1.0,7.0,0.143,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,-6.0,Tyler Johnson,,MIA,True,False
ellinwa01,18.45,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,Wayne Ellington,,MIA,True,False
reedwi02,17.366666666666667,3.0,3.0,1.0,0.0,0.0,,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,6.0,-3.0,Willie Reed,,MIA,True,False
whiteok01,14.466666666666667,2.0,4.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,Okaro White,,MIA,True,False
willide02,,,,,,,,,,,,,,,,,,,,,Derrick Williams,Did Not Play,MIA,True,False
richajo01,,,,,,,,,,,,,,,,,,,,,Josh Richardson,Did Not Dress,MIA,True,False
hasleud01,,,,,,,,,,,,,,,,,,,,,Udonis Haslem,Did Not Play,MIA,True,False
