player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
hardeja01,36.53333333333333,11.0,30.0,0.367,2.0,13.0,0.154,6.0,7.0,0.857,2.0,6.0,8.0,4.0,1.0,0.0,6.0,2.0,30.0,-3.0,James Harden,,HOU,False,True
arizatr01,36.53333333333333,7.0,11.0,0.636,3.0,6.0,0.5,0.0,0.0,,1.0,4.0,5.0,2.0,6.0,0.0,2.0,2.0,17.0,-3.0,Trevor Ariza,,HOU,False,True
gordoer01,36.2,5.0,12.0,0.417,3.0,7.0,0.429,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,13.0,-5.0,Eric Gordon,,HOU,False,True
beverpa01,33.21666666666667,2.0,6.0,0.333,0.0,3.0,0.0,5.0,5.0,1.0,3.0,5.0,8.0,3.0,0.0,0.0,2.0,5.0,9.0,-23.0,Patrick Beverley,,HOU,False,True
capelca01,24.516666666666666,3.0,6.0,0.5,0.0,0.0,,2.0,2.0,1.0,3.0,4.0,7.0,0.0,1.0,2.0,0.0,3.0,8.0,-3.0,Clint Capela,,HOU,False,True
willilo02,29.033333333333335,5.0,16.0,0.313,0.0,5.0,0.0,4.0,7.0,0.571,0.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,14.0,4.0,Lou Williams,,HOU,False,False
hilarne01,23.483333333333334,6.0,8.0,0.75,0.0,0.0,,2.0,2.0,1.0,3.0,4.0,7.0,4.0,0.0,0.0,3.0,1.0,14.0,-7.0,Nenê Hilário,,HOU,False,False
dekkesa01,20.483333333333334,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,-10.0,Sam Dekker,,HOU,False,False
wiltjky01,,,,,,,,,,,,,,,,,,,,,Kyle Wiltjer,Did Not Play,HOU,False,False
onuakch01,,,,,,,,,,,,,,,,,,,,,Chinanu Onuaku,Did Not Play,HOU,False,False
brownbo02,,,,,,,,,,,,,,,,,,,,,Bobby Brown,Did Not Play,HOU,False,False
lillada01,37.8,10.0,18.0,0.556,4.0,9.0,0.444,7.0,7.0,1.0,0.0,4.0,4.0,11.0,2.0,0.0,3.0,1.0,31.0,12.0,Damian Lillard,,POR,True,True
mccolcj01,32.15,4.0,15.0,0.267,2.0,8.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,12.0,10.0,CJ McCollum,,POR,True,True
harklma01,31.6,8.0,13.0,0.615,1.0,2.0,0.5,0.0,0.0,,4.0,2.0,6.0,0.0,2.0,3.0,0.0,0.0,17.0,7.0,Maurice Harkless,,POR,True,True
nurkiju01,31.55,7.0,16.0,0.438,0.0,0.0,,5.0,7.0,0.714,5.0,6.0,11.0,0.0,1.0,3.0,4.0,3.0,19.0,12.0,Jusuf Nurkić,,POR,True,True
vonleno01,14.633333333333333,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,Noah Vonleh,,POR,True,True
crabbal01,32.15,7.0,11.0,0.636,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,2.0,4.0,0.0,0.0,3.0,17.0,9.0,Allen Crabbe,,POR,True,False
aminual01,31.25,5.0,10.0,0.5,2.0,5.0,0.4,3.0,4.0,0.75,1.0,8.0,9.0,1.0,2.0,0.0,1.0,1.0,15.0,-2.0,Al-Farouq Aminu,,POR,True,False
turneev01,18.566666666666666,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,Evan Turner,,POR,True,False
leoname01,10.3,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,-3.0,Meyers Leonard,,POR,True,False
napiesh01,,,,,,,,,,,,,,,,,,,,,Shabazz Napier,Did Not Play,POR,True,False
laymaja01,,,,,,,,,,,,,,,,,,,,,Jake Layman,Did Not Play,POR,True,False
connapa01,,,,,,,,,,,,,,,,,,,,,Pat Connaughton,Did Not Play,POR,True,False
