player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
jamesle01,34.733333333333334,13.0,18.0,0.722,4.0,7.0,0.571,5.0,8.0,0.625,1.0,7.0,8.0,8.0,3.0,1.0,2.0,4.0,35.0,36.0,LeBron James,CLE,False,True
irvinky01,31.616666666666667,9.0,15.0,0.6,4.0,8.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,7.0,2.0,0.0,3.0,0.0,24.0,33.0,Kyrie Irving,CLE,False,True
thomptr01,29.116666666666667,1.0,3.0,0.333,0.0,0.0,,4.0,4.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,6.0,33.0,Tristan Thompson,CLE,False,True
loveke01,27.983333333333334,5.0,13.0,0.385,3.0,7.0,0.429,2.0,2.0,1.0,2.0,9.0,11.0,3.0,4.0,1.0,1.0,2.0,15.0,43.0,Kevin Love,CLE,False,True
smithjr01,23.75,2.0,4.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,6.0,29.0,J.R. Smith,CLE,False,True
willide01,17.083333333333332,5.0,6.0,0.833,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,3.0,Deron Williams,CLE,False,False
jefferi01,14.9,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,5.0,9.0,-10.0,Richard Jefferson,CLE,False,False
shumpim01,12.483333333333333,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,Iman Shumpert,CLE,False,False
fryech01,12.0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,-2.0,Channing Frye,CLE,False,False
korveky01,11.783333333333333,2.0,4.0,0.5,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,6.0,Kyle Korver,CLE,False,False
jonesda02,8.183333333333334,2.0,4.0,0.5,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,-4.0,Dahntay Jones,CLE,False,False
willide02,8.183333333333334,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,-4.0,Derrick Williams,CLE,False,False
jonesja02,8.183333333333334,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,James Jones,CLE,False,False
bradlav01,31.866666666666667,10.0,20.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,23.0,-32.0,Avery Bradley,BOS,True,True
crowdja01,28.5,3.0,8.0,0.375,0.0,1.0,0.0,5.0,7.0,0.714,1.0,5.0,6.0,3.0,0.0,1.0,0.0,4.0,11.0,-17.0,Jae Crowder,BOS,True,True
horfoal01,26.883333333333333,4.0,8.0,0.5,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,8.0,-30.0,Al Horford,BOS,True,True
smartma01,25.416666666666668,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,0.0,5.0,3.0,6.0,-24.0,Marcus Smart,BOS,True,True
olynyke01,18.533333333333335,2.0,8.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,7.0,-21.0,Kelly Olynyk,BOS,True,True
roziete01,34.38333333333333,4.0,13.0,0.308,0.0,5.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,7.0,2.0,0.0,1.0,3.0,10.0,-15.0,Terry Rozier,BOS,True,False
greenge01,21.25,4.0,8.0,0.5,3.0,6.0,0.5,3.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,14.0,-2.0,Gerald Green,BOS,True,False
zellety01,12.0,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,Tyler Zeller,BOS,True,False
youngja01,9.7,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,James Young,BOS,True,False
brownja02,8.55,2.0,3.0,0.667,0.0,0.0,,3.0,5.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,-13.0,Jaylen Brown,BOS,True,False
jerebjo01,8.333333333333334,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,-9.0,Jonas Jerebko,BOS,True,False
mickejo01,8.183333333333334,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,Jordan Mickey,BOS,True,False
johnsam01,6.4,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.0,Amir Johnson,BOS,True,False
