player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
duranke01,40.916666666666664,10.0,18.0,0.556,4.0,7.0,0.571,7.0,8.0,0.875,0.0,9.0,9.0,4.0,1.0,1.0,3.0,2.0,31.0,0.0,Kevin Durant,GSW,False,True,
thompkl01,40.666666666666664,11.0,18.0,0.611,6.0,11.0,0.545,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,4.0,30.0,3.0,Klay Thompson,GSW,False,True,
curryst01,39.36666666666667,8.0,19.0,0.421,5.0,9.0,0.556,5.0,5.0,1.0,5.0,8.0,13.0,6.0,2.0,0.0,1.0,3.0,26.0,11.0,Stephen Curry,GSW,False,True,
greendr01,32.9,3.0,9.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,1.0,7.0,8.0,7.0,1.0,1.0,4.0,5.0,8.0,14.0,Draymond Green,GSW,False,True,
pachuza01,13.466666666666667,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,-2.0,Zaza Pachulia,GSW,False,True,
iguodan01,29.65,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,1.0,4.0,5.0,5.0,4.0,1.0,2.0,3.0,7.0,10.0,Andre Iguodala,GSW,False,False,
livinsh01,11.866666666666667,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,-2.0,Shaun Livingston,GSW,False,False,
westda01,10.583333333333334,3.0,3.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,-6.0,David West,GSW,False,False,
clarkia01,8.533333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-6.0,Ian Clark,GSW,False,False,
mcgeeja01,7.95,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,JaVale McGee,GSW,False,False,
mccawpa01,3.9,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,Patrick McCaw,GSW,False,False,
mcadoja01,0.1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,James Michael McAdoo,GSW,False,False,
barnema02,0.1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matt Barnes,GSW,False,False,
jamesle01,45.61666666666667,15.0,27.0,0.556,4.0,9.0,0.444,5.0,6.0,0.833,3.0,8.0,11.0,9.0,1.0,1.0,5.0,2.0,39.0,7.0,LeBron James,CLE,True,True,
irvinky01,44.38333333333333,16.0,29.0,0.552,0.0,7.0,0.0,6.0,6.0,1.0,1.0,5.0,6.0,3.0,0.0,0.0,2.0,5.0,38.0,-9.0,Kyrie Irving,CLE,True,True,
loveke01,37.266666666666666,1.0,9.0,0.111,1.0,7.0,0.143,6.0,7.0,0.857,4.0,9.0,13.0,1.0,6.0,0.0,2.0,3.0,9.0,-11.0,Kevin Love,CLE,True,True,
smithjr01,34.333333333333336,5.0,10.0,0.5,5.0,10.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,16.0,-8.0,J.R. Smith,CLE,True,True,
thomptr01,23.083333333333332,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,-6.0,Tristan Thompson,CLE,True,True,
korveky01,24.133333333333333,3.0,7.0,0.429,2.0,6.0,0.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,3.0,Kyle Korver,CLE,True,False,
jefferi01,15.683333333333334,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,-5.0,Richard Jefferson,CLE,True,False,
shumpim01,11.883333333333333,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,Iman Shumpert,CLE,True,False,
willide01,3.6166666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Deron Williams,CLE,True,False,
fryech01,,,,,,,,,,,,,,,,,,,,,Channing Frye,CLE,True,False,Did Not Play
jonesda02,,,,,,,,,,,,,,,,,,,,,Dahntay Jones,CLE,True,False,Did Not Play
jonesja02,,,,,,,,,,,,,,,,,,,,,James Jones,CLE,True,False,Did Not Play
willide02,,,,,,,,,,,,,,,,,,,,,Derrick Williams,CLE,True,False,Did Not Play
