player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
porzikr01,38.28333333333333,11.0,25.0,0.44,2.0,6.0,0.333,7.0,9.0,0.778,3.0,9.0,12.0,1.0,0.0,1.0,2.0,3.0,31.0,-17.0,Kristaps Porziņģis,NYK,False,True,
leeco01,31.45,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,9.0,-22.0,Courtney Lee,NYK,False,True,
hardati02,28.933333333333334,3.0,10.0,0.3,2.0,7.0,0.286,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,8.0,-6.0,Tim Hardaway,NYK,False,True,
kanteen01,22.283333333333335,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,,2.0,5.0,7.0,1.0,3.0,0.0,4.0,1.0,10.0,-22.0,Enes Kanter,NYK,False,True,
sessira01,20.633333333333333,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,-23.0,Ramon Sessions,NYK,False,True,
mcderdo01,23.816666666666666,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,Doug McDermott,NYK,False,False,
bakerro01,22.633333333333333,1.0,3.0,0.333,1.0,2.0,0.5,3.0,7.0,0.429,0.0,2.0,2.0,4.0,3.0,0.0,4.0,1.0,6.0,4.0,Ron Baker,NYK,False,False,
oquinky01,21.766666666666666,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,3.0,7.0,10.0,2.0,0.0,0.0,2.0,4.0,6.0,-1.0,Kyle O'Quinn,NYK,False,False,
thomala01,15.5,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,-23.0,Lance Thomas,NYK,False,False,
ntilila01,7.533333333333333,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.0,Frank Ntilikina,NYK,False,False,
hernawi01,3.7666666666666666,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,Willy Hernangómez,NYK,False,False,
dotsoda01,2.8,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Damyean Dotson,NYK,False,False,
beaslmi01,0.6,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,Michael Beasley,NYK,False,False,
georgpa01,39.1,9.0,23.0,0.391,6.0,13.0,0.462,4.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,28.0,23.0,Paul George,OKC,True,True,
anthoca01,33.68333333333333,8.0,20.0,0.4,3.0,10.0,0.3,3.0,5.0,0.6,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,22.0,1.0,Carmelo Anthony,OKC,True,True,
westbru01,33.3,7.0,12.0,0.583,0.0,1.0,0.0,7.0,10.0,0.7,2.0,8.0,10.0,16.0,0.0,1.0,7.0,4.0,21.0,29.0,Russell Westbrook,OKC,True,True,
adamsst01,29.6,5.0,5.0,1.0,0.0,0.0,,2.0,3.0,0.667,2.0,3.0,5.0,1.0,5.0,3.0,1.0,3.0,12.0,27.0,Steven Adams,OKC,True,True,
roberan03,20.966666666666665,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,,3.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0,Andre Roberson,OKC,True,True,
abrinal01,24.25,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,3.0,23.0,Álex Abrines,OKC,True,False,
grantje01,20.516666666666666,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,,2.0,1.0,3.0,2.0,0.0,0.0,2.0,4.0,5.0,13.0,Jerami Grant,OKC,True,False,
feltora01,15.866666666666667,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,-12.0,Raymond Felton,OKC,True,False,
fergute01,10.65,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,Terrance Ferguson,OKC,True,False,
pattepa01,6.7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,Patrick Patterson,OKC,True,False,
johnsda04,2.8,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,Dakari Johnson,OKC,True,False,
huestjo01,2.5666666666666664,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Josh Huestis,OKC,True,False,
collini01,,,,,,,,,,,,,,,,,,,,,Nick Collison,OKC,True,False,Did Not Play
