player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
covinro01,34.56666666666667,4.0,10.0,0.4,3.0,6.0,0.5,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,11.0,14.0,Robert Covington,,PHI,False,True
simmobe01,33.63333333333333,10.0,15.0,0.667,0.0,0.0,,3.0,4.0,0.75,2.0,5.0,7.0,8.0,3.0,1.0,1.0,3.0,23.0,-1.0,Ben Simmons,,PHI,False,True
bayleje01,32.43333333333333,3.0,7.0,0.429,2.0,6.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,-13.0,Jerryd Bayless,,PHI,False,True
saricda01,29.75,4.0,12.0,0.333,4.0,7.0,0.571,0.0,0.0,,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,12.0,-7.0,Dario Šarić,,PHI,False,True
embiijo01,29.35,8.0,19.0,0.421,3.0,7.0,0.429,4.0,6.0,0.667,3.0,6.0,9.0,4.0,0.0,0.0,7.0,4.0,23.0,-4.0,Joel Embiid,,PHI,False,True
mccontj01,31.366666666666667,7.0,10.0,0.7,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,8.0,1.0,0.0,3.0,0.0,15.0,11.0,T.J. McConnell,,PHI,False,False
johnsam01,18.533333333333335,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,,1.0,5.0,6.0,0.0,1.0,0.0,0.0,2.0,6.0,6.0,Amir Johnson,,PHI,False,False
anderju01,14.2,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0,-12.0,Justin Anderson,,PHI,False,False
luwawti01,10.25,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,6.0,20.0,Timothé Luwawu-Cabarrot,,PHI,False,False
stausni01,5.916666666666667,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,-4.0,Nik Stauskas,,PHI,False,False
redicjj01,,,,,,,,,,,,,,,,,,,,,J.J. Redick,Did Not Dress,PHI,False,False
mcadoja01,,,,,,,,,,,,,,,,,,,,,James Michael McAdoo,Did Not Play,PHI,False,False
korkmfu01,,,,,,,,,,,,,,,,,,,,,Furkan Korkmaz,Did Not Play,PHI,False,False
barneha02,37.65,9.0,17.0,0.529,7.0,12.0,0.583,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,2.0,0.0,25.0,-18.0,Harrison Barnes,,DAL,True,True
matthwe02,33.416666666666664,5.0,9.0,0.556,3.0,5.0,0.6,6.0,7.0,0.857,0.0,6.0,6.0,2.0,3.0,0.0,3.0,3.0,19.0,-17.0,Wesley Matthews,,DAL,True,True
smithde03,30.766666666666666,5.0,12.0,0.417,1.0,5.0,0.2,1.0,1.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,6.0,1.0,12.0,-13.0,Dennis Smith,,DAL,True,True
nowitdi01,27.833333333333332,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,11.0,24.0,Dirk Nowitzki,,DAL,True,True
noelne01,19.933333333333334,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,-10.0,Nerlens Noel,,DAL,True,True
ferreyo01,32.233333333333334,6.0,8.0,0.75,2.0,4.0,0.5,3.0,5.0,0.6,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,17.0,5.0,Yogi Ferrell,,DAL,True,False
bareajo01,23.566666666666666,6.0,12.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,15.0,8.0,J.J. Barea,,DAL,True,False
poweldw01,18.05,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,2.0,0.0,0.0,1.0,2.0,5.0,4.0,Dwight Powell,,DAL,True,False
harride01,16.55,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,7.0,Devin Harris,,DAL,True,False
mejrisa01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salah Mejri,,DAL,True,False
witheje01,,,,,,,,,,,,,,,,,,,,,Jeff Withey,Did Not Play,DAL,True,False
klebima01,,,,,,,,,,,,,,,,,,,,,Maxi Kleber,Did Not Play,DAL,True,False
finnedo01,,,,,,,,,,,,,,,,,,,,,Dorian Finney-Smith,Did Not Play,DAL,True,False
