player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
drumman01,33.93333333333333,7.0,10.0,0.7,0.0,0.0,,1.0,2.0,0.5,4.0,13.0,17.0,1.0,2.0,3.0,3.0,2.0,15.0,12.0,Andre Drummond,,DET,False,True
jacksre01,32.28333333333333,6.0,15.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,2.0,2.0,4.0,7.0,1.0,0.0,4.0,2.0,15.0,16.0,Reggie Jackson,,DET,False,True
johnsst04,31.2,3.0,7.0,0.429,2.0,4.0,0.5,1.0,2.0,0.5,0.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,9.0,9.0,Stanley Johnson,,DET,False,True
bradlav01,30.383333333333333,4.0,15.0,0.267,0.0,2.0,0.0,4.0,6.0,0.667,1.0,4.0,5.0,2.0,4.0,0.0,2.0,1.0,12.0,10.0,Avery Bradley,,DET,False,True
harrito02,19.6,4.0,7.0,0.571,2.0,3.0,0.667,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,12.0,7.0,Tobias Harris,,DET,False,True
tollian01,25.566666666666666,3.0,8.0,0.375,1.0,5.0,0.2,1.0,3.0,0.333,2.0,2.0,4.0,2.0,1.0,2.0,0.0,3.0,8.0,9.0,Anthony Tolliver,,DET,False,False
gallola01,17.616666666666667,5.0,9.0,0.556,3.0,7.0,0.429,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,-2.0,Langston Galloway,,DET,False,False
smithis01,15.716666666666667,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,-8.0,Ish Smith,,DET,False,False
leuerjo01,13.9,0.0,4.0,0.0,0.0,0.0,,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,3.0,2.0,-1.0,Jon Leuer,,DET,False,False
ellenhe01,12.15,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,Henry Ellenson,,DET,False,False
bullore01,6.6,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,Reggie Bullock,,DET,False,False
moreler01,1.05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,Eric Moreland,,DET,False,False
marjabo01,,,,,,,,,,,,,,,,,,,,,Boban Marjanović,Did Not Play,DET,False,False
griffbl01,38.81666666666667,5.0,18.0,0.278,2.0,6.0,0.333,7.0,10.0,0.7,2.0,9.0,11.0,4.0,0.0,0.0,2.0,3.0,19.0,-3.0,Blake Griffin,,LAC,True,True
gallida01,38.21666666666667,4.0,16.0,0.25,3.0,10.0,0.3,2.0,2.0,1.0,0.0,6.0,6.0,2.0,0.0,0.0,3.0,2.0,13.0,-13.0,Danilo Gallinari,,LAC,True,True
beverpa01,36.666666666666664,3.0,9.0,0.333,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,8.0,2.0,1.0,4.0,3.0,9.0,-1.0,Patrick Beverley,,LAC,True,True
jordade01,35.3,3.0,6.0,0.5,0.0,0.0,,1.0,3.0,0.333,8.0,6.0,14.0,0.0,0.0,3.0,2.0,2.0,7.0,-2.0,DeAndre Jordan,,LAC,True,True
riverau01,33.46666666666667,6.0,12.0,0.5,6.0,8.0,0.75,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,0.0,2.0,1.0,20.0,0.0,Austin Rivers,,LAC,True,True
willilo02,21.633333333333333,3.0,9.0,0.333,1.0,4.0,0.25,3.0,3.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,10.0,-7.0,Lou Williams,,LAC,True,False
johnswe01,12.516666666666667,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,,1.0,6.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,Wesley Johnson,,LAC,True,False
reedwi02,11.6,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0,-7.0,Willie Reed,,LAC,True,False
thornsi01,9.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,-9.0,Sindarius Thornwell,,LAC,True,False
dekkesa01,2.783333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Sam Dekker,,LAC,True,False
johnsbr02,,,,,,,,,,,,,,,,,,,,,Brice Johnson,Did Not Play,LAC,True,False
harremo01,,,,,,,,,,,,,,,,,,,,,Montrezl Harrell,Did Not Play,LAC,True,False
evansja01,,,,,,,,,,,,,,,,,,,,,Jawun Evans,Did Not Play,LAC,True,False
