player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
lowryky01,37.1,4.0,12.0,0.333,2.0,7.0,0.286,9.0,10.0,0.9,0.0,5.0,5.0,10.0,1.0,0.0,2.0,4.0,19.0,14.0,Kyle Lowry,TOR,False,True,
derozde01,33.983333333333334,7.0,15.0,0.467,0.0,3.0,0.0,13.0,16.0,0.813,0.0,6.0,6.0,5.0,1.0,0.0,3.0,2.0,27.0,7.0,DeMar DeRozan,TOR,False,True,
anunoog01,29.566666666666666,6.0,8.0,0.75,3.0,4.0,0.75,1.0,2.0,0.5,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,16.0,22.0,OG Anunoby,TOR,False,True,
ibakase01,24.866666666666667,2.0,5.0,0.4,1.0,2.0,0.5,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,1.0,3.0,5.0,18.0,Serge Ibaka,TOR,False,True,
valanjo01,16.8,5.0,9.0,0.556,0.0,0.0,,2.0,2.0,1.0,3.0,4.0,7.0,1.0,0.0,0.0,2.0,2.0,12.0,-1.0,Jonas Valančiūnas,TOR,False,True,
wrighde01,25.633333333333333,5.0,5.0,1.0,0.0,0.0,,4.0,5.0,0.8,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,14.0,18.0,Delon Wright,TOR,False,False,
siakapa01,19.016666666666666,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,2.0,-7.0,Pascal Siakam,TOR,False,False,
milescj01,16.616666666666667,6.0,12.0,0.5,6.0,9.0,0.667,1.0,2.0,0.5,0.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,19.0,-7.0,C.J. Miles,TOR,False,False,
vanvlfr01,15.883333333333333,2.0,6.0,0.333,2.0,4.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,1.0,3.0,8.0,7.0,Fred VanVleet,TOR,False,False,
poeltja01,13.6,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0,5.0,Jakob Poeltl,TOR,False,False,
noguelu01,5.483333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Lucas Nogueira,TOR,False,False,
mckinal01,1.55,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Alfonzo McKinnie,TOR,False,False,
hardeja01,39.36666666666667,8.0,25.0,0.32,3.0,11.0,0.273,19.0,19.0,1.0,1.0,5.0,6.0,11.0,0.0,1.0,9.0,5.0,38.0,-2.0,James Harden,HOU,True,True,
arizatr01,37.8,6.0,11.0,0.545,5.0,8.0,0.625,3.0,3.0,1.0,0.0,8.0,8.0,2.0,1.0,0.0,1.0,4.0,20.0,0.0,Trevor Ariza,HOU,True,True,
gordoer01,33.016666666666666,3.0,12.0,0.25,0.0,7.0,0.0,6.0,7.0,0.857,0.0,1.0,1.0,3.0,1.0,0.0,3.0,4.0,12.0,-9.0,Eric Gordon,HOU,True,True,
anderry01,31.25,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,4.0,4.0,8.0,0.0,0.0,1.0,1.0,1.0,9.0,-24.0,Ryan Anderson,HOU,True,True,
capelca01,28.833333333333332,5.0,7.0,0.714,0.0,0.0,,1.0,2.0,0.5,5.0,6.0,11.0,1.0,2.0,0.0,0.0,3.0,11.0,-17.0,Clint Capela,HOU,True,True,
mbahalu01,31.25,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,3.0,0.0,0.0,1.0,4.0,9.0,-11.0,Luc Mbah a Moute,HOU,True,False,
blackta01,17.816666666666666,5.0,8.0,0.625,0.0,1.0,0.0,3.0,4.0,0.75,3.0,4.0,7.0,0.0,0.0,2.0,2.0,4.0,13.0,1.0,Tarik Black,HOU,True,False,
tuckepj01,16.016666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,-12.0,P.J. Tucker,HOU,True,False,
brownbo02,1.55,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.0,Bobby Brown,HOU,True,False,
jacksde01,1.55,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Demetrius Jackson,HOU,True,False,
qizh01,1.55,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Zhou Qi,HOU,True,False,
paulch01,,,,,,,,,,,,,,,,,,,,,Chris Paul,HOU,True,False,Did Not Play
hilarne01,,,,,,,,,,,,,,,,,,,,,Nenê Hilário,HOU,True,False,Did Not Play
