player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
antetgi01,39.71666666666667,7.0,20.0,0.35,1.0,2.0,0.5,9.0,13.0,0.692,5.0,12.0,17.0,2.0,3.0,0.0,3.0,5.0,24.0,-18.0,Giannis Antetokounmpo,MIL,False,True
snellto01,32.88333333333333,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,8.0,-19.0,Tony Snell,MIL,False,True
middlkh01,32.55,9.0,12.0,0.75,3.0,5.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,23.0,-25.0,Khris Middleton,MIL,False,True
bledser01,21.633333333333333,2.0,10.0,0.2,0.0,3.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,2.0,4.0,6.0,-9.0,Eric Bledsoe,MIL,False,True
hensojo01,20.233333333333334,1.0,2.0,0.5,0.0,0.0,,3.0,10.0,0.3,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,5.0,-4.0,John Henson,MIL,False,True
brogdma01,32.416666666666664,2.0,9.0,0.222,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,-22.0,Malcolm Brogdon,MIL,False,False
makerth01,24.6,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,,2.0,5.0,7.0,1.0,0.0,1.0,1.0,1.0,2.0,-28.0,Thon Maker,MIL,False,False
liggide01,18.966666666666665,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,-30.0,DeAndre Liggins,MIL,False,False
paytoga02,4.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,Gary Payton,MIL,False,False
bolomjo01,3.1666666666666665,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,Joel Bolomboy,MIL,False,False
wilsodj01,3.1666666666666665,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.J. Wilson,MIL,False,False
vaughra01,3.1666666666666665,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Rashad Vaughn,MIL,False,False
terryja01,2.7,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,Jason Terry,MIL,False,False
matthwe02,33.5,8.0,14.0,0.571,6.0,8.0,0.75,0.0,0.0,,0.0,2.0,2.0,8.0,2.0,0.0,0.0,1.0,22.0,17.0,Wesley Matthews,DAL,True,True
barneha02,32.9,5.0,11.0,0.455,2.0,4.0,0.5,6.0,6.0,1.0,0.0,7.0,7.0,1.0,1.0,0.0,4.0,3.0,18.0,21.0,Harrison Barnes,DAL,True,True
nowitdi01,24.8,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,,1.0,6.0,7.0,4.0,1.0,0.0,1.0,3.0,7.0,17.0,Dirk Nowitzki,DAL,True,True
smithde03,21.85,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,5.0,13.0,Dennis Smith,DAL,True,True
klebima01,9.85,2.0,3.0,0.667,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,-2.0,Maxi Kleber,DAL,True,True
ferreyo01,32.56666666666667,6.0,8.0,0.75,3.0,5.0,0.6,1.0,2.0,0.5,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,16.0,23.0,Yogi Ferrell,DAL,True,False
poweldw01,24.85,3.0,6.0,0.5,0.0,2.0,0.0,2.0,3.0,0.667,4.0,9.0,13.0,0.0,0.0,0.0,1.0,2.0,8.0,28.0,Dwight Powell,DAL,True,False
bareajo01,23.45,5.0,10.0,0.5,4.0,7.0,0.571,6.0,7.0,0.857,1.0,2.0,3.0,7.0,0.0,0.0,3.0,2.0,20.0,19.0,J.J. Barea,DAL,True,False
harride01,19.85,2.0,7.0,0.286,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,6.0,24.0,Devin Harris,DAL,True,False
mejrisa01,6.883333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,Salah Mejri,DAL,True,False
noelne01,3.1666666666666665,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,Nerlens Noel,DAL,True,False
witheje01,3.1666666666666665,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jeff Withey,DAL,True,False
clevean01,3.1666666666666665,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Antonius Cleveland,DAL,True,False
