player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
wiggian01,35.88333333333333,5.0,14.0,0.357,0.0,3.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,11.0,-13.0,Andrew Wiggins,MIN,False,True,
teaguje01,34.9,7.0,18.0,0.389,1.0,4.0,0.25,3.0,4.0,0.75,0.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,18.0,-13.0,Jeff Teague,MIN,False,True,
butleji01,32.96666666666667,6.0,15.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,3.0,4.0,7.0,0.0,1.0,0.0,1.0,2.0,14.0,-11.0,Jimmy Butler,MIN,False,True,
townska01,30.033333333333335,5.0,10.0,0.5,0.0,3.0,0.0,8.0,9.0,0.889,2.0,10.0,12.0,2.0,0.0,1.0,1.0,4.0,18.0,-11.0,Karl-Anthony Towns,MIN,False,True,
gibsota01,29.283333333333335,0.0,4.0,0.0,0.0,0.0,,1.0,2.0,0.5,2.0,4.0,6.0,2.0,1.0,1.0,2.0,5.0,1.0,-7.0,Taj Gibson,MIN,False,True,
crawfja01,18.183333333333334,6.0,12.0,0.5,1.0,5.0,0.2,6.0,6.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,19.0,-11.0,Jamal Crawford,MIN,False,False,
dienggo01,16.85,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,-6.0,Gorgui Dieng,MIN,False,False,
bjeline01,15.533333333333333,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,7.0,-6.0,Nemanja Bjelica,MIN,False,False,
muhamsh01,12.116666666666667,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,-3.0,Shabazz Muhammad,MIN,False,False,
jonesty01,10.9,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,-2.0,Tyus Jones,MIN,False,False,
aldrico01,1.1166666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cole Aldrich,MIN,False,False,
georgma01,1.1166666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Marcus Georges-Hunt,MIN,False,False,
brookaa01,1.1166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aaron Brooks,MIN,False,False,
walkeke02,33.766666666666666,4.0,12.0,0.333,2.0,5.0,0.4,4.0,4.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,14.0,12.0,Kemba Walker,CHO,True,True,
kiddgmi01,32.28333333333333,4.0,12.0,0.333,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,2.0,2.0,3.0,8.0,13.0,Michael Kidd-Gilchrist,CHO,True,True,
howardw01,30.033333333333335,8.0,10.0,0.8,0.0,1.0,0.0,9.0,14.0,0.643,6.0,14.0,20.0,0.0,0.0,4.0,5.0,3.0,25.0,6.0,Dwight Howard,CHO,True,True,
batumni01,28.75,6.0,12.0,0.5,3.0,5.0,0.6,2.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,17.0,12.0,Nicolas Batum,CHO,True,True,
willima02,25.383333333333333,0.0,5.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,8.0,Marvin Williams,CHO,True,True,
kaminfr01,21.633333333333333,9.0,15.0,0.6,4.0,5.0,0.8,2.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,24.0,6.0,Frank Kaminsky,CHO,True,False,
lambje01,20.983333333333334,6.0,9.0,0.667,1.0,4.0,0.25,3.0,3.0,1.0,1.0,4.0,5.0,3.0,1.0,0.0,1.0,2.0,16.0,11.0,Jeremy Lamb,CHO,True,False,
zelleco01,17.966666666666665,4.0,5.0,0.8,1.0,1.0,1.0,1.0,2.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0,10.0,10.0,Cody Zeller,CHO,True,False,
cartemi01,14.233333333333333,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,1.0,4.0,2.0,4.0,Michael Carter-Williams,CHO,True,False,
bacondw01,13.85,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,Dwayne Bacon,CHO,True,False,
monkma01,1.1166666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Malik Monk,CHO,True,False,
obryajo01,,,,,,,,,,,,,,,,,,,,,Johnny O'Bryant,CHO,True,False,Did Not Play
grahatr01,,,,,,,,,,,,,,,,,,,,,Treveon Graham,CHO,True,False,Did Not Play
