player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
greendr01,32.016666666666666,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,7.0,7.0,9.0,0.0,0.0,0.0,0.0,4.0,32.0,Draymond Green,GSW,False,True,
thompkl01,31.083333333333332,8.0,15.0,0.533,2.0,7.0,0.286,1.0,2.0,0.5,1.0,4.0,5.0,4.0,0.0,0.0,1.0,1.0,19.0,33.0,Klay Thompson,GSW,False,True,
curryst01,30.316666666666666,11.0,16.0,0.688,5.0,9.0,0.556,3.0,4.0,0.75,0.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,30.0,20.0,Stephen Curry,GSW,False,True,
duranke01,28.416666666666668,9.0,18.0,0.5,2.0,7.0,0.286,4.0,4.0,1.0,1.0,2.0,3.0,7.0,1.0,0.0,4.0,1.0,24.0,18.0,Kevin Durant,GSW,False,True,
pachuza01,17.6,3.0,4.0,0.75,0.0,0.0,,2.0,3.0,0.667,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,8.0,20.0,Zaza Pachulia,GSW,False,True,
casspom01,25.116666666666667,3.0,6.0,0.5,0.0,0.0,,4.0,4.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,Omri Casspi,GSW,False,False,
mccawpa01,18.8,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,Patrick McCaw,GSW,False,False,
youngni01,15.4,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,2.0,Nick Young,GSW,False,False,
belljo01,12.683333333333334,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,Jordan Bell,GSW,False,False,
westda01,11.883333333333333,3.0,4.0,0.75,0.0,0.0,,2.0,5.0,0.4,1.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,8.0,8.0,David West,GSW,False,False,
looneke01,6.55,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,-1.0,Kevon Looney,GSW,False,False,
livinsh01,5.683333333333334,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,Shaun Livingston,GSW,False,False,
mcgeeja01,4.45,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,JaVale McGee,GSW,False,False,
richajo01,31.483333333333334,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,12.0,-29.0,Josh Richardson,MIA,True,True,
dragigo01,25.483333333333334,7.0,10.0,0.7,4.0,4.0,1.0,2.0,3.0,0.667,0.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,20.0,-23.0,Goran Dragić,MIA,True,True,
waitedi01,24.2,1.0,10.0,0.1,0.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,-19.0,Dion Waiters,MIA,True,True,
winslju01,21.383333333333333,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,7.0,-11.0,Justise Winslow,MIA,True,True,
adebaba01,19.933333333333334,3.0,5.0,0.6,0.0,0.0,,3.0,4.0,0.75,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,9.0,-16.0,Bam Adebayo,MIA,True,True,
johnsja01,29.216666666666665,2.0,8.0,0.25,0.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,3.0,1.0,5.0,-15.0,James Johnson,MIA,True,False,
olynyke01,28.066666666666666,5.0,11.0,0.455,1.0,2.0,0.5,3.0,3.0,1.0,1.0,6.0,7.0,5.0,0.0,1.0,2.0,4.0,14.0,-12.0,Kelly Olynyk,MIA,True,False,
johnsty01,26.866666666666667,4.0,10.0,0.4,3.0,5.0,0.6,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,13.0,-7.0,Tyler Johnson,MIA,True,False,
ellinwa01,26.816666666666666,3.0,10.0,0.3,3.0,10.0,0.3,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,9.0,-9.0,Wayne Ellington,MIA,True,False,
mickejo01,6.55,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,Jordan Mickey,MIA,True,False,
whiteha01,,,,,,,,,,,,,,,,,,,,,Hassan Whiteside,MIA,True,False,Did Not Dress
hasleud01,,,,,,,,,,,,,,,,,,,,,Udonis Haslem,MIA,True,False,Did Not Play
