player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
warretj01,38.0,12.0,18.0,0.667,0.0,1.0,0.0,2.0,3.0,0.667,4.0,6.0,10.0,1.0,0.0,0.0,1.0,2.0,26.0,14.0,T.J. Warren,,PHO,False,True
bookede01,31.85,9.0,25.0,0.36,3.0,9.0,0.333,5.0,7.0,0.714,0.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,26.0,5.0,Devin Booker,,PHO,False,True
chandty01,29.633333333333333,1.0,3.0,0.333,0.0,0.0,,4.0,4.0,1.0,5.0,6.0,11.0,1.0,0.0,1.0,3.0,2.0,6.0,12.0,Tyson Chandler,,PHO,False,True
chrisma01,28.25,5.0,6.0,0.833,3.0,3.0,1.0,1.0,4.0,0.25,3.0,5.0,8.0,4.0,1.0,1.0,1.0,2.0,14.0,7.0,Marquese Chriss,,PHO,False,True
ulisty01,23.983333333333334,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,5.0,-6.0,Tyler Ulis,,PHO,False,True
danietr01,20.75,3.0,10.0,0.3,2.0,8.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,15.0,Troy Daniels,,PHO,False,False
bendedr01,19.75,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,9.0,3.0,Dragan Bender,,PHO,False,False
canaais01,19.416666666666668,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,6.0,1.0,0.0,0.0,2.0,9.0,6.0,Isaiah Canaan,,PHO,False,False
lenal01,18.366666666666667,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,2.0,4.0,6.0,1.0,0.0,2.0,0.0,1.0,3.0,-2.0,Alex Len,,PHO,False,False
jacksjo02,10.0,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,4.0,-4.0,Josh Jackson,,PHO,False,False
monrogr01,,,,,,,,,,,,,,,,,,,,,Greg Monroe,Did Not Play,PHO,False,False
dudleja01,,,,,,,,,,,,,,,,,,,,,Jared Dudley,Did Not Play,PHO,False,False
masonfr01,34.05,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,5.0,2.0,0.0,1.0,3.0,7.0,12.0,Frank Mason,,SAC,True,True
hillge01,29.966666666666665,2.0,11.0,0.182,1.0,6.0,0.167,7.0,9.0,0.778,1.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,12.0,-18.0,George Hill,,SAC,True,True
templga01,27.583333333333332,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,1.0,3.0,1.0,12.0,-10.0,Garrett Temple,,SAC,True,True
randoza01,24.566666666666666,5.0,11.0,0.455,0.0,2.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,14.0,-3.0,Zach Randolph,,SAC,True,True
labissk01,15.8,5.0,6.0,0.833,0.0,0.0,,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,12.0,-3.0,Skal Labissière,,SAC,True,True
caulewi01,30.666666666666668,4.0,10.0,0.4,0.0,0.0,,3.0,4.0,0.75,4.0,5.0,9.0,3.0,2.0,0.0,0.0,0.0,11.0,-4.0,Willie Cauley-Stein,,SAC,True,False
bogdabo01,30.433333333333334,5.0,10.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,0.0,2.0,2.0,3.0,0.0,1.0,0.0,4.0,13.0,-11.0,Bogdan Bogdanović,,SAC,True,False
hieldbu01,24.7,4.0,12.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,4.0,12.0,-9.0,Buddy Hield,,SAC,True,False
koufoko01,22.233333333333334,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,8.0,-4.0,Kosta Koufos,,SAC,True,False
richama01,,,,,,,,,,,,,,,,,,,,,Malachi Richardson,Did Not Play,SAC,True,False
papagge01,,,,,,,,,,,,,,,,,,,,,Georgios Papagiannis,Did Not Play,SAC,True,False
jacksju01,,,,,,,,,,,,,,,,,,,,,Justin Jackson,Did Not Play,SAC,True,False
cartevi01,,,,,,,,,,,,,,,,,,,,,Vince Carter,Did Not Play,SAC,True,False
