player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
drumman01,30.583333333333332,9.0,15.0,0.6,0.0,1.0,0.0,4.0,6.0,0.667,7.0,13.0,20.0,5.0,2.0,2.0,4.0,1.0,22.0,16.0,Andre Drummond,DET,False,True
bullore01,27.75,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,22.0,Reggie Bullock,DET,False,True
harrito02,26.216666666666665,10.0,14.0,0.714,2.0,4.0,0.5,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,22.0,17.0,Tobias Harris,DET,False,True
bradlav01,25.3,6.0,16.0,0.375,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,13.0,17.0,Avery Bradley,DET,False,True
smithis01,24.216666666666665,4.0,8.0,0.5,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,5.0,0.0,0.0,0.0,3.0,8.0,10.0,Ish Smith,DET,False,True
buyckdw01,23.783333333333335,6.0,10.0,0.6,2.0,2.0,1.0,3.0,4.0,0.75,0.0,2.0,2.0,3.0,1.0,0.0,4.0,3.0,17.0,24.0,Dwight Buycks,DET,False,False
johnsst04,20.25,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,12.0,Stanley Johnson,DET,False,False
kennalu01,17.783333333333335,5.0,9.0,0.556,2.0,3.0,0.667,1.0,1.0,1.0,1.0,5.0,6.0,0.0,1.0,0.0,3.0,0.0,13.0,16.0,Luke Kennard,DET,False,False
tollian01,16.866666666666667,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,16.0,Anthony Tolliver,DET,False,False
moreler01,9.083333333333334,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,24.0,Eric Moreland,DET,False,False
marjabo01,8.333333333333334,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,-6.0,Boban Marjanović,DET,False,False
gallola01,4.916666666666667,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,Langston Galloway,DET,False,False
ellenhe01,4.916666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Henry Ellenson,DET,False,False
holliro01,27.9,3.0,8.0,0.375,0.0,1.0,0.0,9.0,10.0,0.9,0.0,7.0,7.0,3.0,3.0,0.0,2.0,1.0,15.0,-14.0,Rondae Hollis-Jefferson,BRK,True,True
dinwisp01,26.066666666666666,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,-15.0,Spencer Dinwiddie,BRK,True,True
crabbal01,26.05,7.0,11.0,0.636,5.0,9.0,0.556,1.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,20.0,-14.0,Allen Crabbe,BRK,True,True
harrijo01,25.466666666666665,2.0,7.0,0.286,2.0,5.0,0.4,3.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,9.0,-13.0,Joe Harris,BRK,True,True
zellety01,12.633333333333333,3.0,5.0,0.6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,7.0,-6.0,Tyler Zeller,BRK,True,True
leverca01,26.85,5.0,8.0,0.625,2.0,4.0,0.5,0.0,0.0,,0.0,5.0,5.0,3.0,1.0,0.0,6.0,1.0,12.0,-29.0,Caris LeVert,BRK,True,False
stausni01,20.433333333333334,1.0,8.0,0.125,1.0,5.0,0.2,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,-13.0,Nik Stauskas,BRK,True,False
doylemi01,19.133333333333333,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,5.0,-18.0,Milton Doyle,BRK,True,False
okafoja01,16.933333333333334,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,-14.0,Jahlil Okafor,BRK,True,False
acyqu01,15.55,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,-28.0,Quincy Acy,BRK,True,False
allenja01,14.65,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,-12.0,Jarrett Allen,BRK,True,False
mozgoti01,8.333333333333334,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,Timofey Mozgov,BRK,True,False
