player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
brownja02,27.1,4.0,5.0,0.8,1.0,1.0,1.0,2.0,4.0,0.5,0.0,6.0,6.0,2.0,0.0,1.0,4.0,4.0,11.0,-14.0,Jaylen Brown,BOS,False,True
horfoal01,24.433333333333334,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,,0.0,6.0,6.0,3.0,0.0,2.0,4.0,1.0,2.0,-15.0,Al Horford,BOS,False,True
irvinky01,21.933333333333334,6.0,12.0,0.5,2.0,6.0,0.333,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,17.0,-22.0,Kyrie Irving,BOS,False,True
tatumja01,20.816666666666666,2.0,9.0,0.222,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,-16.0,Jayson Tatum,BOS,False,True
baynear01,20.033333333333335,3.0,8.0,0.375,0.0,0.0,,0.0,0.0,,3.0,5.0,8.0,1.0,0.0,0.0,1.0,1.0,6.0,-6.0,Aron Baynes,BOS,False,True
morrima03,29.65,4.0,13.0,0.308,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,12.0,-20.0,Marcus Morris,BOS,False,False
roziete01,24.166666666666668,5.0,12.0,0.417,4.0,5.0,0.8,4.0,4.0,1.0,1.0,4.0,5.0,4.0,2.0,0.0,2.0,2.0,18.0,-8.0,Terry Rozier,BOS,False,False
theisda01,22.033333333333335,4.0,5.0,0.8,0.0,0.0,,2.0,3.0,0.667,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,Daniel Theis,BOS,False,False
ojelese01,19.766666666666666,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,-18.0,Semi Ojeleye,BOS,False,False
naderab01,14.25,2.0,7.0,0.286,1.0,1.0,1.0,0.0,0.0,,2.0,1.0,3.0,3.0,1.0,0.0,2.0,2.0,5.0,6.0,Abdel Nader,BOS,False,False
yabusgu01,10.7,1.0,1.0,1.0,0.0,0.0,,2.0,4.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,Guerschon Yabusele,BOS,False,False
allenka01,5.116666666666666,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,Kadeem Allen,BOS,False,False
derozde01,29.35,6.0,17.0,0.353,2.0,6.0,0.333,1.0,1.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,2.0,15.0,11.0,DeMar DeRozan,TOR,True,True
lowryky01,25.166666666666668,6.0,13.0,0.462,6.0,11.0,0.545,5.0,7.0,0.714,2.0,6.0,8.0,4.0,2.0,0.0,1.0,1.0,23.0,12.0,Kyle Lowry,TOR,True,True
ibakase01,22.416666666666668,4.0,5.0,0.8,0.0,0.0,,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,4.0,1.0,8.0,7.0,Serge Ibaka,TOR,True,True
valanjo01,20.65,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,,1.0,6.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,11.0,Jonas Valančiūnas,TOR,True,True
anunoog01,15.3,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,4.0,6.0,OG Anunoby,TOR,True,True
vanvlfr01,30.633333333333333,3.0,5.0,0.6,2.0,3.0,0.667,2.0,2.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,1.0,2.0,10.0,17.0,Fred VanVleet,TOR,True,False
siakapa01,25.116666666666667,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,13.0,Pascal Siakam,TOR,True,False
wrighde01,24.9,6.0,11.0,0.545,1.0,4.0,0.25,1.0,2.0,0.5,0.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,14.0,5.0,Delon Wright,TOR,True,False
poeltja01,23.633333333333333,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,2.0,4.0,4.0,16.0,Jakob Poeltl,TOR,True,False
milescj01,15.4,6.0,8.0,0.75,5.0,7.0,0.714,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,16.0,C.J. Miles,TOR,True,False
powelno01,3.716666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-7.0,Norman Powell,TOR,True,False
noguelu01,3.716666666666667,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-7.0,Lucas Nogueira,TOR,True,False
