player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
georgpa01,37.81666666666667,10.0,15.0,0.667,6.0,9.0,0.667,2.0,3.0,0.667,1.0,5.0,6.0,4.0,2.0,0.0,1.0,2.0,28.0,8.0,Paul George,,OKC,False,True
westbru01,37.03333333333333,6.0,14.0,0.429,0.0,4.0,0.0,11.0,12.0,0.917,2.0,11.0,13.0,15.0,1.0,2.0,4.0,1.0,23.0,14.0,Russell Westbrook,,OKC,False,True
anthoca01,33.4,7.0,18.0,0.389,4.0,10.0,0.4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,19.0,6.0,Carmelo Anthony,,OKC,False,True
adamsst01,31.0,4.0,9.0,0.444,0.0,0.0,,3.0,5.0,0.6,3.0,1.0,4.0,1.0,0.0,1.0,2.0,5.0,11.0,14.0,Steven Adams,,OKC,False,True
abrinal01,11.916666666666666,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.0,Álex Abrines,,OKC,False,True
feltora01,23.083333333333332,3.0,7.0,0.429,2.0,4.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,12.0,13.0,Raymond Felton,,OKC,False,False
pattepa01,21.333333333333332,4.0,7.0,0.571,3.0,4.0,0.75,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,12.0,6.0,Patrick Patterson,,OKC,False,False
grantje01,21.016666666666666,2.0,3.0,0.667,0.0,1.0,0.0,1.0,4.0,0.25,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,-6.0,Jerami Grant,,OKC,False,False
fergute01,10.083333333333334,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,Terrance Ferguson,,OKC,False,False
huestjo01,9.833333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-6.0,Josh Huestis,,OKC,False,False
johnsda04,3.4833333333333334,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,-4.0,Dakari Johnson,,OKC,False,False
singlky01,,,,,,,,,,,,,,,,,,,,,Kyle Singler,Did Not Play,OKC,False,False
collini01,,,,,,,,,,,,,,,,,,,,,Nick Collison,Did Not Play,OKC,False,False
brookdi01,38.71666666666667,6.0,15.0,0.4,2.0,6.0,0.333,0.0,0.0,,0.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,14.0,9.0,Dillon Brooks,,MEM,True,True
harrian01,33.28333333333333,10.0,16.0,0.625,5.0,5.0,1.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,6.0,28.0,-3.0,Andrew Harrison,,MEM,True,True
evansty01,30.633333333333333,8.0,18.0,0.444,4.0,7.0,0.571,3.0,5.0,0.6,1.0,8.0,9.0,7.0,1.0,1.0,3.0,2.0,23.0,0.0,Tyreke Evans,,MEM,True,True
gasolma01,29.983333333333334,4.0,11.0,0.364,0.0,3.0,0.0,2.0,3.0,0.667,0.0,6.0,6.0,9.0,1.0,0.0,3.0,5.0,10.0,-5.0,Marc Gasol,,MEM,True,True
greenja01,18.516666666666666,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,3.0,2.0,5.0,2.0,0.0,0.0,0.0,3.0,5.0,-10.0,JaMychal Green,,MEM,True,True
martija01,30.9,7.0,12.0,0.583,1.0,2.0,0.5,2.0,2.0,1.0,1.0,7.0,8.0,2.0,1.0,1.0,3.0,2.0,17.0,-1.0,Jarell Martin,,MEM,True,False
davisde01,18.016666666666666,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,-2.0,Deyonta Davis,,MEM,True,False
chalmma01,15.766666666666667,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,-10.0,Mario Chalmers,,MEM,True,False
mclembe01,12.166666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,Ben McLemore,,MEM,True,False
parsoch01,12.016666666666667,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,-21.0,Chandler Parsons,,MEM,True,False
rabbiv01,,,,,,,,,,,,,,,,,,,,,Ivan Rabb,Did Not Play,MEM,True,False
johnsbr02,,,,,,,,,,,,,,,,,,,,,Brice Johnson,Did Not Play,MEM,True,False
henrymy01,,,,,,,,,,,,,,,,,,,,,Myke Henry,Did Not Play,MEM,True,False
