player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
jamesle01,36.666666666666664,7.0,16.0,0.438,0.0,2.0,0.0,4.0,4.0,1.0,0.0,14.0,14.0,11.0,1.0,0.0,3.0,0.0,18.0,18.0,LeBron James,CLE,False,True,
hillge01,34.35,5.0,11.0,0.455,1.0,4.0,0.25,7.0,8.0,0.875,2.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,18.0,15.0,George Hill,CLE,False,True,
osmande01,21.45,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,10.0,3.0,Cedi Osman,CLE,False,True,
thomptr01,16.333333333333332,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,1.0,2.0,4.0,2.0,-4.0,Tristan Thompson,CLE,False,True,
smithjr01,15.416666666666666,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,5.0,-6.0,J.R. Smith,CLE,False,True,
nancela02,26.633333333333333,6.0,11.0,0.545,0.0,0.0,,3.0,3.0,1.0,4.0,4.0,8.0,2.0,4.0,2.0,1.0,4.0,15.0,26.0,Larry Nance,CLE,False,False,
hoodro01,24.516666666666666,4.0,11.0,0.364,2.0,5.0,0.4,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,10.0,21.0,Rodney Hood,CLE,False,False,
korveky01,21.216666666666665,2.0,4.0,0.5,2.0,3.0,0.667,3.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,9.0,11.0,Kyle Korver,CLE,False,False,
clarkjo01,19.85,6.0,13.0,0.462,2.0,6.0,0.333,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,1.0,4.0,1.0,14.0,17.0,Jordan Clarkson,CLE,False,False,
greenje02,15.066666666666666,2.0,6.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,Jeff Green,CLE,False,False,
hollajo02,3.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,John Holland,CLE,False,False,
caldejo01,3.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,José Calderón,CLE,False,False,
zizican01,1.9,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,Ante Žižić,CLE,False,False,
brookdi01,31.3,4.0,11.0,0.364,0.0,3.0,0.0,4.0,5.0,0.8,0.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,12.0,-14.0,Dillon Brooks,MEM,True,True,
evansty01,30.733333333333334,5.0,13.0,0.385,3.0,7.0,0.429,2.0,2.0,1.0,1.0,3.0,4.0,10.0,3.0,0.0,4.0,0.0,15.0,-2.0,Tyreke Evans,MEM,True,True,
gasolma01,30.483333333333334,5.0,12.0,0.417,1.0,3.0,0.333,3.0,4.0,0.75,0.0,9.0,9.0,4.0,0.0,1.0,5.0,4.0,14.0,-11.0,Marc Gasol,MEM,True,True,
harrian01,28.266666666666666,3.0,11.0,0.273,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,9.0,-14.0,Andrew Harrison,MEM,True,True,
greenja01,23.933333333333334,6.0,11.0,0.545,1.0,3.0,0.333,2.0,2.0,1.0,3.0,7.0,10.0,1.0,1.0,1.0,1.0,5.0,15.0,14.0,JaMychal Green,MEM,True,True,
chalmma01,25.616666666666667,2.0,10.0,0.2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,4.0,4.0,-18.0,Mario Chalmers,MEM,True,False,
mclembe01,24.2,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,-34.0,Ben McLemore,MEM,True,False,
martija01,23.333333333333332,3.0,6.0,0.5,2.0,2.0,1.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,2.0,0.0,1.0,5.0,9.0,-19.0,Jarell Martin,MEM,True,False,
davisde01,17.516666666666666,3.0,3.0,1.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,-12.0,Deyonta Davis,MEM,True,False,
rabbiv01,4.616666666666667,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-5.0,Ivan Rabb,MEM,True,False,
parsoch01,,,,,,,,,,,,,,,,,,,,,Chandler Parsons,MEM,True,False,Did Not Play
johnsbr02,,,,,,,,,,,,,,,,,,,,,Brice Johnson,MEM,True,False,Did Not Play
