player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
griffbl01,36.9,9.0,21.0,0.429,5.0,8.0,0.625,3.0,3.0,1.0,1.0,5.0,6.0,9.0,1.0,0.0,2.0,3.0,26.0,1.0,Blake Griffin,,DET,False,True
bullore01,35.28333333333333,7.0,12.0,0.583,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,17.0,-1.0,Reggie Bullock,,DET,False,True
drumman01,33.516666666666666,9.0,18.0,0.5,0.0,0.0,,3.0,8.0,0.375,6.0,11.0,17.0,2.0,1.0,3.0,3.0,5.0,21.0,-3.0,Andre Drummond,,DET,False,True
ennisja01,26.75,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,,1.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0,5.0,-12.0,James Ennis,,DET,False,True
smithis01,24.983333333333334,4.0,7.0,0.571,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,6.0,1.0,0.0,2.0,2.0,8.0,-11.0,Ish Smith,,DET,False,True
buyckdw01,23.016666666666666,8.0,15.0,0.533,1.0,3.0,0.333,5.0,6.0,0.833,0.0,1.0,1.0,4.0,2.0,0.0,2.0,3.0,22.0,4.0,Dwight Buycks,,DET,False,False
tollian01,19.683333333333334,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,-3.0,Anthony Tolliver,,DET,False,False
kennalu01,17.566666666666666,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,Luke Kennard,,DET,False,False
johnsst04,16.4,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,-5.0,Stanley Johnson,,DET,False,False
moreler01,5.9,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.0,Eric Moreland,,DET,False,False
nelsoja01,,,,,,,,,,,,,,,,,,,,,Jameer Nelson,Did Not Play,DET,False,False
gallola01,,,,,,,,,,,,,,,,,,,,,Langston Galloway,Did Not Play,DET,False,False
ellenhe01,,,,,,,,,,,,,,,,,,,,,Henry Ellenson,Did Not Play,DET,False,False
chandwi01,40.016666666666666,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,6.0,8.0,5.0,1.0,0.0,0.0,1.0,0.0,-6.0,Wilson Chandler,,DEN,True,True
jokicni01,37.916666666666664,8.0,15.0,0.533,2.0,5.0,0.4,5.0,6.0,0.833,2.0,10.0,12.0,10.0,3.0,3.0,2.0,5.0,23.0,15.0,Nikola Jokić,,DEN,True,True
murraja01,32.78333333333333,9.0,17.0,0.529,5.0,8.0,0.625,3.0,5.0,0.6,2.0,7.0,9.0,1.0,2.0,0.0,2.0,1.0,26.0,1.0,Jamal Murray,,DEN,True,True
millspa01,30.616666666666667,6.0,12.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,4.0,4.0,3.0,1.0,0.0,4.0,1.0,14.0,12.0,Paul Millsap,,DEN,True,True
harriga01,27.766666666666666,5.0,7.0,0.714,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,11.0,3.0,Gary Harris,,DEN,True,True
bartowi01,31.55,8.0,16.0,0.5,1.0,5.0,0.2,6.0,8.0,0.75,2.0,2.0,4.0,3.0,0.0,2.0,4.0,3.0,23.0,9.0,Will Barton,,DEN,True,False
harride01,15.216666666666667,3.0,6.0,0.5,1.0,3.0,0.333,5.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,6.0,Devin Harris,,DEN,True,False
plumlma01,12.416666666666666,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,-2.0,Mason Plumlee,,DEN,True,False
lylestr01,11.466666666666667,3.0,4.0,0.75,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,Trey Lyles,,DEN,True,False
beaslma01,0.26666666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,Malik Beasley,,DEN,True,False
jefferi01,,,,,,,,,,,,,,,,,,,,,Richard Jefferson,Did Not Play,DEN,True,False
farieke01,,,,,,,,,,,,,,,,,,,,,Kenneth Faried,Did Not Play,DEN,True,False
arthuda01,,,,,,,,,,,,,,,,,,,,,Darrell Arthur,Did Not Play,DEN,True,False
