player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
richajo01,27.383333333333333,7.0,12.0,0.583,2.0,2.0,1.0,3.0,3.0,1.0,0.0,4.0,4.0,2.0,3.0,4.0,0.0,0.0,19.0,14.0,Josh Richardson,MIA,False,True
babbilu01,24.85,1.0,6.0,0.167,1.0,6.0,0.167,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,Luke Babbitt,MIA,False,True
johnsty01,23.066666666666666,3.0,10.0,0.3,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,6.0,4.0,Tyler Johnson,MIA,False,True
whiteha01,21.0,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,2.0,11.0,13.0,2.0,0.0,3.0,0.0,2.0,4.0,1.0,Hassan Whiteside,MIA,False,True
mcgruro01,20.8,5.0,6.0,0.833,3.0,4.0,0.75,1.0,2.0,0.5,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,14.0,21.0,Rodney McGruder,MIA,False,True
winslju01,27.183333333333334,7.0,16.0,0.438,1.0,4.0,0.25,3.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,18.0,24.0,Justise Winslow,MIA,False,False
ellinwa01,23.533333333333335,4.0,9.0,0.444,3.0,8.0,0.375,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,11.0,12.0,Wayne Ellington,MIA,False,False
olynyke01,22.683333333333334,7.0,12.0,0.583,5.0,7.0,0.714,0.0,0.0,,2.0,6.0,8.0,5.0,0.0,0.0,1.0,4.0,19.0,26.0,Kelly Olynyk,MIA,False,False
adebaba01,19.766666666666666,1.0,6.0,0.167,0.0,0.0,,2.0,2.0,1.0,2.0,8.0,10.0,2.0,3.0,1.0,3.0,1.0,4.0,26.0,Bam Adebayo,MIA,False,False
jonesde02,11.8,3.0,5.0,0.6,1.0,2.0,0.5,3.0,4.0,0.75,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,10.0,2.0,Derrick Jones,MIA,False,False
mickejo01,7.233333333333333,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,Jordan Mickey,MIA,False,False
hasleud01,5.35,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,Udonis Haslem,MIA,False,False
waltode01,5.35,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,Derrick Walton,MIA,False,False
collijo01,27.416666666666668,3.0,9.0,0.333,1.0,2.0,0.5,2.0,4.0,0.5,2.0,6.0,8.0,4.0,0.0,1.0,3.0,1.0,9.0,-18.0,John Collins,ATL,True,True
princta02,24.283333333333335,8.0,14.0,0.571,3.0,6.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,20.0,-12.0,Taurean Waller-Prince,ATL,True,True
leeda03,22.883333333333333,7.0,13.0,0.538,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,3.0,2.0,15.0,-6.0,Damion Lee,ATL,True,True
dedmode01,22.366666666666667,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,,1.0,7.0,8.0,2.0,0.0,0.0,2.0,2.0,6.0,-16.0,Dewayne Dedmon,ATL,True,True
taylois01,19.25,1.0,8.0,0.125,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,-15.0,Isaiah Taylor,ATL,True,True
dorsety01,25.766666666666666,5.0,13.0,0.385,1.0,4.0,0.25,4.0,5.0,0.8,0.0,5.0,5.0,1.0,2.0,0.0,1.0,1.0,15.0,-30.0,Tyler Dorsey,ATL,True,False
plumlmi01,22.183333333333334,0.0,2.0,0.0,0.0,0.0,,2.0,4.0,0.5,2.0,5.0,7.0,1.0,0.0,1.0,0.0,1.0,2.0,-8.0,Miles Plumlee,ATL,True,False
muscami01,20.183333333333334,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,-9.0,Mike Muscala,ATL,True,False
magetjo01,18.833333333333332,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,-7.0,Josh Magette,ATL,True,False
clevean01,12.25,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,5.0,-2.0,Antonius Cleveland,ATL,True,False
cavanty01,9.616666666666667,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,-9.0,Tyler Cavanaugh,ATL,True,False
whitean01,9.616666666666667,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-9.0,Andrew White,ATL,True,False
evansje01,5.35,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,-4.0,Jeremy Evans,ATL,True,False
