player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
caulewi01,37.85,10.0,20.0,0.5,0.0,0.0,,5.0,8.0,0.625,2.0,8.0,10.0,2.0,0.0,1.0,1.0,4.0,25.0,3.0,Willie Cauley-Stein,,SAC,False,True
foxde01,37.61666666666667,7.0,17.0,0.412,3.0,5.0,0.6,4.0,5.0,0.8,3.0,1.0,4.0,7.0,0.0,0.0,5.0,1.0,21.0,-9.0,De'Aaron Fox,,SAC,False,True
jacksju01,32.416666666666664,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,-4.0,Justin Jackson,,SAC,False,True
bogdabo01,25.833333333333332,1.0,8.0,0.125,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,-5.0,Bogdan Bogdanović,,SAC,False,True
sampsja02,19.616666666666667,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,,2.0,5.0,7.0,0.0,0.0,0.0,1.0,5.0,6.0,-5.0,JaKarr Sampson,,SAC,False,True
hieldbu01,32.06666666666667,7.0,17.0,0.412,3.0,6.0,0.5,0.0,0.0,,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,17.0,-22.0,Buddy Hield,,SAC,False,False
hayesni01,19.483333333333334,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,,1.0,8.0,9.0,1.0,1.0,0.0,0.0,1.0,7.0,-3.0,Nigel Hayes,,SAC,False,False
cartevi01,17.183333333333334,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,3.0,1.0,0.0,1.0,2.0,3.0,-1.0,Vince Carter,,SAC,False,False
cooleja01,10.15,1.0,3.0,0.333,0.0,0.0,,2.0,4.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,-16.0,Jack Cooley,,SAC,False,False
cabocbr01,7.783333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,Bruno Caboclo,,SAC,False,False
templga01,,,,,,,,,,,,,,,,,,,,,Garrett Temple,Did Not Play,SAC,False,False
randoza01,,,,,,,,,,,,,,,,,,,,,Zach Randolph,Did Not Play,SAC,False,False
koufoko01,,,,,,,,,,,,,,,,,,,,,Kosta Koufos,Did Not Play,SAC,False,False
millspa02,36.68333333333333,6.0,14.0,0.429,3.0,10.0,0.3,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,15.0,7.0,Patty Mills,,SAS,True,True
aldrila01,32.53333333333333,6.0,19.0,0.316,0.0,1.0,0.0,3.0,4.0,0.75,4.0,10.0,14.0,2.0,0.0,2.0,0.0,1.0,15.0,-2.0,LaMarcus Aldridge,,SAS,True,True
gasolpa01,19.583333333333332,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,3.0,1.0,1.0,0.0,2.0,2.0,7.0,Pau Gasol,,SAS,True,True
greenda02,15.566666666666666,1.0,6.0,0.167,0.0,3.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-12.0,Danny Green,,SAS,True,True
murrade01,15.116666666666667,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,-2.0,Dejounte Murray,,SAS,True,True
ginobma01,27.166666666666668,5.0,11.0,0.455,2.0,6.0,0.333,5.0,5.0,1.0,0.0,6.0,6.0,5.0,1.0,0.0,3.0,3.0,17.0,17.0,Manu Ginóbili,,SAS,True,False
anderky01,25.783333333333335,2.0,4.0,0.5,0.0,1.0,0.0,4.0,6.0,0.667,0.0,5.0,5.0,2.0,2.0,1.0,0.0,2.0,8.0,6.0,Kyle Anderson,,SAS,True,False
gayru01,21.2,5.0,9.0,0.556,0.0,1.0,0.0,8.0,9.0,0.889,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,18.0,15.0,Rudy Gay,,SAS,True,False
forbebr01,18.633333333333333,4.0,5.0,0.8,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,25.0,Bryn Forbes,,SAS,True,False
parketo01,18.466666666666665,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,Tony Parker,,SAS,True,False
bertada01,7.366666666666666,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,Dāvis Bertāns,,SAS,True,False
paulbr01,0.95,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Brandon Paul,,SAS,True,False
lauvejo01,0.95,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Joffrey Lauvergne,,SAS,True,False
