player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
mitchdo01,42.61666666666667,10.0,25.0,0.4,0.0,7.0,0.0,8.0,9.0,0.889,0.0,6.0,6.0,2.0,1.0,0.0,4.0,1.0,28.0,4.0,Donovan Mitchell,,UTA,False,True
favorde01,37.06666666666667,8.0,14.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,8.0,8.0,16.0,3.0,1.0,0.0,1.0,2.0,20.0,14.0,Derrick Favors,,UTA,False,True
rubiori01,35.46666666666667,6.0,16.0,0.375,5.0,8.0,0.625,5.0,6.0,0.833,0.0,7.0,7.0,9.0,1.0,0.0,3.0,4.0,22.0,3.0,Ricky Rubio,,UTA,False,True
inglejo01,33.85,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,21.0,Joe Ingles,,UTA,False,True
goberru01,33.28333333333333,3.0,5.0,0.6,0.0,0.0,,7.0,12.0,0.583,5.0,10.0,15.0,3.0,2.0,3.0,3.0,2.0,13.0,-5.0,Rudy Gobert,,UTA,False,True
crowdja01,19.2,0.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,3.0,0.0,1.0,5.0,1.0,-14.0,Jae Crowder,,UTA,False,False
onealro01,13.216666666666667,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,-11.0,Royce O'Neale,,UTA,False,False
jerebjo01,12.766666666666667,5.0,9.0,0.556,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,10.0,19.0,Jonas Jerebko,,UTA,False,False
exumda01,12.533333333333333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,Dante Exum,,UTA,False,False
udohek01,,,,,,,,,,,,,,,,,,,,,Ekpe Udoh,Did Not Play,UTA,False,False
stockda01,,,,,,,,,,,,,,,,,,,,,David Stockton,Did Not Play,UTA,False,False
netora01,,,,,,,,,,,,,,,,,,,,,Raul Neto,Did Not Play,UTA,False,False
burksal01,,,,,,,,,,,,,,,,,,,,,Alec Burks,Did Not Play,UTA,False,False
georgpa01,43.2,6.0,21.0,0.286,4.0,12.0,0.333,2.0,4.0,0.5,0.0,10.0,10.0,1.0,0.0,3.0,3.0,2.0,18.0,-8.0,Paul George,,OKC,True,True
anthoca01,37.916666666666664,6.0,18.0,0.333,2.0,9.0,0.222,3.0,4.0,0.75,0.0,9.0,9.0,0.0,1.0,0.0,1.0,3.0,17.0,4.0,Carmelo Anthony,,OKC,True,True
westbru01,37.2,7.0,19.0,0.368,2.0,3.0,0.667,3.0,4.0,0.75,1.0,8.0,9.0,13.0,4.0,0.0,3.0,4.0,19.0,-5.0,Russell Westbrook,,OKC,True,True
breweco01,28.816666666666666,4.0,8.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,11.0,9.0,Corey Brewer,,OKC,True,True
adamsst01,22.0,4.0,5.0,0.8,0.0,0.0,,1.0,2.0,0.5,5.0,2.0,7.0,1.0,1.0,0.0,2.0,6.0,9.0,-10.0,Steven Adams,,OKC,True,True
grantje01,30.433333333333334,6.0,10.0,0.6,0.0,2.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,1.0,0.0,0.0,3.0,3.0,13.0,1.0,Jerami Grant,,OKC,True,False
feltora01,15.483333333333333,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,8.0,-9.0,Raymond Felton,,OKC,True,False
abrinal01,14.866666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-6.0,Álex Abrines,,OKC,True,False
pattepa01,10.083333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-11.0,Patrick Patterson,,OKC,True,False
johnsda04,,,,,,,,,,,,,,,,,,,,,Dakari Johnson,Did Not Play,OKC,True,False
huestjo01,,,,,,,,,,,,,,,,,,,,,Josh Huestis,Did Not Play,OKC,True,False
fergute01,,,,,,,,,,,,,,,,,,,,,Terrance Ferguson,Did Not Play,OKC,True,False
collini01,,,,,,,,,,,,,,,,,,,,,Nick Collison,Did Not Play,OKC,True,False
