player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
batumni01,29.983333333333334,6.0,8.0,0.75,3.0,4.0,0.75,0.0,0.0,,0.0,6.0,6.0,5.0,2.0,0.0,2.0,0.0,15.0,32.0,Nicolas Batum,CHO,False,True
walkeke02,26.766666666666666,8.0,16.0,0.5,5.0,10.0,0.5,5.0,5.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,3.0,0.0,26.0,34.0,Kemba Walker,CHO,False,True
lambje01,25.083333333333332,2.0,7.0,0.286,0.0,2.0,0.0,4.0,4.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,0.0,0.0,8.0,19.0,Jeremy Lamb,CHO,False,True
zelleco01,22.75,3.0,8.0,0.375,0.0,0.0,,2.0,2.0,1.0,3.0,5.0,8.0,2.0,1.0,0.0,0.0,2.0,8.0,17.0,Cody Zeller,CHO,False,True
willima02,20.483333333333334,3.0,7.0,0.429,2.0,6.0,0.333,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,13.0,Marvin Williams,CHO,False,True
monkma01,23.616666666666667,4.0,12.0,0.333,2.0,6.0,0.333,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,11.0,5.0,Malik Monk,CHO,False,False
kiddgmi01,22.483333333333334,5.0,8.0,0.625,0.0,2.0,0.0,2.0,4.0,0.5,2.0,7.0,9.0,5.0,0.0,2.0,1.0,1.0,12.0,24.0,Michael Kidd-Gilchrist,CHO,False,False
hernawi01,17.3,2.0,5.0,0.4,1.0,1.0,1.0,1.0,2.0,0.5,3.0,2.0,5.0,2.0,1.0,0.0,2.0,4.0,6.0,15.0,Willy Hernangómez,CHO,False,False
parketo01,16.2,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,2.0,2.0,0.0,3.0,Tony Parker,CHO,False,False
bridgmi02,14.4,6.0,8.0,0.75,3.0,3.0,1.0,0.0,0.0,,2.0,6.0,8.0,2.0,0.0,1.0,1.0,1.0,15.0,3.0,Miles Bridges,CHO,False,False
bacondw01,7.95,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,Dwayne Bacon,CHO,False,False
kaminfr01,7.95,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,Frank Kaminsky,CHO,False,False
biyombi01,5.033333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-5.0,Bismack Biyombo,CHO,False,False
fournev01,25.083333333333332,5.0,15.0,0.333,2.0,9.0,0.222,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,12.0,-33.0,Evan Fournier,ORL,True,True
gordoaa01,24.9,2.0,9.0,0.222,0.0,4.0,0.0,1.0,1.0,1.0,3.0,7.0,10.0,2.0,2.0,2.0,3.0,2.0,5.0,-5.0,Aaron Gordon,ORL,True,True
vucevni01,22.383333333333333,6.0,11.0,0.545,0.0,0.0,,0.0,0.0,,3.0,5.0,8.0,4.0,0.0,4.0,2.0,1.0,12.0,-24.0,Nikola Vučević,ORL,True,True
augusdj01,20.9,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,-24.0,D.J. Augustin,ORL,True,True
isaacjo01,14.416666666666666,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,1.0,4.0,5.0,0.0,1.0,0.0,2.0,4.0,2.0,-11.0,Jonathan Isaac,ORL,True,True
grantje02,24.983333333333334,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,7.0,-9.0,Jerian Grant,ORL,True,False
simmojo02,22.683333333333334,3.0,9.0,0.333,1.0,3.0,0.333,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,7.0,-16.0,Jonathon Simmons,ORL,True,False
rosste01,19.033333333333335,4.0,10.0,0.4,1.0,3.0,0.333,5.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,14.0,-13.0,Terrence Ross,ORL,True,False
bambamo01,18.616666666666667,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,-20.0,Mohamed Bamba,ORL,True,False
iwundwe01,14.866666666666667,4.0,11.0,0.364,0.0,2.0,0.0,3.0,5.0,0.6,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,11.0,-3.0,Wesley Iwundu,ORL,True,False
martija01,12.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,-4.0,Jarell Martin,ORL,True,False
briscis01,10.066666666666666,4.0,5.0,0.8,1.0,1.0,1.0,1.0,3.0,0.333,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,10.0,1.0,Isaiah Briscoe,ORL,True,False
birchkh01,10.066666666666666,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Khem Birch,ORL,True,False
