player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
brogdma01,25.483333333333334,6.0,8.0,0.75,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,13.0,25.0,Malcolm Brogdon,MIL,False,True
middlkh01,24.566666666666666,6.0,10.0,0.6,4.0,7.0,0.571,0.0,0.0,,0.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,16.0,17.0,Khris Middleton,MIL,False,True
lopezbr01,23.716666666666665,4.0,9.0,0.444,3.0,7.0,0.429,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,11.0,24.0,Brook Lopez,MIL,False,True
antetgi01,23.483333333333334,5.0,9.0,0.556,0.0,1.0,0.0,5.0,6.0,0.833,0.0,12.0,12.0,6.0,0.0,2.0,4.0,4.0,15.0,15.0,Giannis Antetokounmpo,MIL,False,True
bledser01,20.75,3.0,6.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,9.0,0.0,0.0,4.0,3.0,6.0,21.0,Eric Bledsoe,MIL,False,True
ilyaser01,20.216666666666665,6.0,10.0,0.6,2.0,5.0,0.4,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,16.0,13.0,Ersan İlyasova,MIL,False,False
divindo01,18.55,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,,2.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,9.0,20.0,Donte DiVincenzo,MIL,False,False
hensojo01,18.05,3.0,6.0,0.5,3.0,4.0,0.75,0.0,0.0,,1.0,11.0,12.0,1.0,0.0,1.0,0.0,0.0,9.0,12.0,John Henson,MIL,False,False
connapa01,17.483333333333334,3.0,8.0,0.375,1.0,5.0,0.2,0.0,0.0,,0.0,7.0,7.0,0.0,0.0,0.0,1.0,3.0,7.0,5.0,Pat Connaughton,MIL,False,False
snellto01,15.466666666666667,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,4.0,Tony Snell,MIL,False,False
makerth01,12.0,3.0,4.0,0.75,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,8.0,0.0,Thon Maker,MIL,False,False
dellama01,10.116666666666667,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,-3.0,Matthew Dellavedova,MIL,False,False
brownst02,10.116666666666667,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,-3.0,Sterling Brown,MIL,False,False
okogijo01,29.283333333333335,2.0,10.0,0.2,0.0,5.0,0.0,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,-27.0,Josh Okogie,MIN,True,True
townska01,26.833333333333332,7.0,16.0,0.438,2.0,5.0,0.4,0.0,0.0,,3.0,4.0,7.0,1.0,1.0,2.0,1.0,3.0,16.0,-23.0,Karl-Anthony Towns,MIN,True,True
butleji01,24.133333333333333,2.0,11.0,0.182,0.0,4.0,0.0,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,1.0,0.0,1.0,4.0,-23.0,Jimmy Butler,MIN,True,True
teaguje01,21.7,2.0,10.0,0.2,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,4.0,-24.0,Jeff Teague,MIN,True,True
gibsota01,19.316666666666666,4.0,9.0,0.444,0.0,1.0,0.0,3.0,5.0,0.6,5.0,2.0,7.0,1.0,1.0,2.0,1.0,4.0,11.0,-15.0,Taj Gibson,MIN,True,True
rosede01,26.716666666666665,5.0,13.0,0.385,1.0,3.0,0.333,3.0,5.0,0.6,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,14.0,-10.0,Derrick Rose,MIN,True,False
jonesty01,26.3,4.0,13.0,0.308,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,12.0,-6.0,Tyus Jones,MIN,True,False
tollian01,24.816666666666666,4.0,9.0,0.444,3.0,7.0,0.429,0.0,0.0,,1.0,5.0,6.0,3.0,0.0,0.0,2.0,1.0,11.0,-15.0,Anthony Tolliver,MIN,True,False
dienggo01,15.466666666666667,2.0,8.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0,1.0,6.0,-5.0,Gorgui Dieng,MIN,True,False
denglu01,12.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,,3.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,Luol Deng,MIN,True,False
bateske01,5.7,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Keita Bates-Diop,MIN,True,False
nunnaja01,3.8666666666666667,2.0,4.0,0.5,2.0,4.0,0.5,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,James Nunnally,MIN,True,False
willicj01,3.8666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,C.J. Williams,MIN,True,False
