player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
georgpa01,38.266666666666666,8.0,21.0,0.381,3.0,9.0,0.333,1.0,2.0,0.5,5.0,8.0,13.0,6.0,2.0,0.0,5.0,3.0,20.0,3.0,Paul George,OKC,False,True,
adamsst01,36.7,8.0,11.0,0.727,0.0,0.0,,4.0,8.0,0.5,7.0,6.0,13.0,2.0,0.0,0.0,0.0,3.0,20.0,-2.0,Steven Adams,OKC,False,True,
schrode01,31.633333333333333,8.0,21.0,0.381,1.0,4.0,0.25,2.0,3.0,0.667,3.0,3.0,6.0,3.0,2.0,0.0,4.0,0.0,19.0,-1.0,Dennis Schröder,OKC,False,True,
grantje01,29.266666666666666,4.0,6.0,0.667,1.0,2.0,0.5,4.0,5.0,0.8,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,13.0,3.0,Jerami Grant,OKC,False,True,
fergute01,24.883333333333333,1.0,7.0,0.143,0.0,5.0,0.0,0.0,0.0,,3.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,-8.0,Terrance Ferguson,OKC,False,True,
abrinal01,26.083333333333332,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,-9.0,Álex Abrines,OKC,False,False,
feltora01,16.016666666666666,3.0,12.0,0.25,1.0,6.0,0.167,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,7.0,-14.0,Raymond Felton,OKC,False,False,
pattepa01,15.266666666666667,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,-17.0,Patrick Patterson,OKC,False,False,
noelne01,11.3,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,3.0,3.0,6.0,0.0,1.0,1.0,3.0,4.0,2.0,-13.0,Nerlens Noel,OKC,False,False,
diallha01,7.316666666666666,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-13.0,Hamidou Diallo,OKC,False,False,
naderab01,1.6333333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,-2.0,Abdel Nader,OKC,False,False,
luwawti01,1.6333333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Timothé Luwawu-Cabarrot,OKC,False,False,
doncilu01,31.366666666666667,9.0,15.0,0.6,1.0,4.0,0.25,3.0,4.0,0.75,0.0,6.0,6.0,8.0,1.0,0.0,4.0,4.0,22.0,16.0,Luka Dončić,DAL,True,True,
matthwe02,31.066666666666666,3.0,7.0,0.429,3.0,4.0,0.75,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,9.0,5.0,Wesley Matthews,DAL,True,True,
jordade01,27.983333333333334,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,1.0,1.0,8.0,9.0,1.0,0.0,1.0,1.0,1.0,6.0,-2.0,DeAndre Jordan,DAL,True,True,
smithde03,26.3,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,10.0,-2.0,Dennis Smith,DAL,True,True,
barneha02,17.233333333333334,4.0,6.0,0.667,1.0,3.0,0.333,2.0,3.0,0.667,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,11.0,-2.0,Harrison Barnes,DAL,True,True,
klebima01,26.033333333333335,3.0,7.0,0.429,2.0,6.0,0.333,0.0,0.0,,2.0,2.0,4.0,3.0,0.0,3.0,0.0,4.0,8.0,20.0,Maxi Kleber,DAL,True,False,
finnedo01,25.166666666666668,4.0,7.0,0.571,2.0,2.0,1.0,1.0,2.0,0.5,1.0,5.0,6.0,1.0,1.0,0.0,0.0,3.0,11.0,6.0,Dorian Finney-Smith,DAL,True,False,
bareajo01,21.7,8.0,14.0,0.571,3.0,4.0,0.75,2.0,3.0,0.667,0.0,3.0,3.0,5.0,1.0,0.0,2.0,2.0,21.0,17.0,J.J. Barea,DAL,True,False,
poweldw01,20.016666666666666,3.0,5.0,0.6,0.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,7.0,17.0,Dwight Powell,DAL,True,False,
harride01,11.5,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,6.0,-2.0,Devin Harris,DAL,True,False,
brunsja01,1.6333333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,Jalen Brunson,DAL,True,False,
mejrisa01,,,,,,,,,,,,,,,,,,,,,Salah Mejri,DAL,True,False,Did Not Play
broekry01,,,,,,,,,,,,,,,,,,,,,Ryan Broekhoff,DAL,True,False,Did Not Play
