player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
derozde01,36.9,8.0,17.0,0.471,0.0,2.0,0.0,7.0,8.0,0.875,0.0,2.0,2.0,8.0,0.0,0.0,4.0,1.0,23.0,-6.0,DeMar DeRozan,SAS,False,True,
aldrila01,33.766666666666666,6.0,12.0,0.5,0.0,0.0,,2.0,2.0,1.0,3.0,15.0,18.0,0.0,0.0,3.0,4.0,1.0,14.0,-18.0,LaMarcus Aldridge,SAS,False,True,
cunnida01,29.116666666666667,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,,4.0,3.0,7.0,0.0,1.0,0.0,1.0,3.0,9.0,-12.0,Dante Cunningham,SAS,False,True,
forbebr01,29.016666666666666,4.0,11.0,0.364,2.0,7.0,0.286,0.0,0.0,,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,10.0,-11.0,Bryn Forbes,SAS,False,True,
whitede01,26.183333333333334,4.0,10.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,11.0,-15.0,Derrick White,SAS,False,True,
millspa02,21.816666666666666,2.0,8.0,0.25,1.0,6.0,0.167,0.0,0.0,,0.0,3.0,3.0,4.0,2.0,0.0,1.0,0.0,5.0,10.0,Patty Mills,SAS,False,False,
gayru01,20.666666666666668,6.0,12.0,0.5,2.0,5.0,0.4,0.0,0.0,,2.0,7.0,9.0,0.0,0.0,1.0,1.0,1.0,14.0,10.0,Rudy Gay,SAS,False,False,
belinma01,18.366666666666667,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,-1.0,Marco Belinelli,SAS,False,False,
poeltja01,13.0,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,8.0,Jakob Poeltl,SAS,False,False,
bertada01,7.816666666666666,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,Dāvis Bertāns,SAS,False,False,
pondequ01,2.55,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,Quincy Pondexter,SAS,False,False,
metuch01,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Chimezie Metu,SAS,False,False,
caulewi01,32.18333333333333,6.0,14.0,0.429,0.0,0.0,,1.0,2.0,0.5,0.0,13.0,13.0,3.0,1.0,0.0,0.0,3.0,13.0,7.0,Willie Cauley-Stein,SAC,True,True,
foxde01,30.916666666666668,7.0,9.0,0.778,3.0,4.0,0.75,2.0,4.0,0.5,0.0,3.0,3.0,7.0,2.0,1.0,4.0,2.0,19.0,4.0,De'Aaron Fox,SAC,True,True,
bjeline01,26.733333333333334,4.0,5.0,0.8,3.0,3.0,1.0,0.0,0.0,,1.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,11.0,3.0,Nemanja Bjelica,SAC,True,True,
shumpim01,26.266666666666666,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,2.0,9.0,Iman Shumpert,SAC,True,True,
hieldbu01,25.85,5.0,13.0,0.385,2.0,5.0,0.4,2.0,4.0,0.5,1.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,14.0,7.0,Buddy Hield,SAC,True,True,
bogdabo01,24.716666666666665,9.0,17.0,0.529,3.0,7.0,0.429,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,22.0,-7.0,Bogdan Bogdanović,SAC,True,False,
baglema01,21.266666666666666,3.0,9.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,0.0,0.0,1.0,3.0,2.0,7.0,2.0,Marvin Bagley,SAC,True,False,
jacksju01,19.166666666666668,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,Justin Jackson,SAC,True,False,
masonfr01,17.083333333333332,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,4.0,1.0,Frank Mason,SAC,True,False,
gilesha01,15.816666666666666,6.0,10.0,0.6,0.0,0.0,,0.0,0.0,,2.0,4.0,6.0,1.0,1.0,0.0,3.0,5.0,12.0,-2.0,Harry Giles,SAC,True,False,
labissk01,,,,,,,,,,,,,,,,,,,,,Skal Labissière,SAC,True,False,Did Not Play
ferreyo01,,,,,,,,,,,,,,,,,,,,,Yogi Ferrell,SAC,True,False,Did Not Play
willitr02,,,,,,,,,,,,,,,,,,,,,Troy Williams,SAC,True,False,Did Not Play
