player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
georgpa01,35.13333333333333,10.0,23.0,0.435,4.0,11.0,0.364,1.0,3.0,0.333,2.0,7.0,9.0,5.0,2.0,0.0,3.0,5.0,25.0,21.0,Paul George,,OKC,False,True
grantje01,34.483333333333334,6.0,10.0,0.6,1.0,3.0,0.333,1.0,3.0,0.333,3.0,8.0,11.0,1.0,2.0,1.0,0.0,0.0,14.0,25.0,Jerami Grant,,OKC,False,True
adamsst01,33.46666666666667,9.0,14.0,0.643,0.0,0.0,,2.0,2.0,1.0,7.0,4.0,11.0,2.0,2.0,0.0,0.0,2.0,20.0,28.0,Steven Adams,,OKC,False,True
westbru01,32.88333333333333,5.0,15.0,0.333,1.0,5.0,0.2,0.0,2.0,0.0,0.0,11.0,11.0,13.0,2.0,1.0,4.0,4.0,11.0,25.0,Russell Westbrook,,OKC,False,True
fergute01,6.316666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,Terrance Ferguson,,OKC,False,True
schrode01,27.95,12.0,19.0,0.632,5.0,6.0,0.833,3.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,1.0,3.0,32.0,21.0,Dennis Schröder,,OKC,False,False
luwawti01,18.45,3.0,9.0,0.333,2.0,5.0,0.4,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,10.0,Timothé Luwawu-Cabarrot,,OKC,False,False
diallha01,16.966666666666665,1.0,6.0,0.167,0.0,2.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,2.0,0.0,1.0,0.0,3.0,3.0,-3.0,Hamidou Diallo,,OKC,False,False
noelne01,14.533333333333333,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,Nerlens Noel,,OKC,False,False
pattepa01,13.516666666666667,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,Patrick Patterson,,OKC,False,False
burtode02,3.15,3.0,3.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,Deonte Burton,,OKC,False,False
naderab01,3.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,Abdel Nader,,OKC,False,False
feltora01,,,,,,,,,,,,,,,,,,,,,Raymond Felton,Did Not Play,OKC,False,False
duranke01,34.733333333333334,11.0,22.0,0.5,1.0,5.0,0.2,4.0,4.0,1.0,1.0,13.0,14.0,3.0,0.0,3.0,6.0,2.0,27.0,-16.0,Kevin Durant,,GSW,True,True
cookqu01,32.78333333333333,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,,0.0,5.0,5.0,6.0,1.0,0.0,3.0,2.0,7.0,-25.0,Quinn Cook,,GSW,True,True
thompkl01,30.55,10.0,22.0,0.455,3.0,8.0,0.375,4.0,7.0,0.571,0.0,4.0,4.0,3.0,1.0,0.0,2.0,4.0,27.0,-12.0,Klay Thompson,,GSW,True,True
iguodan01,25.616666666666667,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0,-12.0,Andre Iguodala,,GSW,True,True
jonesda03,21.383333333333333,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,4.0,-13.0,Damian Jones,,GSW,True,True
leeda03,26.533333333333335,5.0,11.0,0.455,2.0,5.0,0.4,1.0,2.0,0.5,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,13.0,-20.0,Damion Lee,,GSW,True,False
looneke01,21.8,1.0,3.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,3.0,6.0,9.0,3.0,1.0,2.0,0.0,3.0,4.0,-7.0,Kevon Looney,,GSW,True,False
jerebjo01,20.85,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,,2.0,5.0,7.0,2.0,2.0,0.0,0.0,2.0,0.0,-13.0,Jonas Jerebko,,GSW,True,False
livinsh01,17.383333333333333,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,-6.0,Shaun Livingston,,GSW,True,False
belljo01,4.183333333333334,1.0,2.0,0.5,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-8.0,Jordan Bell,,GSW,True,False
evansja02,4.183333333333334,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.0,Jacob Evans,,GSW,True,False
