player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
foxde01,26.833333333333332,5.0,11.0,0.455,1.0,1.0,1.0,5.0,8.0,0.625,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,16.0,14.0,De'Aaron Fox,SAC,False,True
shumpim01,23.183333333333334,2.0,5.0,0.4,0.0,3.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,7.0,13.0,Iman Shumpert,SAC,False,True
bjeline01,20.916666666666668,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,3.0,4.0,7.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,Nemanja Bjelica,SAC,False,True
caulewi01,18.683333333333334,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,5.0,4.0,0.0,2.0,4.0,6.0,14.0,Willie Cauley-Stein,SAC,False,True
hieldbu01,17.85,7.0,13.0,0.538,3.0,5.0,0.6,3.0,4.0,0.75,2.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,20.0,8.0,Buddy Hield,SAC,False,True
willitr02,21.583333333333332,5.0,6.0,0.833,1.0,2.0,0.5,0.0,0.0,,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,11.0,6.0,Troy Williams,SAC,False,False
bogdabo01,20.5,5.0,9.0,0.556,2.0,5.0,0.4,2.0,2.0,1.0,0.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,14.0,28.0,Bogdan Bogdanović,SAC,False,False
jacksju01,20.066666666666666,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,10.0,26.0,Justin Jackson,SAC,False,False
masonfr01,20.033333333333335,3.0,7.0,0.429,1.0,1.0,1.0,2.0,3.0,0.667,0.0,4.0,4.0,2.0,2.0,0.0,1.0,3.0,9.0,-1.0,Frank Mason,SAC,False,False
koufoko01,19.066666666666666,5.0,7.0,0.714,0.0,0.0,,1.0,2.0,0.5,1.0,4.0,5.0,1.0,0.0,0.0,1.0,3.0,11.0,15.0,Kosta Koufos,SAC,False,False
ferreyo01,10.783333333333333,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-15.0,Yogi Ferrell,SAC,False,False
gilesha01,10.25,4.0,5.0,0.8,0.0,0.0,,5.0,9.0,0.556,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,13.0,-12.0,Harry Giles,SAC,False,False
mclembe01,10.25,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-12.0,Ben McLemore,SAC,False,False
bridgmi01,34.21666666666667,3.0,12.0,0.25,0.0,7.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,2.0,2.0,1.0,7.0,-13.0,Mikal Bridges,PHO,True,True
arizatr01,27.116666666666667,5.0,13.0,0.385,3.0,8.0,0.375,1.0,2.0,0.5,1.0,2.0,3.0,3.0,3.0,0.0,4.0,1.0,14.0,-19.0,Trevor Ariza,PHO,True,True
jacksjo02,26.716666666666665,4.0,11.0,0.364,2.0,6.0,0.333,4.0,6.0,0.667,0.0,4.0,4.0,3.0,0.0,0.0,4.0,1.0,14.0,-15.0,Josh Jackson,PHO,True,True
okoboel01,26.283333333333335,3.0,8.0,0.375,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,2.0,5.0,6.0,-22.0,Elie Okobo,PHO,True,True
aytonde01,20.583333333333332,5.0,8.0,0.625,0.0,0.0,,0.0,0.0,,2.0,7.0,9.0,2.0,1.0,0.0,0.0,0.0,10.0,-19.0,Deandre Ayton,PHO,True,True
meltode01,23.366666666666667,9.0,12.0,0.75,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,2.0,5.0,1.0,0.0,1.0,4.0,21.0,24.0,De'Anthony Melton,PHO,True,False
holmeri01,22.116666666666667,4.0,7.0,0.571,0.0,0.0,,2.0,2.0,1.0,6.0,4.0,10.0,3.0,0.0,0.0,4.0,6.0,10.0,-4.0,Richaun Holmes,PHO,True,False
crawfja01,22.083333333333332,1.0,6.0,0.167,0.0,4.0,0.0,4.0,5.0,0.8,1.0,2.0,3.0,5.0,0.0,0.0,3.0,3.0,6.0,-17.0,Jamal Crawford,PHO,True,False
danietr01,20.683333333333334,4.0,9.0,0.444,4.0,9.0,0.444,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,13.0,-7.0,Troy Daniels,PHO,True,False
bendedr01,12.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,15.0,Dragan Bender,PHO,True,False
anderry01,4.833333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-8.0,Ryan Anderson,PHO,True,False
