player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
duranke01,33.983333333333334,9.0,16.0,0.563,4.0,7.0,0.571,3.0,4.0,0.75,0.0,10.0,10.0,9.0,1.0,2.0,4.0,1.0,25.0,22.0,Kevin Durant,GSW,False,True
curryst01,33.78333333333333,11.0,20.0,0.55,9.0,14.0,0.643,11.0,12.0,0.917,0.0,9.0,9.0,7.0,1.0,0.0,2.0,1.0,42.0,22.0,Stephen Curry,GSW,False,True
thompkl01,31.816666666666666,5.0,15.0,0.333,2.0,6.0,0.333,4.0,5.0,0.8,0.0,4.0,4.0,2.0,0.0,1.0,1.0,1.0,16.0,1.0,Klay Thompson,GSW,False,True
looneke01,25.0,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,3.0,3.0,6.0,3.0,0.0,1.0,0.0,3.0,8.0,9.0,Kevon Looney,GSW,False,True
iguodan01,21.85,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,-6.0,Andre Iguodala,GSW,False,True
jerebjo01,22.016666666666666,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,2.0,11.0,25.0,Jonas Jerebko,GSW,False,False
belljo01,17.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,17.0,Jordan Bell,GSW,False,False
livinsh01,16.25,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,6.0,14.0,Shaun Livingston,GSW,False,False
cookqu01,15.816666666666666,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,Quinn Cook,GSW,False,False
mckinal01,13.066666666666666,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,22.0,Alfonzo McKinnie,GSW,False,False
derrima01,5.833333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,Marcus Derrickson,GSW,False,False
evansja02,3.0833333333333335,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jacob Evans,GSW,False,False
sextoco01,35.266666666666666,7.0,14.0,0.5,3.0,3.0,1.0,4.0,5.0,0.8,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,21.0,-20.0,Collin Sexton,CLE,True,True
osmande01,33.13333333333333,6.0,12.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,1.0,2.0,0.0,1.0,4.0,16.0,-21.0,Cedi Osman,CLE,True,True
hoodro01,30.633333333333333,6.0,16.0,0.375,2.0,9.0,0.222,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,15.0,1.0,Rodney Hood,CLE,True,True
thomptr01,29.933333333333334,6.0,8.0,0.75,0.0,0.0,,2.0,6.0,0.333,7.0,12.0,19.0,3.0,0.0,0.0,0.0,3.0,14.0,-27.0,Tristan Thompson,CLE,True,True
hillge01,25.216666666666665,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,2.0,3.0,1.0,0.0,2.0,4.0,0.0,-3.0,George Hill,CLE,True,True
clarkjo01,30.033333333333335,7.0,17.0,0.412,2.0,7.0,0.286,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,17.0,-25.0,Jordan Clarkson,CLE,True,False
nancela02,23.8,4.0,4.0,1.0,0.0,0.0,,3.0,3.0,1.0,3.0,5.0,8.0,2.0,1.0,1.0,1.0,2.0,11.0,-3.0,Larry Nance,CLE,True,False
burksal01,22.733333333333334,2.0,10.0,0.2,1.0,5.0,0.2,4.0,5.0,0.8,0.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,9.0,-22.0,Alec Burks,CLE,True,False
jonesja04,3.0833333333333335,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Jalen Jones,CLE,True,False
blossja01,3.0833333333333335,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaron Blossomgame,CLE,True,False
fryech01,3.0833333333333335,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Channing Frye,CLE,True,False
