player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
whitede01,34.03333333333333,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,6.0,0.0,1.0,3.0,1.0,9.0,29.0,Derrick White,SAS,False,True,
derozde01,30.35,7.0,12.0,0.583,0.0,0.0,,3.0,4.0,0.75,0.0,7.0,7.0,6.0,1.0,0.0,1.0,1.0,17.0,18.0,DeMar DeRozan,SAS,False,True,
aldrila01,26.2,6.0,9.0,0.667,0.0,1.0,0.0,8.0,9.0,0.889,0.0,3.0,3.0,4.0,2.0,0.0,2.0,1.0,20.0,18.0,LaMarcus Aldridge,SAS,False,True,
forbebr01,25.483333333333334,7.0,8.0,0.875,3.0,4.0,0.75,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,17.0,15.0,Bryn Forbes,SAS,False,True,
gayru01,23.333333333333332,6.0,9.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,3.0,0.0,1.0,0.0,1.0,14.0,18.0,Rudy Gay,SAS,False,True,
poeltja01,21.8,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,4.0,21.0,Jakob Poeltl,SAS,False,False,
belinma01,17.25,7.0,9.0,0.778,4.0,6.0,0.667,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,18.0,14.0,Marco Belinelli,SAS,False,False,
millspa02,16.833333333333332,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,20.0,Patty Mills,SAS,False,False,
bertada01,15.066666666666666,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,9.0,15.0,Dāvis Bertāns,SAS,False,False,
cunnida01,12.0,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,Dante Cunningham,SAS,False,False,
eubandr01,9.6,3.0,3.0,1.0,0.0,0.0,,1.0,2.0,0.5,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,7.0,6.0,Drew Eubanks,SAS,False,False,
pondequ01,8.05,1.0,4.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,9.0,Quincy Pondexter,SAS,False,False,
gordoaa01,31.3,4.0,10.0,0.4,2.0,3.0,0.667,2.0,4.0,0.5,1.0,8.0,9.0,7.0,0.0,0.0,3.0,4.0,12.0,-19.0,Aaron Gordon,ORL,True,True,
bambamo01,25.666666666666668,2.0,7.0,0.286,0.0,3.0,0.0,3.0,6.0,0.5,3.0,5.0,8.0,2.0,2.0,2.0,1.0,3.0,7.0,-23.0,Mohamed Bamba,ORL,True,True,
isaacjo01,24.766666666666666,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,10.0,-18.0,Jonathan Isaac,ORL,True,True,
fournev01,24.666666666666668,5.0,15.0,0.333,2.0,6.0,0.333,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,12.0,-15.0,Evan Fournier,ORL,True,True,
augusdj01,24.116666666666667,6.0,10.0,0.6,3.0,5.0,0.6,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,-20.0,D.J. Augustin,ORL,True,True,
grantje02,23.883333333333333,4.0,8.0,0.5,1.0,4.0,0.25,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,9.0,-19.0,Jerian Grant,ORL,True,False,
rosste01,21.633333333333333,3.0,11.0,0.273,1.0,1.0,1.0,0.0,0.0,,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0,-20.0,Terrence Ross,ORL,True,False,
birchkh01,19.216666666666665,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,-15.0,Khem Birch,ORL,True,False,
iwundwe01,16.466666666666665,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,-10.0,Wesley Iwundu,ORL,True,False,
simmojo02,15.75,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,-18.0,Jonathon Simmons,ORL,True,False,
martija01,6.266666666666667,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,-9.0,Jarell Martin,ORL,True,False,
briscis01,6.266666666666667,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,Isaiah Briscoe,ORL,True,False,
vucevni01,,,,,,,,,,,,,,,,,,,,,Nikola Vučević,ORL,True,False,Not With Team
