player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
middlkh01,26.85,4.0,8.0,0.5,0.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,6.0,5.0,1.0,0.0,2.0,2.0,11.0,28.0,Khris Middleton,MIL,False,True
brogdma01,26.133333333333333,3.0,9.0,0.333,1.0,2.0,0.5,2.0,3.0,0.667,1.0,5.0,6.0,4.0,0.0,1.0,1.0,2.0,9.0,8.0,Malcolm Brogdon,MIL,False,True
lopezbr01,25.033333333333335,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,2.0,1.0,1.0,9.0,27.0,Brook Lopez,MIL,False,True
bledser01,24.616666666666667,5.0,13.0,0.385,2.0,7.0,0.286,4.0,4.0,1.0,0.0,2.0,2.0,4.0,3.0,0.0,1.0,2.0,16.0,23.0,Eric Bledsoe,MIL,False,True
antetgi01,21.566666666666666,10.0,14.0,0.714,0.0,1.0,0.0,7.0,8.0,0.875,1.0,10.0,11.0,3.0,1.0,2.0,1.0,4.0,27.0,9.0,Giannis Antetokounmpo,MIL,False,True
brownst02,28.05,4.0,5.0,0.8,2.0,3.0,0.667,1.0,2.0,0.5,1.0,6.0,7.0,4.0,1.0,1.0,5.0,2.0,11.0,-4.0,Sterling Brown,MIL,False,False
wilsodj01,22.933333333333334,5.0,9.0,0.556,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,13.0,16.0,D.J. Wilson,MIL,False,False
ilyaser01,17.866666666666667,1.0,7.0,0.143,1.0,6.0,0.167,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,-13.0,Ersan İlyasova,MIL,False,False
hillge01,14.966666666666667,3.0,6.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,9.0,8.0,George Hill,MIL,False,False
connapa01,12.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,-8.0,Pat Connaughton,MIL,False,False
makerth01,8.6,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,-19.0,Thon Maker,MIL,False,False
smithja02,6.1,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-19.0,Jason Smith,MIL,False,False
snellto01,5.283333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,Tony Snell,MIL,False,False
gasolma01,24.8,5.0,13.0,0.385,2.0,4.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,2.0,0.0,14.0,-28.0,Marc Gasol,MEM,True,True
conlemi01,23.416666666666668,5.0,14.0,0.357,1.0,3.0,0.333,3.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,14.0,-31.0,Mike Conley,MEM,True,True
jacksja02,21.283333333333335,2.0,7.0,0.286,0.0,1.0,0.0,3.0,3.0,1.0,1.0,4.0,5.0,0.0,2.0,1.0,1.0,4.0,7.0,-5.0,Jaren Jackson,MEM,True,True
templga01,20.516666666666666,1.0,7.0,0.143,0.0,4.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,-23.0,Garrett Temple,MEM,True,True
holidju01,16.866666666666667,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,1.0,4.0,1.0,2.0,2.0,5.0,12.0,Justin Holiday,MEM,True,True
casspom01,35.766666666666666,7.0,13.0,0.538,1.0,3.0,0.333,2.0,4.0,0.5,2.0,4.0,6.0,2.0,0.0,0.0,1.0,1.0,17.0,5.0,Omri Casspi,MEM,True,False
carteje01,28.416666666666668,3.0,9.0,0.333,2.0,6.0,0.333,0.0,1.0,0.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,8.0,14.0,Jevon Carter,MEM,True,False
greenja01,26.466666666666665,4.0,11.0,0.364,2.0,5.0,0.4,4.0,6.0,0.667,6.0,4.0,10.0,3.0,1.0,3.0,4.0,2.0,14.0,-24.0,JaMychal Green,MEM,True,False
macksh01,17.716666666666665,5.0,10.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,11.0,-7.0,Shelvin Mack,MEM,True,False
noahjo01,12.55,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,Joakim Noah,MEM,True,False
rabbiv01,6.1,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,Ivan Rabb,MEM,True,False
watanyu01,6.1,0.0,1.0,0.0,0.0,0.0,,1.0,4.0,0.25,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,19.0,Yuta Watanabe,MEM,True,False
