player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
barneha02,36.11666666666667,7.0,18.0,0.389,3.0,7.0,0.429,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,1.0,2.0,1.0,17.0,6.0,Harrison Barnes,,DAL,False,True
doncilu01,32.733333333333334,13.0,25.0,0.52,4.0,11.0,0.364,5.0,7.0,0.714,1.0,10.0,11.0,6.0,1.0,0.0,2.0,4.0,35.0,8.0,Luka Dončić,,DAL,False,True
brunsja01,32.71666666666667,5.0,10.0,0.5,1.0,4.0,0.25,4.0,6.0,0.667,1.0,5.0,6.0,4.0,0.0,0.0,2.0,4.0,15.0,14.0,Jalen Brunson,,DAL,False,True
finnedo01,27.6,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,,3.0,7.0,10.0,1.0,0.0,0.0,2.0,2.0,7.0,2.0,Dorian Finney-Smith,,DAL,False,True
klebima01,26.75,3.0,8.0,0.375,2.0,4.0,0.5,2.0,2.0,1.0,4.0,5.0,9.0,2.0,1.0,2.0,1.0,3.0,10.0,-1.0,Maxi Kleber,,DAL,False,True
broekry01,29.066666666666666,4.0,9.0,0.444,4.0,8.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,12.0,6.0,Ryan Broekhoff,,DAL,False,False
poweldw01,24.166666666666668,3.0,5.0,0.6,0.0,0.0,,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,8.0,16.0,Dwight Powell,,DAL,False,False
harride01,20.4,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,5.0,7.0,11.0,Devin Harris,,DAL,False,False
nowitdi01,8.966666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,Dirk Nowitzki,,DAL,False,False
maconda01,1.4833333333333334,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,Daryl Macon,,DAL,False,False
mejrisa01,,,,,,,,,,,,,,,,,,,,,Salah Mejri,Did Not Play,DAL,False,False
burksal01,33.61666666666667,3.0,8.0,0.375,1.0,5.0,0.2,4.0,4.0,1.0,0.0,8.0,8.0,5.0,0.0,0.0,1.0,3.0,11.0,-13.0,Alec Burks,,CLE,True,True
sextoco01,31.066666666666666,4.0,17.0,0.235,1.0,3.0,0.333,4.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,13.0,-5.0,Collin Sexton,,CLE,True,True
hoodro01,30.183333333333334,1.0,6.0,0.167,1.0,2.0,0.5,3.0,4.0,0.75,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,6.0,-4.0,Rodney Hood,,CLE,True,True
zizican01,20.066666666666666,4.0,9.0,0.444,0.0,0.0,,0.0,0.0,,3.0,3.0,6.0,0.0,1.0,0.0,2.0,4.0,8.0,-3.0,Ante Žižić,,CLE,True,True
osmande01,14.483333333333333,5.0,9.0,0.556,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,10.0,-6.0,Cedi Osman,,CLE,True,True
clarkjo01,30.683333333333334,7.0,16.0,0.438,1.0,6.0,0.167,4.0,6.0,0.667,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,19.0,-10.0,Jordan Clarkson,,CLE,True,False
nancela02,27.933333333333334,4.0,6.0,0.667,0.0,0.0,,3.0,5.0,0.6,3.0,9.0,12.0,3.0,2.0,1.0,1.0,3.0,11.0,-10.0,Larry Nance,,CLE,True,False
dellama01,18.783333333333335,0.0,4.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,-12.0,Matthew Dellavedova,,CLE,True,False
nwabada01,15.183333333333334,5.0,6.0,0.833,0.0,0.0,,2.0,4.0,0.5,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,12.0,-7.0,David Nwaba,,CLE,True,False
adelde01,14.4,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,-1.0,Deng Adel,,CLE,True,False
simmoko01,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Kobi Simmons,,CLE,True,False
blossja01,1.8,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Jaron Blossomgame,,CLE,True,False
fryech01,,,,,,,,,,,,,,,,,,,,,Channing Frye,Did Not Play,CLE,True,False
