player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
antetgi01,34.833333333333336,9.0,13.0,0.692,2.0,3.0,0.667,9.0,14.0,0.643,2.0,15.0,17.0,8.0,0.0,3.0,6.0,3.0,29.0,21.0,Giannis Antetokounmpo,MIL,False,True,
middlkh01,32.833333333333336,6.0,13.0,0.462,1.0,4.0,0.25,3.0,3.0,1.0,0.0,4.0,4.0,4.0,3.0,0.0,2.0,1.0,16.0,3.0,Khris Middleton,MIL,False,True,
brogdma01,30.733333333333334,5.0,9.0,0.556,3.0,5.0,0.6,4.0,4.0,1.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,17.0,17.0,Malcolm Brogdon,MIL,False,True,
lopezbr01,30.466666666666665,3.0,11.0,0.273,1.0,8.0,0.125,0.0,0.0,,0.0,5.0,5.0,3.0,1.0,3.0,1.0,4.0,7.0,-5.0,Brook Lopez,MIL,False,True,
bledser01,29.55,5.0,8.0,0.625,3.0,6.0,0.5,6.0,6.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,2.0,19.0,-2.0,Eric Bledsoe,MIL,False,True,
ilyaser01,18.216666666666665,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,2.0,5.0,12.0,4.0,Ersan İlyasova,MIL,False,False,
hillge01,16.65,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,1.0,0.0,0.0,2.0,12.0,George Hill,MIL,False,False,
brownst02,16.033333333333335,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,-4.0,Sterling Brown,MIL,False,False,
snellto01,15.566666666666666,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,Tony Snell,MIL,False,False,
connapa01,7.3,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,Pat Connaughton,MIL,False,False,
wilsodj01,7.283333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,D.J. Wilson,MIL,False,False,
woodch01,0.26666666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Christian Wood,MIL,False,False,
duvaltr01,0.26666666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trevon Duval,MIL,False,False,
markkla01,37.95,6.0,21.0,0.286,1.0,7.0,0.143,7.0,7.0,1.0,4.0,13.0,17.0,3.0,2.0,0.0,1.0,4.0,20.0,-5.0,Lauri Markkanen,CHI,True,True,
porteot01,37.36666666666667,7.0,14.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,3.0,4.0,7.0,4.0,1.0,0.0,3.0,4.0,18.0,-9.0,Otto Porter,CHI,True,True,
lavinza01,35.983333333333334,9.0,19.0,0.474,4.0,6.0,0.667,5.0,5.0,1.0,0.0,5.0,5.0,7.0,1.0,1.0,2.0,4.0,27.0,0.0,Zach LaVine,CHI,True,True,
lopezro01,32.916666666666664,8.0,13.0,0.615,0.0,1.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,17.0,1.0,Robin Lopez,CHI,True,True,
dunnkr01,32.766666666666666,1.0,9.0,0.111,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,4.0,6.0,1.0,0.0,2.0,4.0,2.0,1.0,Kris Dunn,CHI,True,True,
seldewa01,21.3,2.0,10.0,0.2,0.0,3.0,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,2.0,2.0,4.0,-10.0,Wayne Selden,CHI,True,False,
luwawti01,16.033333333333335,3.0,6.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,-19.0,Timothé Luwawu-Cabarrot,CHI,True,False,
arcidry01,15.233333333333333,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-14.0,Ryan Arcidiacono,CHI,True,False,
harrish01,10.45,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,-10.0,Shaquille Harrison,CHI,True,False,
feliccr01,,,,,,,,,,,,,,,,,,,,,Cristiano Felício,CHI,True,False,Did Not Play
alkinra01,,,,,,,,,,,,,,,,,,,,,Rawle Alkins,CHI,True,False,Did Not Play
blakean01,,,,,,,,,,,,,,,,,,,,,Antonio Blakeney,CHI,True,False,Did Not Play
