player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
horfoal01,35.18333333333333,9.0,16.0,0.563,3.0,5.0,0.6,2.0,2.0,1.0,4.0,4.0,8.0,5.0,4.0,0.0,1.0,5.0,23.0,2.0,Al Horford,,BOS,False,True
tatumja01,34.833333333333336,7.0,15.0,0.467,1.0,1.0,1.0,5.0,5.0,1.0,0.0,10.0,10.0,1.0,2.0,2.0,1.0,5.0,20.0,0.0,Jayson Tatum,,BOS,False,True
morrima03,33.483333333333334,7.0,13.0,0.538,1.0,2.0,0.5,2.0,2.0,1.0,1.0,7.0,8.0,2.0,0.0,0.0,0.0,0.0,17.0,8.0,Marcus Morris,,BOS,False,True
smartma01,33.46666666666667,3.0,14.0,0.214,0.0,8.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,3.0,1.0,0.0,1.0,3.0,8.0,-3.0,Marcus Smart,,BOS,False,True
roziete01,31.016666666666666,2.0,9.0,0.222,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,5.0,1.0,1.0,0.0,1.0,5.0,-1.0,Terry Rozier,,BOS,False,True
haywago01,28.383333333333333,8.0,11.0,0.727,6.0,7.0,0.857,4.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,2.0,3.0,26.0,11.0,Gordon Hayward,,BOS,False,False
brownja02,23.983333333333334,3.0,8.0,0.375,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,7.0,3.0,Jaylen Brown,,BOS,False,False
theisda01,12.816666666666666,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,1.0,Daniel Theis,,BOS,False,False
wanambr01,6.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.0,Brad Wanamaker,,BOS,False,False
yabusgu01,,,,,,,,,,,,,,,,,,,,,Guerschon Yabusele,Did Not Play,BOS,False,False
doziepj01,,,,,,,,,,,,,,,,,,,,,PJ Dozier,Did Not Play,BOS,False,False
ojelese01,,,,,,,,,,,,,,,,,,,,,Semi Ojeleye,Did Not Play,BOS,False,False
williro04,,,,,,,,,,,,,,,,,,,,,Robert Williams,Did Not Play,BOS,False,False
embiijo01,37.43333333333333,9.0,22.0,0.409,2.0,8.0,0.25,3.0,4.0,0.75,3.0,11.0,14.0,3.0,0.0,2.0,2.0,5.0,23.0,3.0,Joel Embiid,,PHI,True,True
butleji01,36.1,7.0,12.0,0.583,1.0,2.0,0.5,7.0,10.0,0.7,3.0,6.0,9.0,1.0,0.0,0.0,1.0,1.0,22.0,-4.0,Jimmy Butler,,PHI,True,True
simmobe01,34.983333333333334,7.0,9.0,0.778,0.0,0.0,,2.0,7.0,0.286,1.0,4.0,5.0,5.0,2.0,0.0,3.0,1.0,16.0,1.0,Ben Simmons,,PHI,True,True
redicjj01,34.61666666666667,4.0,11.0,0.364,4.0,8.0,0.5,4.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,3.0,16.0,8.0,J.J. Redick,,PHI,True,True
harrito02,34.53333333333333,4.0,14.0,0.286,0.0,6.0,0.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,0.0,0.0,1.0,4.0,10.0,-12.0,Tobias Harris,,PHI,True,True
simmojo02,14.5,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,7.0,-2.0,Jonathon Simmons,,PHI,True,False
scottmi01,13.516666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,Mike Scott,,PHI,True,False
mccontj01,13.016666666666667,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,9.0,-4.0,T.J. McConnell,,PHI,True,False
korkmfu01,10.766666666666667,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-8.0,Furkan Korkmaz,,PHI,True,False
marjabo01,10.5,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,3.0,4.0,-2.0,Boban Marjanović,,PHI,True,False
ennisja01,,,,,,,,,,,,,,,,,,,,,James Ennis,Did Not Play,PHI,True,False
boldejo01,,,,,,,,,,,,,,,,,,,,,Jonah Bolden,Did Not Play,PHI,True,False
johnsam01,,,,,,,,,,,,,,,,,,,,,Amir Johnson,Did Not Play,PHI,True,False
