player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
irvinky01,33.733333333333334,8.0,17.0,0.471,2.0,7.0,0.286,0.0,0.0,,0.0,2.0,2.0,11.0,1.0,0.0,4.0,4.0,18.0,-21.0,Kyrie Irving,BOS,False,True
brownja02,31.233333333333334,9.0,13.0,0.692,3.0,5.0,0.6,1.0,2.0,0.5,1.0,6.0,7.0,0.0,3.0,0.0,0.0,1.0,22.0,-12.0,Jaylen Brown,BOS,False,True
smartma01,26.5,3.0,5.0,0.6,1.0,3.0,0.333,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,8.0,-12.0,Marcus Smart,BOS,False,True
horfoal01,25.55,5.0,12.0,0.417,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,10.0,-7.0,Al Horford,BOS,False,True
morrima03,24.65,3.0,9.0,0.333,1.0,4.0,0.25,4.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,11.0,-18.0,Marcus Morris,BOS,False,True
roziete01,25.733333333333334,10.0,14.0,0.714,6.0,9.0,0.667,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,26.0,-8.0,Terry Rozier,BOS,False,False
haywago01,21.95,3.0,7.0,0.429,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,8.0,-20.0,Gordon Hayward,BOS,False,False
ojelese01,17.566666666666666,1.0,3.0,0.333,0.0,1.0,0.0,2.0,4.0,0.5,3.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0,4.0,-15.0,Semi Ojeleye,BOS,False,False
baynear01,9.133333333333333,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,-10.0,Aron Baynes,BOS,False,False
theisda01,8.933333333333334,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,-8.0,Daniel Theis,BOS,False,False
wanambr01,5.316666666666666,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,Brad Wanamaker,BOS,False,False
yabusgu01,5.316666666666666,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Guerschon Yabusele,BOS,False,False
williro04,4.383333333333334,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,Robert Williams,BOS,False,False
beverpa01,31.0,4.0,8.0,0.5,2.0,3.0,0.667,1.0,1.0,1.0,1.0,4.0,5.0,6.0,0.0,1.0,1.0,2.0,11.0,10.0,Patrick Beverley,LAC,True,True
gallida01,27.2,9.0,12.0,0.75,4.0,5.0,0.8,3.0,3.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,1.0,25.0,10.0,Danilo Gallinari,LAC,True,True
zubaciv01,26.666666666666668,6.0,7.0,0.857,0.0,0.0,,2.0,2.0,1.0,0.0,7.0,7.0,2.0,0.0,0.0,3.0,5.0,14.0,10.0,Ivica Zubac,LAC,True,True
shamela01,24.5,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,2.0,3.0,11.0,10.0,Landry Shamet,LAC,True,True
gilgesh01,21.9,4.0,7.0,0.571,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,1.0,0.0,4.0,1.0,12.0,1.0,Shai Gilgeous-Alexander,LAC,True,True
templga01,24.033333333333335,0.0,4.0,0.0,0.0,3.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,14.0,Garrett Temple,LAC,True,False
willilo02,23.216666666666665,14.0,20.0,0.7,2.0,6.0,0.333,4.0,4.0,1.0,1.0,3.0,4.0,5.0,0.0,0.0,3.0,2.0,34.0,28.0,Lou Williams,LAC,True,False
harremo01,21.333333333333332,8.0,12.0,0.667,0.0,0.0,,4.0,5.0,0.8,4.0,2.0,6.0,2.0,1.0,0.0,2.0,3.0,20.0,15.0,Montrezl Harrell,LAC,True,False
greenja01,16.416666666666668,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,,2.0,5.0,7.0,0.0,0.0,0.0,1.0,4.0,4.0,15.0,JaMychal Green,LAC,True,False
wallaty01,9.683333333333334,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,Tyrone Wallace,LAC,True,False
chandwi01,9.283333333333333,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,Wilson Chandler,LAC,True,False
thornsi01,4.766666666666667,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Sindarius Thornwell,LAC,True,False
