player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
richajo01,34.68333333333333,4.0,12.0,0.333,2.0,7.0,0.286,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,0.0,2.0,10.0,-13.0,Josh Richardson,,MIA,False,True
waitedi01,30.35,3.0,9.0,0.333,3.0,6.0,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,9.0,-12.0,Dion Waiters,,MIA,False,True
jonesde02,25.45,4.0,8.0,0.5,2.0,6.0,0.333,1.0,3.0,0.333,4.0,3.0,7.0,3.0,1.0,0.0,0.0,3.0,11.0,-11.0,Derrick Jones,,MIA,False,True
olynyke01,24.216666666666665,3.0,8.0,0.375,3.0,8.0,0.375,4.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,13.0,-6.0,Kelly Olynyk,,MIA,False,True
adebaba01,18.166666666666668,5.0,10.0,0.5,0.0,0.0,,2.0,4.0,0.5,2.0,5.0,7.0,2.0,1.0,0.0,0.0,1.0,12.0,0.0,Bam Adebayo,,MIA,False,True
wadedw01,25.416666666666668,5.0,11.0,0.455,1.0,2.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,12.0,-24.0,Dwyane Wade,,MIA,False,False
johnsja01,25.1,1.0,7.0,0.143,0.0,4.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,-23.0,James Johnson,,MIA,False,False
whiteha01,23.783333333333335,6.0,8.0,0.75,0.0,0.0,,2.0,6.0,0.333,4.0,5.0,9.0,0.0,0.0,3.0,1.0,3.0,14.0,-23.0,Hassan Whiteside,,MIA,False,False
dragigo01,21.716666666666665,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,5.0,5.0,4.0,1.0,0.0,3.0,0.0,0.0,-21.0,Goran Dragić,,MIA,False,False
robindu01,6.383333333333334,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,Duncan Robinson,,MIA,False,False
anderry01,4.733333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-6.0,Ryan Anderson,,MIA,False,False
hasleud01,,,,,,,,,,,,,,,,,,,,,Udonis Haslem,Did Not Play,MIA,False,False
mcgruro01,,,,,,,,,,,,,,,,,,,,,Rodney McGruder,Did Not Play,MIA,False,False
antetgi01,28.466666666666665,12.0,19.0,0.632,1.0,4.0,0.25,2.0,4.0,0.5,2.0,6.0,8.0,7.0,1.0,2.0,3.0,3.0,27.0,7.0,Giannis Antetokounmpo,,MIL,True,True
lopezbr01,28.433333333333334,3.0,8.0,0.375,2.0,6.0,0.333,2.0,4.0,0.5,0.0,8.0,8.0,3.0,0.0,2.0,1.0,2.0,10.0,11.0,Brook Lopez,,MIL,True,True
bledser01,28.383333333333333,3.0,10.0,0.3,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,9.0,-2.0,Eric Bledsoe,,MIL,True,True
middlkh01,28.1,8.0,13.0,0.615,2.0,5.0,0.4,0.0,0.0,,2.0,6.0,8.0,10.0,1.0,0.0,1.0,2.0,18.0,10.0,Khris Middleton,,MIL,True,True
snellto01,22.45,3.0,5.0,0.6,2.0,3.0,0.667,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,10.0,6.0,Tony Snell,,MIL,True,True
connapa01,28.2,2.0,5.0,0.4,2.0,2.0,1.0,0.0,0.0,,0.0,10.0,10.0,4.0,0.0,0.0,1.0,2.0,6.0,25.0,Pat Connaughton,,MIL,True,False
ilyaser01,26.733333333333334,4.0,6.0,0.667,3.0,3.0,1.0,2.0,3.0,0.667,1.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,13.0,26.0,Ersan İlyasova,,MIL,True,False
hillge01,17.816666666666666,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,8.0,25.0,George Hill,,MIL,True,False
brownst02,14.866666666666667,2.0,6.0,0.333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0,4.0,19.0,Sterling Brown,,MIL,True,False
wilsodj01,12.366666666666667,3.0,4.0,0.75,2.0,2.0,1.0,3.0,4.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,14.0,D.J. Wilson,,MIL,True,False
fraziti01,4.183333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Tim Frazier,,MIL,True,False
divindo01,,,,,,,,,,,,,,,,,,,,,Donte DiVincenzo,Did Not Play,MIL,True,False
