player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
forbebr01,31.5,6.0,10.0,0.6,4.0,6.0,0.667,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,17.0,23.0,Bryn Forbes,SAS,False,True,
whitede01,29.916666666666668,4.0,9.0,0.444,0.0,1.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,8.0,0.0,1.0,1.0,1.0,10.0,17.0,Derrick White,SAS,False,True,
derozde01,27.966666666666665,8.0,14.0,0.571,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,4.0,0.0,0.0,3.0,1.0,16.0,9.0,DeMar DeRozan,SAS,False,True,
aldrila01,27.516666666666666,10.0,17.0,0.588,0.0,0.0,,4.0,5.0,0.8,6.0,1.0,7.0,2.0,0.0,1.0,0.0,3.0,24.0,10.0,LaMarcus Aldridge,SAS,False,True,
poeltja01,23.633333333333333,6.0,7.0,0.857,0.0,0.0,,1.0,2.0,0.5,2.0,5.0,7.0,3.0,0.0,0.0,0.0,3.0,13.0,10.0,Jakob Poeltl,SAS,False,True,
gayru01,26.7,7.0,9.0,0.778,1.0,2.0,0.5,3.0,3.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,1.0,3.0,18.0,17.0,Rudy Gay,SAS,False,False,
millspa02,20.416666666666668,5.0,11.0,0.455,4.0,10.0,0.4,3.0,4.0,0.75,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,17.0,6.0,Patty Mills,SAS,False,False,
bertada01,19.116666666666667,3.0,6.0,0.5,1.0,4.0,0.25,3.0,3.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,10.0,15.0,Dāvis Bertāns,SAS,False,False,
cunnida01,16.033333333333335,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,Dante Cunningham,SAS,False,False,
walkelo01,4.7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-6.0,Lonnie Walker,SAS,False,False,
motiedo01,4.35,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,-6.0,Donatas Motiejūnas,SAS,False,False,
pondequ01,4.35,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,Quincy Pondexter,SAS,False,False,
eubandr01,3.8,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,-6.0,Drew Eubanks,SAS,False,False,
portibo01,37.11666666666667,6.0,14.0,0.429,2.0,6.0,0.333,2.0,2.0,1.0,3.0,6.0,9.0,2.0,0.0,0.0,1.0,3.0,16.0,-4.0,Bobby Portis,WAS,True,True,
browntr01,32.95,5.0,11.0,0.455,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,2.0,13.0,-4.0,Troy Brown,WAS,True,True,
bryanth01,32.0,8.0,10.0,0.8,1.0,3.0,0.333,2.0,3.0,0.667,2.0,5.0,7.0,2.0,0.0,0.0,2.0,2.0,19.0,-12.0,Thomas Bryant,WAS,True,True,
bealbr01,30.683333333333334,9.0,19.0,0.474,2.0,6.0,0.333,5.0,6.0,0.833,0.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,25.0,-11.0,Bradley Beal,WAS,True,True,
satorto01,24.616666666666667,2.0,7.0,0.286,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,6.0,-6.0,Tomáš Satoranský,WAS,True,True,
greenje02,22.533333333333335,6.0,10.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,14.0,-24.0,Jeff Green,WAS,True,False,
randlch01,17.316666666666666,1.0,4.0,0.25,1.0,3.0,0.333,2.0,3.0,0.667,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,5.0,-6.0,Chasson Randle,WAS,True,False,
mcraejo01,15.05,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,7.0,-13.0,Jordan McRae,WAS,True,False,
robinde01,14.016666666666667,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,2.0,0.0,3.0,4.0,0.0,Devin Robinson,WAS,True,False,
dekkesa01,13.716666666666667,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,-5.0,Sam Dekker,WAS,True,False,
johnswe01,,,,,,,,,,,,,,,,,,,,,Wesley Johnson,WAS,True,False,Did Not Play
mahinia01,,,,,,,,,,,,,,,,,,,,,Ian Mahinmi,WAS,True,False,Did Not Play
parkeja01,,,,,,,,,,,,,,,,,,,,,Jabari Parker,WAS,True,False,Did Not Dress
