player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
antetgi01,31.916666666666668,12.0,23.0,0.522,2.0,6.0,0.333,15.0,20.0,0.75,2.0,7.0,9.0,3.0,1.0,4.0,1.0,2.0,41.0,22.0,Giannis Antetokounmpo,,MIL,False,True
middlkh01,30.016666666666666,5.0,11.0,0.455,2.0,5.0,0.4,6.0,7.0,0.857,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,18.0,4.0,Khris Middleton,,MIL,False,True
bledser01,27.716666666666665,7.0,12.0,0.583,1.0,3.0,0.333,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,0.0,16.0,13.0,Eric Bledsoe,,MIL,False,True
brownst02,27.383333333333333,3.0,7.0,0.429,0.0,2.0,0.0,3.0,4.0,0.75,3.0,10.0,13.0,6.0,1.0,0.0,3.0,4.0,9.0,9.0,Sterling Brown,,MIL,False,True
lopezbr01,26.283333333333335,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,3.0,0.0,5.0,2.0,2.0,7.0,9.0,Brook Lopez,,MIL,False,True
connapa01,25.633333333333333,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,4.0,12.0,Pat Connaughton,,MIL,False,False
mirotni01,19.633333333333333,4.0,7.0,0.571,3.0,5.0,0.6,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,12.0,15.0,Nikola Mirotić,,MIL,False,False
hillge01,19.633333333333333,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,7.0,29.0,George Hill,,MIL,False,False
ilyaser01,17.366666666666667,1.0,4.0,0.25,0.0,2.0,0.0,2.0,4.0,0.5,1.0,8.0,9.0,3.0,0.0,0.0,1.0,5.0,4.0,14.0,Ersan İlyasova,,MIL,False,False
wilsodj01,5.75,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,-2.0,D.J. Wilson,,MIL,False,False
fraziti01,4.333333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,-5.0,Tim Frazier,,MIL,False,False
snellto01,4.333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,Tony Snell,,MIL,False,False
brogdma01,,,,,,,,,,,,,,,,,,,,,Malcolm Brogdon,Did Not Play,MIL,False,False
drumman01,33.03333333333333,7.0,16.0,0.438,0.0,0.0,,1.0,3.0,0.333,6.0,6.0,12.0,3.0,1.0,0.0,2.0,5.0,15.0,-11.0,Andre Drummond,,DET,True,True
jacksre01,31.55,9.0,20.0,0.45,5.0,9.0,0.556,3.0,3.0,1.0,1.0,2.0,3.0,7.0,1.0,0.0,0.0,3.0,26.0,-17.0,Reggie Jackson,,DET,True,True
ellinwa01,28.533333333333335,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,-24.0,Wayne Ellington,,DET,True,True
griffbl01,27.533333333333335,8.0,15.0,0.533,4.0,6.0,0.667,2.0,2.0,1.0,1.0,4.0,5.0,6.0,0.0,0.0,4.0,6.0,22.0,-8.0,Blake Griffin,,DET,True,True
brownbr01,16.116666666666667,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,Bruce Brown,,DET,True,True
kennalu01,32.46666666666667,5.0,11.0,0.455,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,11.0,-18.0,Luke Kennard,,DET,True,False
gallola01,32.36666666666667,4.0,11.0,0.364,2.0,7.0,0.286,0.0,0.0,,0.0,2.0,2.0,3.0,2.0,0.0,0.0,3.0,10.0,-22.0,Langston Galloway,,DET,True,False
makerth01,14.966666666666667,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,1.0,2.0,3.0,1.0,0.0,0.0,2.0,5.0,6.0,-12.0,Thon Maker,,DET,True,False
smithis01,12.116666666666667,1.0,6.0,0.167,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,-11.0,Ish Smith,,DET,True,False
thomakh01,4.333333333333333,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,Khyri Thomas,,DET,True,False
caldejo01,4.333333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,José Calderón,,DET,True,False
robingl02,2.65,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,Glenn Robinson,,DET,True,False
pachuza01,,,,,,,,,,,,,,,,,,,,,Zaza Pachulia,Did Not Play,DET,True,False
