player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
tatumja01,33.53333333333333,5.0,17.0,0.294,2.0,7.0,0.286,3.0,4.0,0.75,2.0,7.0,9.0,0.0,3.0,2.0,2.0,3.0,15.0,20.0,Jayson Tatum,BOS,False,True,
walkeke02,30.35,11.0,17.0,0.647,7.0,12.0,0.583,3.0,4.0,0.75,3.0,3.0,6.0,4.0,2.0,0.0,0.0,2.0,32.0,13.0,Kemba Walker,BOS,False,True,
brownja02,27.1,6.0,14.0,0.429,1.0,5.0,0.2,6.0,8.0,0.75,1.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,19.0,20.0,Jaylen Brown,BOS,False,True,
haywago01,26.883333333333333,4.0,10.0,0.4,1.0,2.0,0.5,0.0,0.0,,1.0,5.0,6.0,3.0,1.0,0.0,4.0,4.0,9.0,14.0,Gordon Hayward,BOS,False,True,
williro04,21.733333333333334,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,2.0,5.0,7.0,3.0,2.0,1.0,1.0,3.0,4.0,8.0,Robert Williams,BOS,False,True,
smartma01,27.55,3.0,9.0,0.333,3.0,8.0,0.375,3.0,3.0,1.0,2.0,4.0,6.0,4.0,1.0,2.0,1.0,1.0,12.0,15.0,Marcus Smart,BOS,False,False,
edwarca01,22.316666666666666,3.0,11.0,0.273,1.0,6.0,0.167,3.0,4.0,0.75,1.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,10.0,8.0,Carsen Edwards,BOS,False,False,
willigr01,19.166666666666668,3.0,4.0,0.75,0.0,1.0,0.0,1.0,3.0,0.333,1.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,7.0,16.0,Grant Williams,BOS,False,False,
ojelese01,14.566666666666666,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,Semi Ojeleye,BOS,False,False,
poirivi01,5.9,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,Vincent Poirier,BOS,False,False,
fallta01,3.6333333333333333,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,-2.0,Tacko Fall,BOS,False,False,
wanambr01,3.6333333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,Brad Wanamaker,BOS,False,False,
greenja02,3.6333333333333333,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,Javonte Green,BOS,False,False,
barrerj01,36.56666666666667,9.0,21.0,0.429,4.0,6.0,0.667,4.0,7.0,0.571,3.0,4.0,7.0,3.0,0.0,0.0,4.0,3.0,26.0,-9.0,RJ Barrett,NYK,True,True,
paytoel01,30.766666666666666,2.0,7.0,0.286,2.0,3.0,0.667,2.0,2.0,1.0,0.0,4.0,4.0,5.0,4.0,0.0,4.0,2.0,8.0,0.0,Elfrid Payton,NYK,True,True,
randlju01,29.866666666666667,4.0,12.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,6.0,4.0,10.0,3.0,1.0,0.0,4.0,1.0,10.0,-12.0,Julius Randle,NYK,True,True,
morrima03,28.683333333333334,3.0,9.0,0.333,0.0,2.0,0.0,6.0,6.0,1.0,1.0,6.0,7.0,1.0,1.0,0.0,4.0,4.0,12.0,-1.0,Marcus Morris,NYK,True,True,
robinmi01,19.85,7.0,7.0,1.0,0.0,0.0,,3.0,3.0,1.0,4.0,2.0,6.0,0.0,0.0,3.0,1.0,4.0,17.0,-9.0,Mitchell Robinson,NYK,True,True,
portibo01,27.283333333333335,3.0,10.0,0.3,0.0,4.0,0.0,2.0,2.0,1.0,2.0,9.0,11.0,1.0,0.0,1.0,2.0,5.0,8.0,-14.0,Bobby Portis,NYK,True,False,
knoxke01,25.666666666666668,2.0,7.0,0.286,0.0,3.0,0.0,3.0,6.0,0.5,0.0,8.0,8.0,0.0,0.0,0.0,1.0,1.0,7.0,-28.0,Kevin Knox,NYK,True,False,
trieral01,20.833333333333332,0.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,-25.0,Allonzo Trier,NYK,True,False,
smithde03,11.35,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,-15.0,Dennis Smith,NYK,True,False,
gibsota01,5.2,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,Taj Gibson,NYK,True,False,
dotsoda01,3.6333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,Damyean Dotson,NYK,True,False,
ntilila01,0.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frank Ntilikina,NYK,True,False,
ellinwa01,,,,,,,,,,,,,,,,,,,,,Wayne Ellington,NYK,True,False,Did Not Play
