player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
ntilila01,38.65,5.0,7.0,0.714,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,2.0,2.0,11.0,-13.0,Frank Ntilikina,NYK,False,True,
barrerj01,33.7,4.0,12.0,0.333,1.0,2.0,0.5,6.0,11.0,0.545,0.0,6.0,6.0,8.0,2.0,0.0,3.0,3.0,15.0,-23.0,RJ Barrett,NYK,False,True,
morrima03,32.95,7.0,14.0,0.5,3.0,7.0,0.429,1.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,3.0,2.0,18.0,-19.0,Marcus Morris,NYK,False,True,
randlju01,32.333333333333336,8.0,15.0,0.533,3.0,5.0,0.6,1.0,2.0,0.5,1.0,2.0,3.0,2.0,1.0,1.0,4.0,5.0,20.0,-22.0,Julius Randle,NYK,False,True,
robinmi01,7.916666666666667,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,Mitchell Robinson,NYK,False,True,
knoxke01,26.866666666666667,5.0,7.0,0.714,2.0,3.0,0.667,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,14.0,-13.0,Kevin Knox,NYK,False,False,
gibsota01,21.616666666666667,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,6.0,-6.0,Taj Gibson,NYK,False,False,
portibo01,20.5,1.0,6.0,0.167,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,3.0,-8.0,Bobby Portis,NYK,False,False,
ellinwa01,14.316666666666666,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-8.0,Wayne Ellington,NYK,False,False,
trieral01,3.716666666666667,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,Allonzo Trier,NYK,False,False,
dotsoda01,3.716666666666667,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,Damyean Dotson,NYK,False,False,
brazdig01,3.716666666666667,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Ignas Brazdeikis,NYK,False,False,
drumman01,34.9,12.0,16.0,0.75,0.0,0.0,,3.0,4.0,0.75,4.0,8.0,12.0,7.0,1.0,0.0,4.0,1.0,27.0,24.0,Andre Drummond,DET,True,True,
brownbr01,34.166666666666664,3.0,9.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,6.0,1.0,0.0,1.0,3.0,9.0,16.0,Bruce Brown,DET,True,True,
snellto01,32.38333333333333,9.0,9.0,1.0,6.0,6.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,24.0,20.0,Tony Snell,DET,True,True,
kennalu01,32.31666666666667,4.0,12.0,0.333,1.0,7.0,0.143,3.0,4.0,0.75,1.0,8.0,9.0,7.0,0.0,0.0,3.0,3.0,12.0,12.0,Luke Kennard,DET,True,True,
morrima02,29.4,7.0,11.0,0.636,4.0,7.0,0.571,4.0,5.0,0.8,0.0,4.0,4.0,5.0,2.0,0.0,3.0,1.0,22.0,13.0,Markieff Morris,DET,True,True,
gallola01,23.233333333333334,3.0,7.0,0.429,1.0,3.0,0.333,6.0,6.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,13.0,20.0,Langston Galloway,DET,True,False,
woodch01,18.6,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,,2.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,Christian Wood,DET,True,False,
mykhasv01,15.616666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,Sviatoslav Mykhailiuk,DET,True,False,
makerth01,13.1,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,7.0,-4.0,Thon Maker,DET,True,False,
thomakh01,3.716666666666667,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,Khyri Thomas,DET,True,False,
bonejo01,2.5666666666666664,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-4.0,Jordan Bone,DET,True,False,
rosede01,,,,,,,,,,,,,,,,,,,,,Derrick Rose,DET,True,False,Did Not Play
