player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
crowdja01,31.75,3.0,10.0,0.3,3.0,8.0,0.375,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,9.0,-5.0,Jae Crowder,MEM,False,True
brookdi01,31.683333333333334,4.0,13.0,0.308,1.0,4.0,0.25,0.0,1.0,0.0,3.0,4.0,7.0,3.0,2.0,0.0,1.0,1.0,9.0,7.0,Dillon Brooks,MEM,False,True
moranja01,30.1,6.0,15.0,0.4,0.0,1.0,0.0,7.0,8.0,0.875,1.0,1.0,2.0,10.0,2.0,1.0,0.0,0.0,19.0,16.0,Ja Morant,MEM,False,True
valanjo01,26.166666666666668,7.0,12.0,0.583,0.0,1.0,0.0,0.0,2.0,0.0,2.0,8.0,10.0,0.0,1.0,3.0,3.0,4.0,14.0,-17.0,Jonas Valančiūnas,MEM,False,True
jacksja02,22.733333333333334,10.0,15.0,0.667,6.0,8.0,0.75,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,5.0,28.0,1.0,Jaren Jackson,MEM,False,True
clarkbr01,24.616666666666667,8.0,9.0,0.889,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,17.0,-14.0,Brandon Clarke,MEM,False,False
hillso01,18.083333333333332,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,,0.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,5.0,1.0,Solomon Hill,MEM,False,False
anderky01,15.133333333333333,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,-21.0,Kyle Anderson,MEM,False,False
jonesty01,12.183333333333334,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-25.0,Tyus Jones,MEM,False,False
allengr01,11.966666666666667,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,Grayson Allen,MEM,False,False
gudurma01,8.133333333333333,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-5.0,Marko Guduric,MEM,False,False
meltode01,5.716666666666667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,-3.0,De'Anthony Melton,MEM,False,False
cabocbr01,1.7333333333333334,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Bruno Caboclo,MEM,False,False
warretj01,33.833333333333336,11.0,15.0,0.733,3.0,5.0,0.6,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,26.0,18.0,T.J. Warren,IND,True,True
sabondo01,33.0,5.0,8.0,0.625,0.0,1.0,0.0,3.0,6.0,0.5,3.0,10.0,13.0,6.0,2.0,0.0,1.0,1.0,13.0,9.0,Domantas Sabonis,IND,True,True
lambje01,30.916666666666668,8.0,16.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,1.0,2.0,19.0,17.0,Jeremy Lamb,IND,True,True
turnemy01,30.433333333333334,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,5.0,1.0,4.0,7.0,18.0,Myles Turner,IND,True,True
brogdma01,30.133333333333333,6.0,12.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,6.0,6.0,8.0,1.0,0.0,3.0,0.0,14.0,9.0,Malcolm Brogdon,IND,True,True
mccontj01,19.066666666666666,5.0,12.0,0.417,1.0,2.0,0.5,0.0,0.0,,2.0,3.0,5.0,6.0,0.0,0.0,1.0,1.0,11.0,-5.0,T.J. McConnell,IND,True,False
holidaa01,17.866666666666667,6.0,9.0,0.667,4.0,6.0,0.667,0.0,0.0,,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,16.0,3.0,Aaron Holiday,IND,True,False
mcderdo01,17.316666666666666,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,Doug McDermott,IND,True,False
holidju01,14.733333333333333,3.0,7.0,0.429,3.0,5.0,0.6,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,13.0,Justin Holiday,IND,True,False
bitadgo01,7.4,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,-9.0,Goga Bitadze,IND,True,False
leaftj01,2.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,T.J. Leaf,IND,True,False
johnsal02,2.55,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,Alize Johnson,IND,True,False
