player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
templga01,32.86666666666667,3.0,9.0,0.333,2.0,8.0,0.25,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,8.0,11.0,Garrett Temple,,BRK,False,True
dinwisp01,32.85,4.0,13.0,0.308,3.0,8.0,0.375,2.0,4.0,0.5,0.0,2.0,2.0,12.0,2.0,0.0,4.0,3.0,13.0,4.0,Spencer Dinwiddie,,BRK,False,True
princta02,31.983333333333334,6.0,9.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,2.0,2.0,16.0,4.0,Taurean Prince,,BRK,False,True
harrijo01,30.483333333333334,8.0,13.0,0.615,6.0,8.0,0.75,0.0,0.0,,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,22.0,4.0,Joe Harris,,BRK,False,True
allenja01,22.116666666666667,7.0,10.0,0.7,0.0,0.0,,0.0,0.0,,4.0,6.0,10.0,0.0,2.0,2.0,2.0,2.0,14.0,6.0,Jarrett Allen,,BRK,False,True
jordade01,25.883333333333333,6.0,7.0,0.857,0.0,0.0,,4.0,4.0,1.0,5.0,8.0,13.0,3.0,0.0,2.0,1.0,2.0,16.0,1.0,DeAndre Jordan,,BRK,False,False
shumpim01,21.516666666666666,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,3.0,3.0,4.0,0.0,1.0,2.0,4.0,3.0,Iman Shumpert,,BRK,False,False
nwabada01,16.016666666666666,5.0,9.0,0.556,2.0,3.0,0.667,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,3.0,David Nwaba,,BRK,False,False
pinsoth01,14.3,1.0,9.0,0.111,0.0,4.0,0.0,3.0,3.0,1.0,2.0,5.0,7.0,0.0,1.0,0.0,1.0,3.0,5.0,1.0,Theo Pinson,,BRK,False,False
musadz01,11.983333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,-2.0,Džanan Musa,,BRK,False,False
claxtni01,,,,,,,,,,,,,,,,,,,,,Nicolas Claxton,Did Not Play,BRK,False,False
roziete01,35.56666666666667,8.0,14.0,0.571,5.0,7.0,0.714,3.0,3.0,1.0,0.0,6.0,6.0,4.0,0.0,0.0,5.0,3.0,24.0,-20.0,Terry Rozier,,CHO,True,True
washipj01,34.7,6.0,16.0,0.375,2.0,6.0,0.333,0.0,0.0,,2.0,3.0,5.0,3.0,0.0,2.0,2.0,4.0,14.0,-9.0,P.J. Washington,,CHO,True,True
grahade01,33.6,8.0,19.0,0.421,6.0,11.0,0.545,7.0,8.0,0.875,1.0,2.0,3.0,8.0,1.0,0.0,4.0,1.0,29.0,6.0,Devonte' Graham,,CHO,True,True
bridgmi02,21.716666666666665,2.0,7.0,0.286,2.0,4.0,0.5,3.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,9.0,-15.0,Miles Bridges,,CHO,True,True
biyombi01,14.3,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,-7.0,Bismack Biyombo,,CHO,True,True
batumni01,33.083333333333336,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,,2.0,2.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,-3.0,Nicolas Batum,,CHO,True,False
zelleco01,22.9,8.0,12.0,0.667,1.0,3.0,0.333,0.0,1.0,0.0,2.0,4.0,6.0,2.0,1.0,2.0,3.0,3.0,17.0,6.0,Cody Zeller,,CHO,True,False
monkma01,16.866666666666667,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,Malik Monk,,CHO,True,False
willima02,15.733333333333333,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,Marvin Williams,,CHO,True,False
bacondw01,11.533333333333333,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Dwayne Bacon,,CHO,True,False
kiddgmi01,,,,,,,,,,,,,,,,,,,,,Michael Kidd-Gilchrist,Did Not Play,CHO,True,False
hernawi01,,,,,,,,,,,,,,,,,,,,,Willy Hernangómez,Did Not Play,CHO,True,False
