player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter,note
fournev01,31.7,8.0,16.0,0.5,4.0,7.0,0.571,3.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,23.0,9.0,Evan Fournier,ORL,False,True,
vucevni01,31.7,7.0,16.0,0.438,5.0,10.0,0.5,2.0,2.0,1.0,0.0,8.0,8.0,4.0,3.0,2.0,1.0,1.0,21.0,3.0,Nikola Vučević,ORL,False,True,
isaacjo01,29.9,8.0,13.0,0.615,1.0,3.0,0.333,2.0,2.0,1.0,4.0,5.0,9.0,2.0,7.0,1.0,2.0,3.0,19.0,2.0,Jonathan Isaac,ORL,False,True,
fultzma01,29.616666666666667,1.0,10.0,0.1,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,3.0,4.0,4.0,Markelle Fultz,ORL,False,True,
gordoaa01,21.4,2.0,9.0,0.222,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,5.0,-6.0,Aaron Gordon,ORL,False,True,
augusdj01,28.25,4.0,7.0,0.571,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,12.0,-35.0,D.J. Augustin,ORL,False,False,
rosste01,27.4,3.0,7.0,0.429,1.0,4.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,9.0,-21.0,Terrence Ross,ORL,False,False,
iwundwe01,18.316666666666666,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,2.0,3.0,2.0,-12.0,Wesley Iwundu,ORL,False,False,
birchkh01,16.3,0.0,3.0,0.0,0.0,0.0,,2.0,4.0,0.5,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,-14.0,Khem Birch,ORL,False,False,
magetjo01,1.8,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,Josh Magette,ORL,False,False,
frazime01,1.8,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,Melvin Frazier,ORL,False,False,
jeffeam01,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Amile Jefferson,ORL,False,False,
middlkh01,33.0,7.0,17.0,0.412,1.0,5.0,0.2,6.0,6.0,1.0,1.0,4.0,5.0,7.0,2.0,0.0,4.0,1.0,21.0,0.0,Khris Middleton,MIL,True,True,
lopezbr01,27.4,5.0,16.0,0.313,0.0,6.0,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,10.0,0.0,Brook Lopez,MIL,True,True,
ilyaser01,26.583333333333332,6.0,10.0,0.6,5.0,6.0,0.833,0.0,0.0,,3.0,11.0,14.0,5.0,0.0,1.0,2.0,0.0,17.0,18.0,Ersan İlyasova,MIL,True,True,
divindo01,26.45,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,,1.0,8.0,9.0,5.0,0.0,0.0,5.0,2.0,7.0,13.0,Donte DiVincenzo,MIL,True,True,
matthwe02,20.8,2.0,3.0,0.667,0.0,1.0,0.0,1.0,3.0,0.333,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,-13.0,Wesley Matthews,MIL,True,True,
lopezro01,23.266666666666666,7.0,8.0,0.875,1.0,1.0,1.0,2.0,4.0,0.5,2.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,17.0,9.0,Robin Lopez,MIL,True,False,
connapa01,23.066666666666666,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,3.0,6.0,9.0,5.0,0.0,0.0,1.0,3.0,3.0,16.0,Pat Connaughton,MIL,True,False,
korveky01,22.866666666666667,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,8.0,20.0,Kyle Korver,MIL,True,False,
hillge01,20.816666666666666,7.0,11.0,0.636,3.0,6.0,0.5,0.0,1.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,2.0,0.0,17.0,1.0,George Hill,MIL,True,False,
wilsodj01,7.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.0,D.J. Wilson,MIL,True,False,
brownst02,7.283333333333333,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,Sterling Brown,MIL,True,False,
antetth01,0.9166666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,Thanasis Antetokounmpo,MIL,True,False,
bendedr01,,,,,,,,,,,,,,,,,,,,,Dragan Bender,MIL,True,False,Did Not Play
