player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,note,team_id,is_home,is_starter
harriga01,36.416666666666664,4.0,11.0,0.364,0.0,3.0,0.0,2.0,2.0,1.0,0.0,7.0,7.0,1.0,2.0,0.0,1.0,1.0,10.0,13.0,Gary Harris,,DEN,False,True
murraja01,35.266666666666666,14.0,17.0,0.824,6.0,8.0,0.75,2.0,3.0,0.667,0.0,5.0,5.0,5.0,1.0,1.0,5.0,4.0,36.0,5.0,Jamal Murray,,DEN,False,True
jokicni01,33.93333333333333,9.0,19.0,0.474,0.0,3.0,0.0,5.0,5.0,1.0,4.0,5.0,9.0,6.0,1.0,3.0,6.0,3.0,23.0,3.0,Nikola Jokić,,DEN,False,True
craigto01,31.866666666666667,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,9.0,1.0,Torrey Craig,,DEN,False,True
grantje01,30.1,4.0,6.0,0.667,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,10.0,6.0,Jerami Grant,,DEN,False,True
morrimo01,26.7,4.0,9.0,0.444,1.0,2.0,0.5,2.0,3.0,0.667,1.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,11.0,0.0,Monte Morris,,DEN,False,False
millspa01,17.866666666666667,5.0,9.0,0.556,1.0,3.0,0.333,1.0,4.0,0.25,3.0,8.0,11.0,4.0,0.0,0.0,0.0,4.0,12.0,3.0,Paul Millsap,,DEN,False,False
bateske01,14.1,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,Keita Bates-Diop,,DEN,False,False
doziepj01,13.75,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,8.0,PJ Dozier,,DEN,False,False
plumlma01,,,,,,,,,,,,,,,,,,,,,Mason Plumlee,Did Not Play,DEN,False,False
cancavl01,,,,,,,,,,,,,,,,,,,,,Vlatko Čančar,Did Not Play,DEN,False,False
vonleno01,,,,,,,,,,,,,,,,,,,,,Noah Vonleh,Did Not Play,DEN,False,False
mcraejo01,,,,,,,,,,,,,,,,,,,,,Jordan McRae,Did Not Play,DEN,False,False
aytonde01,42.43333333333333,13.0,21.0,0.619,0.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,19.0,2.0,3.0,1.0,5.0,5.0,28.0,-1.0,Deandre Ayton,,PHO,True,True
oubreke01,42.15,7.0,19.0,0.368,3.0,11.0,0.273,3.0,3.0,1.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,4.0,20.0,-2.0,Kelly Oubre,,PHO,True,True
bookede01,36.766666666666666,5.0,16.0,0.313,3.0,8.0,0.375,8.0,8.0,1.0,0.0,3.0,3.0,9.0,1.0,0.0,2.0,3.0,21.0,1.0,Devin Booker,,PHO,True,True
bridgmi01,33.88333333333333,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,9.0,-18.0,Mikal Bridges,,PHO,True,True
rubiori01,31.666666666666668,4.0,10.0,0.4,0.0,3.0,0.0,7.0,7.0,1.0,1.0,4.0,5.0,7.0,0.0,0.0,4.0,1.0,15.0,-13.0,Ricky Rubio,,PHO,True,True
johnsca02,23.566666666666666,3.0,8.0,0.375,2.0,6.0,0.333,3.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,11.0,5.0,Cameron Johnson,,PHO,True,False
okoboel01,14.1,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,Elie Okobo,,PHO,True,False
carteje01,10.533333333333333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,-9.0,Jevon Carter,,PHO,True,False
diallch01,4.9,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,-9.0,Cheick Diallo,,PHO,True,False
saricda01,,,,,,,,,,,,,,,,,,,,,Dario Šarić,Did Not Play,PHO,True,False
baynear01,,,,,,,,,,,,,,,,,,,,,Aron Baynes,Did Not Play,PHO,True,False
jeromty01,,,,,,,,,,,,,,,,,,,,,Ty Jerome,Did Not Play,PHO,True,False
