player_id,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,player_name,team_id,is_home,is_starter
georgpa01,36.083333333333336,9.0,20.0,0.45,4.0,9.0,0.444,5.0,7.0,0.714,1.0,3.0,4.0,4.0,3.0,0.0,2.0,0.0,27.0,12.0,Paul George,LAC,False,True
leonaka01,33.38333333333333,9.0,16.0,0.563,1.0,4.0,0.25,7.0,8.0,0.875,0.0,5.0,5.0,3.0,2.0,0.0,1.0,4.0,26.0,12.0,Kawhi Leonard,LAC,False,True
morrima03,29.583333333333332,3.0,10.0,0.3,1.0,7.0,0.143,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,0.0,3.0,7.0,14.0,Marcus Morris,LAC,False,True
jacksre01,29.033333333333335,4.0,8.0,0.5,2.0,6.0,0.333,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,10.0,4.0,Reggie Jackson,LAC,False,True
zubaciv01,21.266666666666666,7.0,9.0,0.778,0.0,0.0,,1.0,2.0,0.5,4.0,8.0,12.0,2.0,0.0,0.0,0.0,3.0,15.0,5.0,Ivica Zubac,LAC,False,True
willilo02,24.65,8.0,13.0,0.615,2.0,6.0,0.333,5.0,6.0,0.833,1.0,1.0,2.0,7.0,1.0,0.0,2.0,2.0,23.0,4.0,Lou Williams,LAC,False,False
pattepa01,21.85,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,8.0,15.0,Patrick Patterson,LAC,False,False
greenja01,21.066666666666666,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,-8.0,JaMychal Green,LAC,False,False
mcgruro01,16.633333333333333,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,Rodney McGruder,LAC,False,False
mannte01,2.2333333333333334,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Terance Mann,LAC,False,False
noahjo01,2.2333333333333334,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Joakim Noah,LAC,False,False
coffeam01,1.9833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,Amir Coffey,LAC,False,False
jokicni01,28.466666666666665,7.0,11.0,0.636,1.0,4.0,0.25,2.0,4.0,0.5,1.0,6.0,7.0,13.0,0.0,0.0,1.0,1.0,17.0,5.0,Nikola Jokić,DEN,True,True
portemi01,25.45,4.0,10.0,0.4,0.0,4.0,0.0,3.0,4.0,0.75,0.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,11.0,-16.0,Michael Porter,DEN,True,True
murraja01,25.1,3.0,8.0,0.375,2.0,7.0,0.286,2.0,2.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,10.0,1.0,Jamal Murray,DEN,True,True
craigto01,23.883333333333333,4.0,8.0,0.5,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,10.0,-4.0,Torrey Craig,DEN,True,True
millspa01,22.916666666666668,2.0,6.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,2.0,0.0,0.0,1.0,4.0,5.0,2.0,Paul Millsap,DEN,True,True
grantje01,28.15,9.0,14.0,0.643,4.0,7.0,0.571,3.0,4.0,0.75,1.0,5.0,6.0,1.0,1.0,0.0,1.0,0.0,25.0,-7.0,Jerami Grant,DEN,True,False
doziepj01,22.5,3.0,10.0,0.3,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,6.0,-12.0,PJ Dozier,DEN,True,False
morrimo01,20.966666666666665,2.0,6.0,0.333,2.0,3.0,0.667,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,-10.0,Monte Morris,DEN,True,False
plumlma01,19.0,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,4.0,-14.0,Mason Plumlee,DEN,True,False
bolbo01,9.766666666666667,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,7.0,-3.0,Bol Bol,DEN,True,False
bateske01,6.7,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,-5.0,Keita Bates-Diop,DEN,True,False
danietr01,3.55,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0,Troy Daniels,DEN,True,False
vonleno01,3.55,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,Noah Vonleh,DEN,True,False
