player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,note,team_id,is_home,is_starter
bradlav01,38.53333333333333,0.493,0.452,0.571,0.143,2.4,9.3,5.5,8.6,3.8,0.0,8.2,26.6,102.0,119.0,0.3,Avery Bradley,,BOS,False,True
thomais02,32.28333333333333,0.632,0.594,0.563,0.313,2.9,11.2,6.5,20.8,3.0,0.0,14.2,27.6,120.0,118.0,4.4,Isaiah Thomas,,BOS,False,True
johnsam01,27.033333333333335,0.68,0.6,0.0,0.4,20.9,22.2,21.5,5.3,0.0,3.1,25.4,12.3,132.0,121.0,-2.4,Amir Johnson,,BOS,False,True
crowdja01,25.4,0.313,0.313,0.75,0.0,0.0,14.2,6.2,5.4,1.9,0.0,0.0,13.3,77.0,122.0,-6.5,Jae Crowder,,BOS,False,True
sullija01,17.6,0.317,0.286,0.143,0.286,5.3,20.5,12.0,0.0,0.0,0.0,0.0,18.9,79.0,122.0,-14.1,Jared Sullinger,,BOS,False,True
smartma01,28.25,0.714,0.656,0.563,0.313,6.7,12.7,9.3,0.0,3.4,0.0,0.0,27.1,153.0,118.0,15.2,Marcus Smart,,BOS,False,False
turneev01,27.283333333333335,0.571,0.571,0.0,0.0,0.0,8.8,3.9,27.5,0.0,3.0,22.2,13.9,110.0,124.0,-2.7,Evan Turner,,BOS,False,False
olynyke01,24.55,0.418,0.333,0.556,0.444,3.8,9.8,6.4,17.7,0.0,0.0,8.5,20.2,100.0,127.0,-4.8,Kelly Olynyk,,BOS,False,False
jerebjo01,18.866666666666667,0.694,0.75,1.0,1.0,5.0,25.4,14.0,7.5,2.6,0.0,0.0,12.9,153.0,114.0,2.5,Jonas Jerebko,,BOS,False,False
youngja01,0.2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,129.0,-6.1,James Young,,BOS,False,False
zellety01,,,,,,,,,,,,,,,,,Tyler Zeller,Did Not Play,BOS,False,False
roziete01,,,,,,,,,,,,,,,,,Terry Rozier,Did Not Play,BOS,False,False
leeda02,,,,,,,,,,,,,,,,,David Lee,Did Not Play,BOS,False,False
harrito02,39.53333333333333,0.775,0.722,0.333,0.333,6.1,9.5,8.0,0.0,3.7,0.0,16.2,13.3,133.0,114.0,1.4,Tobias Harris,,ORL,True,True
gordoaa01,39.13333333333333,0.635,0.727,0.182,0.818,9.2,26.5,18.9,17.9,0.0,5.2,0.0,16.3,144.0,113.0,5.6,Aaron Gordon,,ORL,True,True
vucevni01,34.75,0.39,0.353,0.0,0.471,10.4,27.1,19.7,27.1,0.0,8.8,0.0,25.2,112.0,111.0,1.5,Nikola Vučević,,ORL,True,True
oladivi01,27.583333333333332,0.423,0.423,0.462,0.0,4.4,6.8,5.7,19.7,3.5,0.0,18.8,24.8,88.0,116.0,-7.2,Victor Oladipo,,ORL,True,True
paytoel01,14.75,0.765,0.7,0.4,0.4,16.3,12.8,14.3,9.5,0.0,0.0,33.8,25.7,108.0,121.0,-7.0,Elfrid Payton,,ORL,True,True
hezonma01,33.31666666666667,0.654,0.654,0.462,0.0,0.0,8.5,4.7,12.7,0.0,0.0,13.3,19.2,118.0,123.0,-2.0,Mario Hezonja,,ORL,True,False
fournev01,22.983333333333334,0.935,1.0,0.625,1.375,0.0,12.3,6.9,13.3,4.2,0.0,23.8,31.3,134.0,112.0,13.5,Evan Fournier,,ORL,True,False
smithja02,20.316666666666666,0.5,0.5,0.0,0.0,5.9,0.0,2.6,24.1,0.0,0.0,0.0,8.4,146.0,127.0,0.1,Jason Smith,,ORL,True,False
dedmode01,7.633333333333333,0.521,0.5,0.0,1.0,0.0,37.0,20.7,16.7,0.0,13.4,25.8,21.7,89.0,104.0,-3.6,Dewayne Dedmon,,ORL,True,False
fryech01,,,,,,,,,,,,,,,,,Channing Frye,Did Not Play,ORL,True,False
napiesh01,,,,,,,,,,,,,,,,,Shabazz Napier,Did Not Play,ORL,True,False
applike01,,,,,,,,,,,,,,,,,Keith Appling,Did Not Play,ORL,True,False
nichoan01,,,,,,,,,,,,,,,,,Andrew Nicholson,Did Not Play,ORL,True,False
