player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,note,team_id,is_home,is_starter
roberan03,37.93333333333333,0.377,0.5,0.25,1.5,0.0,14.4,7.6,13.2,0.0,3.9,31.1,11.2,69.0,113.0,-6.6,Andre Roberson,,OKC,False,True
westbru01,34.833333333333336,0.702,0.62,0.28,0.64,3.5,31.3,18.3,65.7,1.4,0.0,11.1,45.6,139.0,109.0,20.3,Russell Westbrook,,OKC,False,True
adamsst01,29.166666666666668,0.581,0.667,0.0,0.333,12.7,29.9,21.8,14.3,3.3,2.5,12.7,11.9,125.0,103.0,5.2,Steven Adams,,OKC,False,True
sabondo01,24.766666666666666,0.909,0.909,0.545,0.0,0.0,4.4,2.3,7.6,1.9,0.0,8.3,21.4,150.0,115.0,11.7,Domantas Sabonis,,OKC,False,True
morroan01,12.233333333333333,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.0,120.0,-20.0,Anthony Morrow,,OKC,False,True
grantje01,29.416666666666668,0.41,0.25,0.5,0.5,0.0,7.4,3.9,4.1,1.6,7.5,29.1,10.3,69.0,109.0,-5.9,Jerami Grant,,OKC,False,False
kanteen01,23.283333333333335,0.639,0.615,0.0,0.462,21.1,9.4,14.9,16.8,0.0,0.0,6.0,31.5,134.0,117.0,2.5,Enes Kanter,,OKC,False,False
chrisse01,20.983333333333334,0.4,0.4,0.6,0.0,0.0,10.4,5.5,0.0,0.0,0.0,0.0,10.5,84.0,117.0,-12.4,Semaj Christon,,OKC,False,False
lauvejo01,12.883333333333333,0.315,0.0,0.333,1.333,0.0,33.9,18.0,27.3,0.0,0.0,17.4,19.7,85.0,111.0,-6.6,Joffrey Lauvergne,,OKC,False,False
singlky01,8.333333333333334,0.75,0.75,1.0,0.0,0.0,0.0,0.0,16.3,0.0,0.0,0.0,10.6,161.0,119.0,0.5,Kyle Singler,,OKC,False,False
abrinal01,6.166666666666667,0.75,0.75,0.5,0.0,39.9,0.0,18.8,23.4,0.0,0.0,0.0,14.3,178.0,120.0,11.7,Álex Abrines,,OKC,False,False
collini01,,,,,,,,,,,,,,,,,Nick Collison,Did Not Play,OKC,False,False
huestjo01,,,,,,,,,,,,,,,,,Josh Huestis,Did Not Play,OKC,False,False
bradlav01,35.8,0.429,0.406,0.313,0.375,6.1,13.8,9.7,4.1,0.0,0.0,5.1,22.6,91.0,123.0,-8.0,Avery Bradley,,BOS,True,True
thomais02,34.28333333333333,0.655,0.591,0.364,0.409,0.0,7.2,3.4,57.9,1.4,0.0,16.1,37.2,119.0,121.0,9.9,Isaiah Thomas,,BOS,True,True
horfoal01,32.55,0.613,0.559,0.353,0.235,3.4,18.9,10.7,20.2,3.0,2.7,9.6,26.3,118.0,113.0,8.5,Al Horford,,BOS,True,True
crowdja01,31.616666666666667,0.233,0.167,0.5,0.167,3.5,11.7,7.3,3.8,3.0,0.0,0.0,8.4,70.0,116.0,-8.7,Jae Crowder,,BOS,True,True
johnsam01,25.683333333333334,0.697,0.65,0.2,0.5,12.7,14.4,13.5,31.4,3.7,0.0,0.0,19.6,157.0,114.0,15.9,Amir Johnson,,BOS,True,True
smartma01,24.033333333333335,0.35,0.35,0.2,0.0,4.5,10.2,7.2,22.8,2.0,3.7,23.1,22.3,71.0,116.0,-7.8,Marcus Smart,,BOS,True,False
jerebjo01,15.183333333333334,0.5,0.5,0.0,0.0,0.0,48.6,22.9,0.0,0.0,0.0,33.3,8.1,60.0,115.0,-8.9,Jonas Jerebko,,BOS,True,False
olynyke01,13.133333333333333,0.0,0.0,1.0,0.0,0.0,9.4,4.4,8.9,0.0,0.0,0.0,3.1,52.0,123.0,-10.6,Kelly Olynyk,,BOS,True,False
brownja02,12.583333333333334,0.46,0.4,0.0,0.2,17.3,9.8,13.8,11.4,0.0,0.0,0.0,17.8,118.0,123.0,-3.6,Jaylen Brown,,BOS,True,False
roziete01,8.15,0.75,0.75,0.5,0.0,0.0,30.2,14.2,33.5,0.0,0.0,0.0,10.1,166.0,119.0,11.4,Terry Rozier,,BOS,True,False
zellety01,6.983333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,99.0,125.0,-9.0,Tyler Zeller,,BOS,True,False
greenge01,,,,,,,,,,,,,,,,,Gerald Green,Did Not Play,BOS,True,False
youngja01,,,,,,,,,,,,,,,,,James Young,Did Not Play,BOS,True,False
