player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,note,team_id,is_home,is_starter
millspa01,39.15,0.379,0.306,0.278,0.556,2.7,17.1,9.6,21.7,3.8,6.2,11.8,29.1,83.0,103.0,-3.1,Paul Millsap,,ATL,False,True
hardati02,34.8,0.625,0.625,0.438,0.0,3.0,6.4,4.6,20.0,1.4,0.0,5.9,21.9,122.0,115.0,1.3,Tim Hardaway,,ATL,False,True
schrode01,33.61666666666667,0.852,0.844,0.125,0.063,3.1,6.6,4.8,20.0,0.0,0.0,10.8,24.6,145.0,119.0,6.8,Dennis Schröder,,ATL,False,True
bazemke01,32.05,0.542,0.462,0.615,0.308,3.3,17.4,10.1,23.0,1.5,0.0,6.3,22.0,117.0,111.0,1.3,Kent Bazemore,,ATL,False,True
sefolth01,22.05,0.375,0.375,0.5,0.0,0.0,20.3,9.8,5.8,4.5,0.0,0.0,8.1,87.0,103.0,-5.2,Thabo Sefolosha,,ATL,False,True
humphkr01,24.216666666666665,0.822,0.9,0.6,1.6,12.9,18.4,15.6,5.8,2.0,0.0,10.5,17.6,151.0,110.0,6.4,Kris Humphries,,ATL,False,False
delanma01,19.083333333333332,0.625,0.625,0.25,0.0,0.0,5.8,2.8,36.0,5.2,0.0,20.0,11.7,125.0,107.0,5.0,Malcolm Delaney,,ATL,False,False
dunlemi02,18.866666666666667,0.0,0.0,0.4,0.0,0.0,17.8,8.6,0.0,2.6,0.0,16.7,14.3,0.0,109.0,-19.1,Mike Dunleavy,,ATL,False,False
scottmi01,9.55,0.3,0.3,0.4,0.0,10.9,11.7,11.3,14.4,0.0,0.0,0.0,23.5,84.0,117.0,-8.5,Mike Scott,,ATL,False,False
princta02,6.616666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,200.0,120.0,-5.6,Taurean Waller-Prince,,ATL,False,False
bembrde01,,,,,,,,,,,,,,,,,DeAndre' Bembry,Not With Team,ATL,False,False
howardw01,,,,,,,,,,,,,,,,,Dwight Howard,Did Not Play,ATL,False,False
kuzmimi01,37.55,0.67,0.65,0.5,0.1,3.0,11.1,7.2,7.4,2.6,0.0,8.7,12.9,136.0,111.0,1.6,Mindaugas Kuzminskas,,NYK,True,True
anthoca01,34.55,0.72,0.688,0.25,0.688,6.5,15.1,10.9,9.9,1.4,0.0,19.3,31.7,122.0,113.0,3.8,Carmelo Anthony,,NYK,True,True
noahjo01,33.4,0.673,0.667,0.0,1.667,23.4,31.2,27.5,11.0,1.5,5.2,16.1,7.9,150.0,105.0,4.3,Joakim Noah,,NYK,True,True
rosede01,31.983333333333334,0.507,0.5,0.0,0.25,3.5,9.8,6.7,45.0,1.6,2.7,25.3,31.5,97.0,112.0,-2.2,Derrick Rose,,NYK,True,True
bakerro01,21.816666666666666,0.667,0.667,0.778,0.0,5.1,9.6,7.4,6.6,4.5,0.0,10.0,19.4,132.0,107.0,6.5,Ron Baker,,NYK,True,True
holidju01,23.166666666666668,0.506,0.5,0.3,0.2,4.8,13.5,9.3,0.0,0.0,0.0,0.0,19.9,115.0,117.0,-4.1,Justin Holiday,,NYK,True,False
leeco01,20.866666666666667,0.5,0.5,0.571,0.0,0.0,10.0,5.2,6.6,0.0,0.0,12.5,16.3,100.0,118.0,-5.8,Courtney Lee,,NYK,True,False
jennibr01,20.333333333333332,0.25,0.25,0.75,0.0,0.0,15.4,8.0,6.0,2.4,0.0,33.3,12.5,46.0,111.0,-12.2,Brandon Jennings,,NYK,True,False
oquinky01,16.333333333333332,0.3,0.3,0.0,0.0,13.7,38.3,26.4,17.7,0.0,0.0,9.1,28.6,82.0,112.0,-9.2,Kyle O'Quinn,,NYK,True,False
hernawi01,,,,,,,,,,,,,,,,,Willy Hernangómez,Did Not Play,NYK,True,False
ndourma01,,,,,,,,,,,,,,,,,Maurice Ndour,Did Not Play,NYK,True,False
plumlma02,,,,,,,,,,,,,,,,,Marshall Plumlee,Did Not Play,NYK,True,False
vujacsa01,,,,,,,,,,,,,,,,,Sasha Vujačić,Did Not Play,NYK,True,False
