player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter,note
thompkl01,38.016666666666666,0.754,0.739,0.652,0.087,0.0,2.7,1.6,16.8,0.0,0.0,4.0,29.7,133.0,123.0,6.0,Klay Thompson,GSW,False,True,
greendr01,37.733333333333334,0.333,0.333,0.5,0.0,0.0,29.8,17.3,34.9,13.0,10.4,25.0,9.6,106.0,76.0,19.3,Draymond Green,GSW,False,True,
curryst01,34.85,0.592,0.538,0.462,0.385,0.0,11.7,6.8,22.4,0.0,0.0,16.5,23.7,107.0,118.0,-6.9,Stephen Curry,GSW,False,True,
duranke01,32.333333333333336,0.595,0.464,0.429,1.0,0.0,15.8,9.2,18.8,1.5,4.9,13.0,32.5,112.0,111.0,2.0,Kevin Durant,GSW,False,True,
mcgeeja01,18.216666666666665,0.4,0.4,0.0,0.0,23.2,5.6,13.0,7.8,2.7,0.0,16.7,15.0,103.0,115.0,-10.9,JaVale McGee,GSW,False,True,
iguodan01,28.416666666666668,0.929,1.0,0.429,1.571,0.0,7.2,4.2,23.4,1.7,5.5,0.0,18.9,190.0,114.0,17.8,Andre Iguodala,GSW,False,False,
looneke01,11.866666666666667,0.0,0.0,0.0,0.0,0.0,17.2,10.0,0.0,0.0,6.6,0.0,3.8,0.0,112.0,-9.3,Kevon Looney,GSW,False,False,
livinsh01,11.75,0.258,0.0,0.0,0.667,0.0,8.7,5.0,20.9,0.0,0.0,20.5,18.9,68.0,119.0,-19.6,Shaun Livingston,GSW,False,False,
mcadoja01,11.05,0.901,1.0,0.0,0.25,12.8,9.2,10.7,0.0,0.0,21.4,0.0,18.2,176.0,110.0,13.9,James Michael McAdoo,GSW,False,False,
mccawpa01,8.233333333333333,,,,,0.0,0.0,0.0,29.9,0.0,0.0,,0.0,238.0,124.0,-0.2,Patrick McCaw,GSW,False,False,
clarkia01,3.716666666666667,,,,,0.0,27.5,15.9,0.0,0.0,0.0,,0.0,0.0,110.0,-6.1,Ian Clark,GSW,False,False,
weberbr01,2.0833333333333335,0.862,1.0,0.0,3.0,0.0,0.0,0.0,0.0,23.5,0.0,30.1,72.4,109.0,72.0,26.9,Briante Weber,GSW,False,False,
jonesda03,1.7333333333333334,,,,,81.4,0.0,34.2,0.0,0.0,0.0,,0.0,229.0,124.0,-0.8,Damian Jones,GSW,False,False,
gasolma01,36.016666666666666,0.462,0.321,0.357,0.714,2.8,19.6,9.9,32.5,1.4,3.0,17.9,24.6,101.0,123.0,1.3,Marc Gasol,MEM,True,True,
conlemi01,33.4,0.563,0.5,0.375,0.25,6.1,12.7,8.9,51.0,4.4,0.0,10.1,23.4,132.0,119.0,15.6,Mike Conley,MEM,True,True,
ennisja01,30.35,0.833,0.833,0.5,0.0,0.0,4.7,2.0,0.0,1.6,0.0,0.0,7.8,172.0,126.0,2.0,James Ennis,MEM,True,True,
allento01,28.116666666666667,0.497,0.417,0.0,0.583,14.5,25.1,19.0,6.7,1.7,3.9,6.2,22.6,117.0,121.0,3.4,Tony Allen,MEM,True,True,
greenja01,21.716666666666665,0.563,0.5,0.25,0.25,9.4,32.5,19.1,0.0,0.0,0.0,47.4,15.4,66.0,126.0,-13.6,JaMychal Green,MEM,True,True,
randoza01,24.7,0.656,0.556,0.111,1.0,24.8,40.0,31.2,8.0,0.0,0.0,13.4,24.0,133.0,126.0,7.2,Zach Randolph,MEM,True,False,
cartevi01,18.533333333333335,0.0,0.0,0.333,0.0,5.5,7.6,6.4,0.0,0.0,0.0,25.0,8.5,16.0,130.0,-15.4,Vince Carter,MEM,True,False,
douglto01,18.016666666666666,0.564,0.438,0.5,0.5,0.0,7.8,3.3,10.2,0.0,0.0,17.0,25.8,108.0,129.0,-5.4,Toney Douglas,MEM,True,False,
danietr01,14.95,0.381,0.357,0.571,0.286,13.7,9.4,11.9,0.0,0.0,0.0,0.0,20.9,103.0,130.0,-2.9,Troy Daniels,MEM,True,False,
wrighbr03,11.966666666666667,0.429,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,12.5,26.5,80.0,117.0,-2.2,Brandan Wright,MEM,True,False,
harrian01,2.2333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.2,0.0,0.0,50.0,35.4,26.0,129.0,-36.6,Andrew Harrison,MEM,True,False,
parsoch01,,,,,,,,,,,,,,,,,Chandler Parsons,MEM,True,False,Did Not Dress
