player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,note,team_id,is_home,is_starter
jamesle01,44.733333333333334,0.57,0.54,0.12,0.36,0.0,25.5,11.9,18.6,4.4,3.7,12.1,30.8,112.0,97.0,10.0,LeBron James,,CLE,False,True
irvinky01,36.68333333333333,0.499,0.42,0.28,0.28,5.5,0.0,2.9,0.0,1.3,6.8,3.4,33.1,113.0,107.0,5.4,Kyrie Irving,,CLE,False,True
loveke01,34.95,0.192,0.192,0.385,0.0,14.3,36.0,24.4,12.0,0.0,2.4,23.5,20.3,59.0,105.0,-10.7,Kevin Love,,CLE,False,True
thomptr01,34.11666666666667,0.436,0.333,0.0,0.333,20.5,13.4,17.2,4.1,1.4,0.0,12.7,9.7,120.0,109.0,-3.5,Tristan Thompson,,CLE,False,True
smithjr01,28.816666666666666,0.625,0.625,0.75,0.0,0.0,7.9,3.7,0.0,3.4,2.9,33.3,8.7,83.0,103.0,-1.9,J.R. Smith,,CLE,False,True
korveky01,18.15,0.425,0.3,1.0,0.4,0.0,18.9,8.8,0.0,0.0,0.0,14.5,15.8,85.0,111.0,-7.8,Kyle Korver,,CLE,False,False
shumpim01,16.65,0.375,0.375,0.75,0.0,0.0,6.9,3.2,0.0,3.0,0.0,0.0,10.0,91.0,107.0,-3.8,Iman Shumpert,,CLE,False,False
willide01,13.166666666666666,1.129,1.25,0.5,1.25,7.6,8.7,8.1,16.3,0.0,0.0,0.0,19.7,230.0,111.0,22.8,Deron Williams,,CLE,False,False
fryech01,12.733333333333333,0.717,0.625,0.75,0.5,0.0,9.0,4.2,25.6,0.0,6.5,0.0,16.0,169.0,108.0,15.0,Channing Frye,,CLE,False,False
jefferi01,,,,,,,,,,,,,,,,,Richard Jefferson,Did Not Play,CLE,False,False
jonesda02,,,,,,,,,,,,,,,,,Dahntay Jones,Did Not Play,CLE,False,False
willide02,,,,,,,,,,,,,,,,,Derrick Williams,Did Not Play,CLE,False,False
jonesja02,,,,,,,,,,,,,,,,,James Jones,Did Not Play,CLE,False,False
georgpa01,43.916666666666664,0.336,0.31,0.429,0.143,5.2,11.4,8.5,18.5,4.5,1.9,15.2,26.3,76.0,105.0,-1.8,Paul George,,IND,True,True
teaguje01,38.95,0.563,0.542,0.25,0.25,0.0,10.3,5.5,36.7,2.5,6.3,18.4,18.4,114.0,107.0,7.5,Jeff Teague,,IND,True,True
youngth01,33.93333333333333,0.437,0.429,0.071,0.143,13.5,17.7,15.7,8.7,2.9,0.0,6.3,20.5,101.0,106.0,0.7,Thaddeus Young,,IND,True,True
turnemy01,33.21666666666667,0.791,0.8,0.2,0.6,0.0,27.1,14.5,0.0,0.0,0.0,19.2,20.6,121.0,109.0,0.6,Myles Turner,,IND,True,True
milescj01,25.05,0.6,0.6,1.0,0.0,4.6,8.0,6.4,0.0,0.0,3.2,0.0,8.8,128.0,115.0,-0.5,C.J. Miles,,IND,True,True
stephla01,30.183333333333334,0.712,0.733,0.6,0.067,0.0,19.9,10.6,17.9,0.0,0.0,11.5,25.3,125.0,112.0,5.7,Lance Stephenson,,IND,True,False
serapke01,14.783333333333333,0.333,0.333,0.0,0.0,15.5,0.0,7.2,0.0,0.0,5.5,0.0,17.8,88.0,118.0,-8.9,Kevin Séraphin,,IND,True,False
robingl02,13.133333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,200.0,121.0,2.1,Glenn Robinson,,IND,True,False
ellismo01,5.5,0.174,0.0,0.5,1.0,0.0,18.2,9.7,0.0,0.0,0.0,25.8,30.9,28.0,113.0,-26.5,Monta Ellis,,IND,True,False
allenla01,1.3333333333333333,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,121.0,-5.3,Lavoy Allen,,IND,True,False
brookaa01,,,,,,,,,,,,,,,,,Aaron Brooks,Did Not Play,IND,True,False
chrisra01,,,,,,,,,,,,,,,,,Rakeem Christmas,Did Not Play,IND,True,False
jeffeal01,,,,,,,,,,,,,,,,,Al Jefferson,Did Not Play,IND,True,False
