player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter
antetgi01,39.71666666666667,0.467,0.375,0.1,0.65,12.1,39.2,23.6,12.4,3.9,0.0,10.4,34.8,95.0,112.0,2.6,Giannis Antetokounmpo,MIL,False,True
snellto01,32.88333333333333,0.667,0.667,0.833,0.0,0.0,11.8,5.0,0.0,0.0,3.6,14.3,10.3,106.0,124.0,-4.4,Tony Snell,MIL,False,True
middlkh01,32.55,0.893,0.875,0.417,0.167,0.0,0.0,0.0,20.0,1.6,0.0,13.4,22.0,147.0,125.0,8.3,Khris Middleton,MIL,False,True
bledser01,21.633333333333333,0.276,0.2,0.3,0.2,0.0,24.0,10.2,37.7,2.4,0.0,15.5,28.7,62.0,118.0,-12.0,Eric Bledsoe,MIL,False,True
hensojo01,20.233333333333334,0.391,0.5,0.0,5.0,0.0,12.8,5.5,0.0,0.0,5.8,13.5,17.6,68.0,122.0,-10.8,John Henson,MIL,False,True
brogdma01,32.416666666666664,0.222,0.222,0.333,0.0,0.0,4.0,1.7,5.9,1.6,0.0,10.0,14.9,46.0,124.0,-13.7,Malcolm Brogdon,MIL,False,False
makerth01,24.6,0.167,0.167,0.333,0.0,7.8,26.4,15.7,7.5,0.0,4.8,14.3,13.7,51.0,121.0,-9.8,Thon Maker,MIL,False,False
liggide01,18.966666666666665,0.255,0.2,0.6,0.4,0.0,6.8,2.9,19.9,5.5,0.0,0.0,14.9,68.0,114.0,-3.4,DeAndre Liggins,MIL,False,False
paytoga02,4.8,0.0,0.0,1.0,0.0,0.0,54.1,23.0,0.0,0.0,0.0,0.0,10.0,0.0,119.0,-13.5,Gary Payton,MIL,False,False
bolomjo01,3.1666666666666665,0.532,1.0,0.0,2.0,30.3,0.0,17.4,0.0,0.0,0.0,34.7,43.8,61.0,129.0,-18.6,Joel Bolomboy,MIL,False,False
wilsodj01,3.1666666666666665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,129.0,-20.1,D.J. Wilson,MIL,False,False
vaughra01,3.1666666666666665,,,,,0.0,0.0,0.0,54.1,0.0,37.0,,0.0,221.0,104.0,20.2,Rashad Vaughn,MIL,False,False
terryja01,2.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,0.0,17.8,200.0,100.0,34.0,Jason Terry,MIL,False,False
matthwe02,33.5,0.786,0.786,0.571,0.0,0.0,5.7,3.3,43.2,3.1,0.0,0.0,19.4,167.0,87.0,21.3,Wesley Matthews,DAL,True,True
barneha02,32.9,0.66,0.545,0.364,0.545,0.0,20.4,11.7,4.8,1.6,0.0,22.7,24.9,102.0,85.0,-1.1,Harrison Barnes,DAL,True,True
nowitdi01,24.8,0.438,0.438,0.375,0.0,5.2,23.2,15.6,24.0,2.1,0.0,11.1,16.9,106.0,83.0,2.5,Dirk Nowitzki,DAL,True,True
smithde03,21.85,0.313,0.313,0.5,0.0,0.0,17.6,10.1,13.1,2.4,4.5,33.3,25.5,52.0,80.0,-12.5,Dennis Smith,DAL,True,True
klebima01,9.85,0.727,0.667,0.0,0.333,0.0,0.0,0.0,17.2,0.0,0.0,22.5,20.9,116.0,92.0,-3.5,Maxi Kleber,DAL,True,True
ferreyo01,32.56666666666667,0.901,0.938,0.625,0.25,0.0,11.8,6.8,5.1,0.0,0.0,10.1,14.1,146.0,91.0,5.9,Yogi Ferrell,DAL,True,False
poweldw01,24.85,0.546,0.5,0.333,0.5,20.9,34.8,28.9,0.0,0.0,0.0,12.0,15.5,119.0,85.0,-2.0,Dwight Powell,DAL,True,False
bareajo01,23.45,0.765,0.7,0.7,0.7,5.5,8.2,7.1,51.6,0.0,0.0,18.7,31.8,140.0,92.0,13.6,J.J. Barea,DAL,True,False
harride01,19.85,0.429,0.429,0.571,0.0,0.0,14.5,8.3,7.3,2.6,0.0,0.0,16.4,93.0,83.0,-3.5,Devin Harris,DAL,True,False
mejrisa01,6.883333333333333,1.0,1.0,0.0,0.0,0.0,41.8,24.0,0.0,0.0,14.2,0.0,6.7,200.0,70.0,6.4,Salah Mejri,DAL,True,False
clevean01,3.1666666666666665,,,,,0.0,0.0,0.0,39.9,16.4,0.0,,0.0,250.0,60.0,31.0,Antonius Cleveland,DAL,True,False
witheje01,3.1666666666666665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,92.0,-24.4,Jeff Withey,DAL,True,False
noelne01,3.1666666666666665,0.5,0.5,0.0,0.0,41.0,60.6,52.3,66.4,0.0,0.0,33.3,44.0,98.0,78.0,3.9,Nerlens Noel,DAL,True,False
