player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter
griffbl01,33.483333333333334,0.488,0.389,0.389,0.444,3.1,10.8,6.6,33.5,3.0,0.0,15.7,33.2,94.0,112.0,0.5,Blake Griffin,LAC,False,True
jordade01,33.13333333333333,0.714,0.714,0.0,0.0,18.5,10.9,15.0,0.0,1.5,0.0,12.5,10.5,135.0,115.0,-2.2,DeAndre Jordan,LAC,False,True
riverau01,31.983333333333334,0.111,0.111,0.333,0.0,0.0,3.8,1.7,26.3,1.5,0.0,0.0,12.3,54.0,118.0,-10.1,Austin Rivers,LAC,False,True
johnswe01,24.233333333333334,0.697,0.688,0.625,0.375,0.0,19.8,9.1,17.9,4.1,4.2,30.0,23.9,92.0,103.0,6.1,Wesley Johnson,LAC,False,True
beverpa01,22.233333333333334,0.563,0.563,0.875,0.0,0.0,32.4,14.9,18.4,0.0,4.6,20.0,19.6,91.0,108.0,1.3,Patrick Beverley,LAC,False,True
willilo02,26.1,0.45,0.375,0.625,0.25,3.9,4.6,4.2,14.0,1.9,3.9,36.0,23.2,65.0,115.0,-9.2,Lou Williams,LAC,False,False
evansja01,18.933333333333334,0.25,0.25,0.125,0.0,0.0,6.3,2.9,10.2,5.2,0.0,27.3,25.3,41.0,108.0,-13.8,Jawun Evans,LAC,False,False
thornsi01,15.75,0.0,0.0,0.0,0.0,6.5,0.0,3.5,0.0,0.0,0.0,0.0,2.8,51.0,123.0,-12.2,Sindarius Thornwell,LAC,False,False
dekkesa01,12.866666666666667,0.429,0.429,0.429,0.0,0.0,9.3,4.3,0.0,3.9,0.0,12.5,27.1,71.0,110.0,-5.7,Sam Dekker,LAC,False,False
reedwi02,11.1,0.767,1.0,0.0,2.667,9.2,32.4,19.9,25.4,0.0,0.0,13.3,29.5,130.0,110.0,10.5,Willie Reed,LAC,False,False
willicj01,4.766666666666667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,33.6,10.4,0.0,0.0,18.3,28.0,98.0,-2.2,C.J. Williams,LAC,False,False
harremo01,3.7666666666666666,1.0,1.0,0.0,0.0,0.0,63.7,29.3,73.8,13.2,0.0,0.0,11.6,207.0,65.0,30.5,Montrezl Harrell,LAC,False,False
wilsoja02,1.65,,,,,0.0,72.7,33.4,0.0,0.0,0.0,,0.0,0.0,93.0,-4.1,Jamil Wilson,LAC,False,False
kanteen01,32.9,0.904,0.75,0.0,1.5,21.9,31.0,26.8,4.8,3.0,3.0,23.1,11.1,158.0,80.0,7.3,Enes Kanter,NYK,True,True
porzikr01,29.45,0.522,0.4,0.35,0.45,8.1,17.3,13.1,13.8,3.4,6.8,17.3,41.4,101.0,82.0,0.9,Kristaps Porziņģis,NYK,True,True
leeco01,26.733333333333334,0.791,0.7,0.4,0.6,4.5,15.3,10.3,18.2,3.7,3.7,13.7,11.5,155.0,84.0,11.4,Courtney Lee,NYK,True,True
hardati02,26.45,0.5,0.5,0.462,0.0,13.6,7.7,10.4,37.6,3.7,3.8,13.3,23.9,113.0,86.0,8.3,Tim Hardaway,NYK,True,True
jackja01,24.916666666666668,0.739,0.714,0.571,0.143,0.0,8.2,4.4,49.4,2.0,0.0,11.8,14.3,157.0,92.0,11.2,Jarrett Jack,NYK,True,True
mcderdo01,30.066666666666666,0.673,0.682,0.636,0.182,0.0,17.0,9.2,0.0,1.6,0.0,20.2,20.8,101.0,90.0,2.4,Doug McDermott,NYK,True,False
thomala01,14.583333333333334,0.167,0.167,0.5,0.0,0.0,7.0,3.8,0.0,0.0,0.0,0.0,17.3,44.0,96.0,-19.8,Lance Thomas,NYK,True,False
oquinky01,12.783333333333333,0.5,0.5,0.0,0.0,18.8,32.0,25.9,0.0,0.0,0.0,20.0,16.5,96.0,88.0,-8.4,Kyle O'Quinn,NYK,True,False
sessira01,12.0,0.42,0.0,0.333,1.333,0.0,8.5,4.6,45.7,4.1,0.0,17.4,20.2,113.0,87.0,3.4,Ramon Sessions,NYK,True,False
dotsoda01,11.1,0.75,0.75,1.0,0.0,0.0,18.4,9.9,14.1,0.0,0.0,0.0,7.6,170.0,93.0,6.4,Damyean Dotson,NYK,True,False
ntilila01,11.083333333333334,0.0,0.0,0.5,0.0,0.0,0.0,0.0,12.4,0.0,0.0,66.7,22.8,11.0,99.0,-30.0,Frank Ntilikina,NYK,True,False
hernawi01,3.966666666666667,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,300.0,99.0,17.1,Willy Hernangómez,NYK,True,False
beaslmi01,3.966666666666667,0.667,0.667,0.0,0.0,0.0,25.7,13.9,0.0,0.0,0.0,40.0,53.1,65.0,90.0,-18.8,Michael Beasley,NYK,True,False
