player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter,note
bealbr01,28.816666666666666,0.133,0.133,0.2,0.0,0.0,8.1,3.5,27.2,1.7,0.0,6.3,25.0,39.0,125.0,-14.7,Bradley Beal,WAS,False,True,
morrima02,26.75,0.483,0.375,0.0,0.375,6.6,8.8,7.6,0.0,1.9,0.0,0.0,15.7,106.0,124.0,-5.1,Markieff Morris,WAS,False,True,
porteot01,21.266666666666666,0.51,0.4,0.4,0.4,4.2,16.5,9.5,7.7,2.3,0.0,14.5,14.6,96.0,121.0,-4.7,Otto Porter,WAS,False,True,
gortama01,18.633333333333333,0.595,0.6,0.0,0.4,0.0,31.4,13.6,0.0,0.0,0.0,25.4,19.0,79.0,122.0,-8.5,Marcin Gortat,WAS,False,True,
walljo01,16.366666666666667,0.437,0.409,0.182,0.091,5.4,7.2,6.2,52.7,0.0,0.0,0.0,31.5,100.0,129.0,5.5,John Wall,WAS,False,True,
oubreke01,28.75,0.468,0.423,0.231,0.154,0.0,8.1,3.5,0.0,1.7,3.6,12.6,24.9,78.0,123.0,-7.3,Kelly Oubre,WAS,False,False,
meeksjo01,22.35,0.41,0.333,0.333,0.5,0.0,10.5,4.5,21.7,2.2,0.0,0.0,14.7,95.0,123.0,-1.8,Jodie Meeks,WAS,False,False,
satorto01,20.766666666666666,0.317,0.357,0.429,0.286,0.0,11.3,4.9,7.9,0.0,0.0,0.0,17.1,65.0,128.0,-12.8,Tomáš Satoranský,WAS,False,False,
scottmi01,20.266666666666666,0.5,0.5,0.5,0.0,4.4,11.6,7.5,17.6,2.5,0.0,0.0,17.8,105.0,122.0,2.2,Mike Scott,WAS,False,False,
smithja02,13.25,0.429,0.429,0.0,0.0,6.7,44.2,22.9,15.7,0.0,0.0,0.0,23.8,92.0,118.0,-1.3,Jason Smith,WAS,False,False,
fraziti01,8.466666666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.0,100.0,5.9,0.0,33.3,16.0,103.0,117.0,3.6,Tim Frazier,WAS,False,False,
mahinia01,8.0,0.5,0.5,0.0,0.0,11.1,14.6,12.6,0.0,0.0,0.0,0.0,11.3,112.0,127.0,-5.9,Ian Mahinmi,WAS,False,False,
mcculch01,6.316666666666666,0.75,0.75,0.25,0.0,0.0,18.5,8.0,0.0,0.0,0.0,0.0,28.5,136.0,126.0,11.8,Chris McCullough,WAS,False,False,
crabbal01,32.516666666666666,0.438,0.438,0.625,0.0,3.6,19.1,12.4,7.5,0.0,0.0,0.0,10.6,115.0,90.0,-2.8,Allen Crabbe,BRK,True,True,
holliro01,23.766666666666666,0.554,0.467,0.067,0.6,4.9,37.4,23.4,40.6,0.0,2.8,9.5,38.1,123.0,82.0,8.1,Rondae Hollis-Jefferson,BRK,True,True,
carrode01,22.566666666666666,0.609,0.545,0.636,0.273,5.2,19.7,13.4,25.5,2.2,0.0,0.0,23.6,147.0,85.0,12.5,DeMarre Carroll,BRK,True,True,
dinwisp01,22.4,1.008,1.0,0.714,0.143,0.0,7.9,4.5,25.8,2.2,2.9,28.7,20.1,136.0,84.0,14.9,Spencer Dinwiddie,BRK,True,True,
zellety01,17.533333333333335,0.68,0.6,0.0,0.4,33.4,20.3,25.9,0.0,0.0,0.0,14.5,16.9,143.0,89.0,0.5,Tyler Zeller,BRK,True,True,
harrijo01,31.766666666666666,0.389,0.389,0.778,0.0,3.7,8.4,6.4,26.8,0.0,0.0,0.0,12.2,126.0,92.0,0.5,Joe Harris,BRK,True,False,
leverca01,23.883333333333333,0.9,0.889,0.222,0.111,9.8,14.9,12.7,20.1,0.0,0.0,17.5,20.7,149.0,91.0,10.3,Caris LeVert,BRK,True,False,
acyqu01,23.583333333333332,0.0,0.0,1.0,0.0,0.0,26.4,15.0,0.0,0.0,2.8,14.3,12.8,0.0,85.0,-14.4,Quincy Acy,BRK,True,False,
allenja01,18.283333333333335,0.727,0.667,0.0,0.333,12.8,19.4,16.6,0.0,2.7,3.6,12.7,18.6,136.0,80.0,4.5,Jarrett Allen,BRK,True,False,
stausni01,15.233333333333333,0.663,0.7,0.8,0.3,0.0,5.8,3.3,22.3,3.3,0.0,20.9,40.6,102.0,86.0,7.7,Nik Stauskas,BRK,True,False,
mozgoti01,8.466666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,33.3,15.3,122.0,94.0,3.0,Timofey Mozgov,BRK,True,False,
okafoja01,,,,,,,,,,,,,,,,,Jahlil Okafor,BRK,True,False,Did Not Play
