player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter,note
hardati02,34.75,0.54,0.5,0.385,0.154,0.0,19.0,10.6,16.9,2.8,2.3,0.0,17.3,124.0,84.0,5.3,Tim Hardaway,NYK,False,True,
kanteen01,29.216666666666665,0.82,0.8,0.0,0.5,8.2,25.8,18.1,5.9,1.7,2.7,7.6,19.6,155.0,83.0,10.1,Enes Kanter,NYK,False,True,
porzikr01,27.566666666666666,0.696,0.682,0.364,0.545,4.4,20.5,13.4,11.4,0.0,8.6,6.8,23.0,135.0,85.0,12.2,Kristaps Porziņģis,NYK,False,True,
leeco01,26.516666666666666,0.463,0.455,0.545,0.182,0.0,14.2,8.0,26.8,1.8,3.0,20.2,24.3,89.0,88.0,-0.8,Courtney Lee,NYK,False,True,
jackja01,21.333333333333332,0.361,0.286,0.429,0.429,0.0,8.8,4.9,30.8,0.0,0.0,10.7,18.9,94.0,96.0,-7.9,Jarrett Jack,NYK,False,True,
beaslmi01,18.116666666666667,0.5,0.5,0.143,0.0,19.9,15.6,17.5,8.0,5.4,0.0,22.2,21.5,95.0,81.0,1.4,Michael Beasley,NYK,False,False,
burketr01,17.516666666666666,0.643,0.643,0.286,0.0,0.0,5.4,3.0,43.1,0.0,0.0,12.5,39.6,112.0,98.0,7.6,Trey Burke,NYK,False,False,
oquinky01,17.083333333333332,0.41,0.25,0.0,0.5,21.1,11.0,15.4,7.4,2.9,13.8,29.1,17.5,89.0,79.0,-1.3,Kyle O'Quinn,NYK,False,False,
thomala01,16.333333333333332,1.0,1.0,0.0,0.0,7.3,5.8,6.5,7.7,0.0,4.8,50.0,5.3,115.0,94.0,1.3,Lance Thomas,NYK,False,False,
mcderdo01,14.383333333333333,0.25,0.25,0.25,0.0,0.0,13.1,7.3,8.9,0.0,0.0,20.0,15.1,53.0,95.0,-10.5,Doug McDermott,NYK,False,False,
ntilila01,9.15,0.521,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,23.1,58.0,100.0,-15.6,Frank Ntilikina,NYK,False,False,
hernawi01,4.016666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,100.0,-16.5,Willy Hernangómez,NYK,False,False,
bakerro01,4.016666666666667,,,,,0.0,70.3,39.4,29.1,0.0,0.0,,0.0,222.0,69.0,0.9,Ron Baker,NYK,False,False,
warretj01,33.81666666666667,0.573,0.588,0.176,0.059,5.6,7.1,6.2,0.0,0.0,2.4,10.3,24.3,104.0,113.0,2.5,T.J. Warren,PHO,True,True,
monrogr01,25.966666666666665,0.509,0.5,0.0,0.333,7.2,37.0,20.3,6.7,0.0,0.0,30.4,16.1,80.0,108.0,-6.7,Greg Monroe,PHO,True,True,
bookede01,25.166666666666668,0.466,0.417,0.25,0.167,3.7,14.3,8.4,22.6,1.9,0.0,18.9,26.6,88.0,109.0,-0.6,Devin Booker,PHO,True,True,
danietr01,23.166666666666668,0.55,0.55,0.8,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,18.2,117.0,116.0,0.7,Troy Daniels,PHO,True,True,
chrisma01,19.95,0.116,0.125,0.5,0.167,9.4,12.0,10.6,7.9,2.5,4.0,0.0,27.3,39.0,105.0,-13.5,Marquese Chriss,PHO,True,True,
jacksjo02,29.433333333333334,0.48,0.441,0.118,0.235,6.4,24.5,14.3,0.0,3.3,0.0,0.0,26.9,106.0,104.0,5.9,Josh Jackson,PHO,True,False,
dudleja01,21.733333333333334,0.717,0.625,0.5,0.5,0.0,5.5,2.4,30.9,4.5,0.0,17.0,11.4,138.0,105.0,7.0,Jared Dudley,PHO,True,False,
canaais01,19.733333333333334,0.167,0.167,0.333,0.0,4.8,12.2,8.0,31.8,0.0,0.0,25.0,17.1,54.0,113.0,-15.2,Isaiah Canaan,PHO,True,False,
bendedr01,17.866666666666667,0.0,0.0,1.0,0.0,0.0,26.9,11.8,0.0,0.0,4.5,66.7,7.1,0.0,107.0,-14.7,Dragan Bender,PHO,True,False,
ulisty01,13.233333333333333,0.333,0.333,0.333,0.0,0.0,9.1,4.0,0.0,0.0,0.0,25.0,12.8,51.0,115.0,-13.6,Tyler Ulis,PHO,True,False,
houseda01,5.25,0.5,0.5,0.667,0.0,17.9,22.9,20.1,0.0,0.0,0.0,0.0,24.1,114.0,111.0,4.4,Danuel House,PHO,True,False,
peteral01,4.683333333333334,0.0,0.0,1.0,0.0,20.1,0.0,11.3,31.1,0.0,0.0,0.0,27.0,35.0,116.0,-18.0,Alec Peters,PHO,True,False,
chandty01,,,,,,,,,,,,,,,,,Tyson Chandler,PHO,True,False,Did Not Play
