player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,note,team_id,is_home,is_starter
bookede01,35.333333333333336,0.609,0.545,0.409,0.273,0.0,19.4,8.9,7.8,1.3,0.0,10.9,33.3,107.0,113.0,5.7,Devin Booker,,PHO,False,True
bendedr01,31.733333333333334,0.375,0.375,0.75,0.0,0.0,10.8,4.9,5.1,0.0,0.0,0.0,5.4,84.0,117.0,-8.0,Dragan Bender,,PHO,False,True
paytoel01,29.816666666666666,0.223,0.231,0.154,0.077,0.0,19.2,8.7,36.9,3.1,0.0,18.2,23.4,52.0,109.0,-10.5,Elfrid Payton,,PHO,False,True
chandty01,19.683333333333334,1.025,1.0,0.0,0.5,14.6,11.6,13.3,0.0,0.0,5.2,29.1,14.9,144.0,113.0,1.5,Tyson Chandler,,PHO,False,True
jacksjo02,12.983333333333333,0.307,0.125,0.25,0.5,7.4,8.8,8.0,27.1,3.6,0.0,17.0,38.5,65.0,110.0,-8.1,Josh Jackson,,PHO,False,True
danietr01,29.7,0.2,0.2,0.8,0.0,3.2,19.2,10.5,5.8,3.1,3.4,11.8,24.3,42.0,107.0,-10.7,Troy Daniels,,PHO,False,False
chrisma01,23.75,0.363,0.333,0.333,0.333,0.0,19.2,8.8,0.0,2.0,0.0,0.0,12.3,75.0,112.0,-7.1,Marquese Chriss,,PHO,False,False
harrish01,19.783333333333335,0.615,0.5,0.167,0.5,4.9,17.3,10.5,30.7,2.4,5.2,12.0,17.9,122.0,107.0,6.0,Shaquille Harrison,,PHO,False,False
reedda01,16.366666666666667,0.143,0.143,0.286,0.0,0.0,20.9,9.6,10.4,0.0,0.0,0.0,18.2,37.0,116.0,-14.1,Davon Reed,,PHO,False,False
lenal01,11.016666666666667,0.5,0.5,0.0,0.0,8.7,20.7,14.2,0.0,4.2,9.3,0.0,7.7,116.0,99.0,-1.6,Alex Len,,PHO,False,False
peteral01,9.833333333333334,0.8,0.8,0.8,0.0,0.0,23.2,10.6,0.0,0.0,0.0,0.0,21.6,141.0,116.0,12.3,Alec Peters,,PHO,False,False
ulisty01,,,,,,,,,,,,,,,,,Tyler Ulis,Did Not Play,PHO,False,False
dudleja01,,,,,,,,,,,,,,,,,Jared Dudley,Did Not Play,PHO,False,False
adamsst01,29.95,0.784,0.875,0.0,0.625,22.9,19.2,20.9,10.4,3.1,8.7,22.7,19.3,136.0,77.0,9.8,Steven Adams,,OKC,True,True
westbru01,29.483333333333334,0.79,0.786,0.0,0.5,0.0,26.0,14.2,60.8,0.0,0.0,10.5,28.3,154.0,89.0,14.8,Russell Westbrook,,OKC,True,True
georgpa01,28.633333333333333,0.591,0.563,0.438,0.25,0.0,13.4,7.3,16.6,0.0,6.1,10.1,30.1,110.0,87.0,3.0,Paul George,,OKC,True,True
breweco01,27.85,0.69,0.636,0.364,0.273,0.0,13.8,7.5,5.4,1.7,0.0,14.0,22.5,117.0,88.0,1.8,Corey Brewer,,OKC,True,True
anthoca01,25.566666666666666,0.463,0.5,0.636,0.182,0.0,15.0,8.2,5.4,1.8,0.0,14.4,23.7,79.0,88.0,-5.0,Carmelo Anthony,,OKC,True,True
pattepa01,20.8,0.0,0.0,1.0,0.0,0.0,23.1,12.5,5.5,0.0,4.2,50.0,8.4,17.0,86.0,-7.4,Patrick Patterson,,OKC,True,False
huestjo01,19.55,0.3,0.3,0.8,0.0,0.0,19.6,10.7,12.4,0.0,0.0,0.0,11.2,83.0,91.0,-1.3,Josh Huestis,,OKC,True,False
feltora01,16.466666666666665,0.3,0.3,0.8,0.0,0.0,0.0,0.0,7.5,0.0,10.6,37.5,21.2,44.0,88.0,-9.8,Raymond Felton,,OKC,True,False
grantje01,15.5,0.539,0.0,1.0,3.0,0.0,37.2,20.2,0.0,0.0,11.3,17.7,15.9,96.0,77.0,-3.8,Jerami Grant,,OKC,True,False
fergute01,10.65,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,8.2,98.0,86.0,0.9,Terrance Ferguson,,OKC,True,False
abrinal01,9.316666666666666,1.5,1.5,1.0,0.0,0.0,10.3,5.6,16.3,5.0,0.0,33.3,14.1,170.0,82.0,20.3,Álex Abrines,,OKC,True,False
collini01,4.183333333333334,1.0,1.0,0.0,0.0,0.0,22.9,12.5,0.0,0.0,0.0,0.0,20.9,200.0,90.0,15.2,Nick Collison,,OKC,True,False
johnsda04,2.05,,,,,0.0,0.0,0.0,0.0,0.0,42.6,,0.0,0.0,62.0,5.3,Dakari Johnson,,OKC,True,False
