player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter,note
derozde01,28.333333333333332,0.267,0.25,0.188,0.125,7.9,7.4,7.6,21.1,0.0,0.0,5.6,26.3,85.0,112.0,-14.8,DeMar DeRozan,TOR,False,True,
lowryky01,27.983333333333334,0.694,0.5,0.875,1.0,0.0,14.9,7.7,28.7,3.5,0.0,8.0,18.7,158.0,103.0,10.2,Kyle Lowry,TOR,False,True,
ibakase01,24.616666666666667,0.47,0.429,0.357,0.143,18.1,12.7,15.3,5.2,0.0,2.9,11.8,28.6,105.0,108.0,-6.5,Serge Ibaka,TOR,False,True,
valanjo01,22.05,0.817,0.667,0.0,1.667,10.1,33.1,22.0,11.4,0.0,0.0,8.8,21.6,167.0,107.0,9.2,Jonas Valančiūnas,TOR,False,True,
powelno01,21.516666666666666,0.5,0.5,0.571,0.0,0.0,4.8,2.5,5.5,0.0,0.0,22.2,17.5,82.0,112.0,-11.2,Norman Powell,TOR,False,True,
poeltja01,20.6,0.625,0.625,0.0,0.0,16.3,25.3,20.9,19.8,0.0,0.0,11.1,18.2,137.0,108.0,4.4,Jakob Poeltl,TOR,False,False,
wrighde01,19.666666666666668,0.857,0.857,0.286,0.0,5.7,5.3,5.5,28.1,0.0,0.0,0.0,14.9,186.0,112.0,11.2,Delon Wright,TOR,False,False,
milescj01,18.05,0.813,0.813,0.75,0.0,0.0,23.1,12.0,7.9,0.0,4.0,0.0,18.5,162.0,105.0,10.7,C.J. Miles,TOR,False,False,
siakapa01,18.033333333333335,0.507,0.5,0.0,0.25,6.2,34.7,20.9,43.9,2.7,4.0,0.0,20.6,141.0,97.0,13.6,Pascal Siakam,TOR,False,False,
vanvlfr01,16.45,1.011,1.0,0.6,0.2,0.0,12.7,6.6,8.3,0.0,0.0,15.5,16.3,157.0,111.0,8.1,Fred VanVleet,TOR,False,False,
millema01,12.0,1.0,1.0,0.75,0.0,9.3,17.4,13.5,0.0,0.0,0.0,20.0,17.4,139.0,110.0,7.6,Malcolm Miller,TOR,False,False,
hayesni01,5.35,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,23.4,99.0,114.0,22.2,Nigel Hayes,TOR,False,False,
noguelu01,5.35,,,,,0.0,19.5,10.1,19.1,0.0,0.0,,0.0,234.0,110.0,4.9,Lucas Nogueira,TOR,False,False,
hardati02,37.53333333333333,0.584,0.471,0.412,0.588,0.0,11.9,5.7,8.2,0.0,0.0,0.0,25.2,125.0,139.0,-1.1,Tim Hardaway,NYK,True,True,
kornelu01,33.75,0.567,0.567,0.467,0.133,12.4,0.0,6.4,9.5,0.0,2.5,5.9,22.1,118.0,142.0,-0.6,Luke Kornet,NYK,True,True,
ntilila01,31.616666666666667,0.468,0.4,0.1,0.4,3.3,3.5,3.4,8.9,1.5,0.0,7.8,17.8,98.0,138.0,-7.6,Frank Ntilikina,NYK,True,True,
mudiaem01,30.466666666666665,0.5,0.5,0.154,0.0,3.4,7.3,5.3,25.8,3.2,0.0,7.1,20.3,107.0,133.0,-1.6,Emmanuel Mudiay,NYK,True,True,
beaslmi01,29.5,0.635,0.571,0.0,0.286,3.5,37.8,20.1,4.9,0.0,0.0,20.2,14.8,106.0,131.0,-8.1,Michael Beasley,NYK,True,True,
oquinky01,21.766666666666666,0.405,0.333,0.111,0.222,0.0,35.9,17.3,33.0,0.0,11.4,16.8,24.1,85.0,124.0,2.1,Kyle O'Quinn,NYK,True,False,
leeco01,19.9,1.25,1.25,0.5,0.0,0.0,5.6,2.7,0.0,4.9,0.0,0.0,4.4,250.0,130.0,3.4,Courtney Lee,NYK,True,False,
burketr01,14.833333333333334,0.556,0.556,0.0,0.0,0.0,7.5,3.6,40.8,0.0,0.0,10.0,29.8,107.0,141.0,-3.0,Trey Burke,NYK,True,False,
hicksis01,10.983333333333333,0.387,0.333,0.0,0.667,9.5,10.2,9.8,0.0,0.0,0.0,34.0,23.7,61.0,140.0,-21.5,Isaiah Hicks,NYK,True,False,
willitr02,6.416666666666667,0.521,0.5,0.5,1.0,0.0,34.8,16.8,23.0,15.2,0.0,0.0,19.8,118.0,96.0,19.1,Troy Williams,NYK,True,False,
dotsoda01,3.2333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,143.0,-21.7,Damyean Dotson,NYK,True,False,
kanteen01,,,,,,,,,,,,,,,,,Enes Kanter,NYK,True,False,Did Not Dress
jackja01,,,,,,,,,,,,,,,,,Jarrett Jack,NYK,True,False,Did Not Play
