player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter
millspa02,25.85,0.786,0.786,0.857,0.0,0.0,15.1,6.4,35.3,5.7,0.0,22.2,15.3,125.0,111.0,9.6,Patty Mills,SAS,False,True
greenda02,23.966666666666665,0.667,0.667,0.833,0.0,0.0,5.4,2.3,6.1,0.0,3.3,14.3,12.8,105.0,123.0,-3.6,Danny Green,SAS,False,True
murrade01,23.283333333333335,0.375,0.375,0.0,0.0,4.1,11.1,7.1,25.1,0.0,3.4,11.1,16.9,90.0,122.0,-6.0,Dejounte Murray,SAS,False,True
anderky01,18.716666666666665,0.717,0.75,0.0,0.5,5.1,13.9,8.8,16.4,2.6,4.2,0.0,11.4,154.0,115.0,5.0,Kyle Anderson,SAS,False,True
aldrila01,17.516666666666666,0.752,0.667,0.0,1.0,5.5,22.2,12.6,19.5,0.0,4.5,10.4,24.1,142.0,119.0,8.4,LaMarcus Aldridge,SAS,False,True
bertada01,19.216666666666665,0.444,0.444,0.667,0.0,0.0,6.8,2.9,0.0,2.6,4.1,0.0,20.5,86.0,116.0,-5.4,Dāvis Bertāns,SAS,False,False
parketo01,18.1,0.451,0.417,0.167,0.667,0.0,14.3,6.1,23.6,2.7,0.0,0.0,18.8,107.0,118.0,-2.1,Tony Parker,SAS,False,False
gasolpa01,18.083333333333332,0.442,0.4,0.1,0.3,15.9,21.5,18.3,9.4,0.0,0.0,0.0,27.4,106.0,122.0,-4.2,Pau Gasol,SAS,False,False
forbebr01,18.016666666666666,0.595,0.5,0.143,1.0,0.0,21.6,9.2,51.6,0.0,0.0,0.0,24.5,140.0,122.0,10.2,Bryn Forbes,SAS,False,False
lauvejo01,16.133333333333333,0.571,0.571,0.0,0.286,11.9,24.1,17.1,0.0,0.0,0.0,11.3,24.1,104.0,122.0,-6.3,Joffrey Lauvergne,SAS,False,False
gayru01,15.666666666666666,0.429,0.375,0.25,0.375,12.3,24.8,17.6,20.6,3.1,0.0,0.0,26.1,107.0,115.0,0.5,Rudy Gay,SAS,False,False
paulbr01,14.266666666666667,0.296,0.4,0.2,0.8,0.0,9.1,3.9,10.4,0.0,0.0,12.9,23.8,54.0,125.0,-19.5,Brandon Paul,SAS,False,False
ginobma01,11.183333333333334,0.307,0.375,0.5,0.5,0.0,0.0,0.0,12.4,0.0,0.0,17.0,23.0,56.0,127.0,-17.3,Manu Ginóbili,SAS,False,False
bealbr01,27.65,0.438,0.438,0.5,0.0,0.0,10.4,6.0,25.5,1.8,2.8,27.3,17.5,88.0,109.0,-2.8,Bradley Beal,WAS,True,True
satorto01,24.166666666666668,0.583,0.583,0.167,0.0,5.4,27.8,18.3,19.8,0.0,3.2,33.3,16.4,96.0,106.0,-4.0,Tomáš Satoranský,WAS,True,True
gortama01,23.616666666666667,0.581,0.556,0.0,0.333,16.5,20.3,18.7,5.7,0.0,3.3,0.0,19.3,135.0,109.0,1.2,Marcin Gortat,WAS,True,True
porteot01,23.016666666666666,1.0,1.0,0.286,0.0,0.0,8.3,4.8,18.7,4.3,6.7,0.0,13.4,198.0,101.0,22.0,Otto Porter,WAS,True,True
morrima02,16.666666666666668,1.071,1.071,0.143,0.0,0.0,11.5,6.6,11.1,3.0,0.0,30.0,26.4,116.0,106.0,7.6,Markieff Morris,WAS,True,True
oubreke01,28.033333333333335,0.558,0.444,0.444,0.444,9.3,24.0,17.7,17.5,0.0,2.8,0.0,16.9,141.0,107.0,1.8,Kelly Oubre,WAS,True,False
sessira01,23.833333333333332,0.694,0.667,0.5,1.0,0.0,12.1,6.9,30.2,0.0,0.0,31.6,23.4,109.0,113.0,-3.7,Ramon Sessions,WAS,True,False
scottmi01,21.466666666666665,0.458,0.458,0.25,0.0,6.0,26.8,18.0,25.7,0.0,0.0,14.3,28.7,96.0,109.0,-5.4,Mike Scott,WAS,True,False
mahinia01,21.2,0.571,0.571,0.0,0.0,18.4,9.1,13.0,12.3,2.3,3.7,12.5,16.6,123.0,105.0,-1.0,Ian Mahinmi,WAS,True,False
meeksjo01,20.35,0.568,0.545,0.455,0.091,0.0,9.4,5.4,13.8,0.0,0.0,0.0,24.8,123.0,115.0,0.9,Jodie Meeks,WAS,True,False
smithja02,6.5,0.515,0.333,0.333,0.667,0.0,14.8,8.5,0.0,0.0,0.0,0.0,26.3,117.0,114.0,-6.4,Jason Smith,WAS,True,False
fraziti01,3.5,0.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,123.0,115.0,-12.5,Tim Frazier,WAS,True,False
