player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter,note
roziete01,32.63333333333333,0.291,0.208,0.583,0.333,0.0,14.4,6.2,29.4,0.0,0.0,6.8,18.9,80.0,120.0,-8.8,Terry Rozier,BOS,False,True,
brownja02,31.983333333333334,0.654,0.611,0.556,0.333,0.0,3.7,1.6,14.3,3.0,0.0,12.7,30.9,113.0,116.0,8.0,Jaylen Brown,BOS,False,True,
horfoal01,31.633333333333333,0.425,0.3,0.3,0.4,14.0,33.3,22.4,16.0,1.5,0.0,14.5,18.2,101.0,112.0,-2.3,Al Horford,BOS,False,True,
tatumja01,25.833333333333332,0.455,0.364,0.273,0.455,0.0,13.6,5.9,13.5,7.4,0.0,13.2,24.6,89.0,103.0,1.9,Jayson Tatum,BOS,False,True,
baynear01,20.766666666666666,0.357,0.357,0.286,0.0,17.1,11.3,14.6,0.0,4.6,4.4,12.5,16.1,87.0,107.0,-5.8,Aron Baynes,BOS,False,True,
morrima03,23.383333333333333,0.276,0.2,0.4,0.2,0.0,15.0,6.5,7.1,0.0,0.0,15.5,23.0,55.0,120.0,-16.2,Marcus Morris,BOS,False,False,
ojelese01,22.1,0.625,0.625,0.5,0.0,4.0,5.3,4.6,0.0,0.0,0.0,42.9,13.2,67.0,122.0,-11.7,Semi Ojeleye,BOS,False,False,
larkish01,20.916666666666668,0.333,0.333,0.0,0.0,0.0,11.2,4.8,14.9,6.9,0.0,0.0,6.0,98.0,105.0,-0.3,Shane Larkin,BOS,False,False,
monrogr01,18.816666666666666,0.683,0.667,0.0,0.5,9.4,24.9,16.1,22.4,5.1,0.0,21.5,20.7,116.0,105.0,2.4,Greg Monroe,BOS,False,False,
gibsojo01,2.9833333333333334,1.25,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,250.0,123.0,37.1,Jonathan Gibson,BOS,False,False,
birdja01,2.9833333333333334,1.5,1.5,1.0,0.0,0.0,0.0,0.0,95.1,0.0,0.0,0.0,14.0,285.0,124.0,38.8,Jabari Bird,BOS,False,False,
allenka01,2.9833333333333334,0.904,1.0,0.0,1.5,29.8,78.5,50.8,100.0,0.0,0.0,0.0,46.5,199.0,105.0,78.9,Kadeem Allen,BOS,False,False,
naderab01,2.9833333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,200.0,124.0,7.2,Abdel Nader,BOS,False,False,
bealbr01,38.0,0.535,0.469,0.438,0.25,3.1,7.0,5.3,15.1,0.0,0.0,10.1,22.3,110.0,109.0,-3.6,Bradley Beal,WAS,True,True,
walljo01,36.416666666666664,0.726,0.688,0.313,0.563,0.0,17.1,9.7,54.3,4.0,7.3,26.0,31.8,120.0,91.0,14.6,John Wall,WAS,True,True,
morrima02,26.9,0.472,0.417,0.667,0.333,0.0,13.2,7.5,10.5,0.0,0.0,12.7,25.2,91.0,106.0,-7.7,Markieff Morris,WAS,True,True,
gortama01,21.3,0.333,0.333,0.0,0.0,0.0,20.9,11.9,0.0,2.3,0.0,0.0,12.1,70.0,98.0,-6.5,Marcin Gortat,WAS,True,True,
porteot01,18.333333333333332,0.75,0.75,0.25,0.0,12.8,14.5,13.8,18.8,2.6,0.0,20.0,23.4,119.0,99.0,6.9,Otto Porter,WAS,True,True,
oubreke01,29.133333333333333,0.688,0.688,0.5,0.0,0.0,15.3,8.7,9.6,3.3,0.0,20.0,14.7,105.0,98.0,3.0,Kelly Oubre,WAS,True,False,
scottmi01,23.533333333333335,0.667,0.667,0.222,0.0,24.9,11.3,17.2,21.3,0.0,0.0,18.2,20.1,128.0,107.0,2.9,Mike Scott,WAS,True,False,
mahinia01,20.966666666666665,0.387,0.333,0.0,0.667,5.6,29.7,19.3,0.0,0.0,0.0,34.0,12.0,61.0,99.0,-10.3,Ian Mahinmi,WAS,True,False,
satorto01,20.466666666666665,0.875,0.875,0.5,0.0,5.7,17.4,12.3,34.5,2.3,0.0,20.0,10.5,159.0,99.0,8.9,Tomáš Satoranský,WAS,True,False,
fraziti01,1.65,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,112.0,-7.8,Tim Frazier,WAS,True,False,
smithja02,1.65,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,112.0,-4.4,Jason Smith,WAS,True,False,
sessira01,1.65,1.042,1.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.5,221.0,112.0,66.1,Ramon Sessions,WAS,True,False,
meeksjo01,,,,,,,,,,,,,,,,,Jodie Meeks,WAS,True,False,Did Not Play
