player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter
butleji01,35.93333333333333,0.644,0.577,0.154,0.308,0.0,2.7,1.5,4.0,4.1,0.0,0.0,18.4,133.0,100.0,2.9,Jimmy Butler,PHI,False,True
embiijo01,32.55,0.613,0.588,0.353,0.235,7.2,38.3,24.3,29.8,0.0,14.5,17.6,31.4,112.0,87.0,9.6,Joel Embiid,PHI,False,True
redicjj01,31.716666666666665,0.932,0.917,0.75,0.167,0.0,15.1,8.3,4.9,0.0,0.0,0.0,18.2,174.0,104.0,12.5,J.J. Redick,PHI,False,True
simmobe01,31.216666666666665,0.468,0.462,0.0,0.154,22.5,24.6,23.7,54.6,4.7,3.0,33.5,30.0,100.0,88.0,8.0,Ben Simmons,PHI,False,True
chandwi01,19.316666666666666,0.167,0.167,0.667,0.0,0.0,9.9,5.5,12.3,0.0,0.0,14.3,16.3,49.0,106.0,-14.5,Wilson Chandler,PHI,False,True
mccontj01,22.8,0.714,0.714,0.143,0.0,0.0,8.4,4.6,45.4,0.0,0.0,12.5,15.8,145.0,106.0,3.2,T.J. McConnell,PHI,False,False
muscami01,21.05,0.68,0.6,1.0,0.4,0.0,13.7,7.5,11.9,0.0,0.0,0.0,12.5,148.0,105.0,5.0,Mike Muscala,PHI,False,False
korkmfu01,15.716666666666667,0.515,0.5,0.667,0.667,0.0,12.2,6.7,0.0,3.1,0.0,0.0,11.1,105.0,99.0,-0.4,Furkan Korkmaz,PHI,False,False
boldejo01,13.216666666666667,0.667,0.667,0.333,0.0,0.0,7.3,4.0,0.0,0.0,7.1,0.0,10.2,127.0,102.0,-5.1,Jonah Bolden,PHI,False,False
shamela01,12.55,0.509,0.417,0.667,0.333,9.3,7.6,8.4,0.0,0.0,0.0,0.0,24.6,114.0,107.0,-4.5,Landry Shamet,PHI,False,False
jacksde01,1.9666666666666668,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,110.0,-29.3,Demetrius Jackson,PHI,False,False
johnsam01,1.9666666666666668,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,110.0,-6.7,Amir Johnson,PHI,False,False
goberru01,36.36666666666667,0.679,0.556,0.0,0.889,13.2,32.2,21.8,25.0,2.7,0.0,19.3,18.0,130.0,113.0,8.2,Rudy Gobert,UTA,True,True
mitchdo01,33.35,0.575,0.575,0.5,0.0,2.9,10.5,6.3,23.2,4.4,0.0,16.7,30.3,98.0,114.0,4.7,Donovan Mitchell,UTA,True,True
rubiori01,29.9,0.23,0.15,0.4,0.2,3.2,15.7,8.8,20.5,0.0,0.0,15.5,18.2,63.0,123.0,-12.4,Ricky Rubio,UTA,True,True
inglejo01,29.35,0.349,0.375,0.25,0.167,0.0,4.0,1.8,18.5,3.3,0.0,7.2,19.9,77.0,117.0,-4.9,Joe Ingles,UTA,True,True
favorde01,18.85,0.42,0.333,0.667,1.333,5.1,37.3,19.6,8.4,0.0,5.0,29.6,15.1,73.0,114.0,-8.9,Derrick Favors,UTA,True,True
exumda01,21.466666666666665,0.617,0.536,0.357,0.357,13.4,5.5,9.8,22.8,2.3,0.0,5.8,33.8,129.0,120.0,15.3,Dante Exum,UTA,True,False
korveky01,20.483333333333334,0.468,0.4,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,101.0,126.0,-4.8,Kyle Korver,UTA,True,False
crowdja01,18.066666666666666,0.41,0.375,0.75,0.5,0.0,13.0,5.8,0.0,2.7,0.0,17.0,13.7,70.0,117.0,-5.1,Jae Crowder,UTA,True,False
sefolth01,17.9,0.5,0.5,0.0,0.0,0.0,13.1,5.9,8.8,5.5,0.0,0.0,4.7,119.0,111.0,3.2,Thabo Sefolosha,UTA,True,False
onealro01,7.483333333333333,,,,,0.0,15.6,7.0,0.0,0.0,0.0,100.0,5.6,0.0,123.0,-14.9,Royce O'Neale,UTA,True,False
udohek01,2.85,1.0,1.0,0.0,0.0,0.0,41.1,18.5,0.0,0.0,0.0,50.0,29.6,64.0,117.0,-3.9,Ekpe Udoh,UTA,True,False
niangge01,1.9666666666666668,0.0,0.0,1.0,0.0,48.8,0.0,26.8,0.0,0.0,0.0,0.0,21.4,57.0,126.0,-25.5,Georges Niang,UTA,True,False
netora01,1.9666666666666668,,,,,0.0,59.5,26.8,0.0,0.0,0.0,,0.0,0.0,113.0,-6.9,Raul Neto,UTA,True,False
