player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter,note
barneha02,29.333333333333332,1.052,1.045,0.818,0.182,0.0,14.9,8.6,9.1,1.5,0.0,14.4,19.8,150.0,110.0,16.0,Harrison Barnes,DAL,False,True,
matthwe02,24.133333333333333,0.354,0.278,0.667,0.222,0.0,10.8,6.3,0.0,3.6,2.5,16.8,20.6,59.0,104.0,-7.0,Wesley Matthews,DAL,False,True,
jordade01,23.55,0.5,0.5,0.0,0.0,5.1,33.4,21.5,7.0,0.0,0.0,75.0,14.2,36.0,108.0,-13.0,DeAndre Jordan,DAL,False,True,
doncilu01,22.533333333333335,0.672,0.55,0.6,0.6,5.3,19.4,13.5,28.4,1.9,0.0,28.3,32.7,102.0,108.0,5.0,Luka Dončić,DAL,False,True,
smithde03,20.916666666666668,0.644,0.667,0.5,0.667,0.0,4.2,2.4,28.5,0.0,0.0,20.5,19.5,107.0,115.0,-2.5,Dennis Smith,DAL,False,True,
finnedo01,23.866666666666667,0.446,0.333,0.111,0.556,15.1,18.3,16.9,8.1,1.8,0.0,0.0,19.6,108.0,108.0,0.0,Dorian Finney-Smith,DAL,False,False,
bareajo01,20.933333333333334,0.282,0.125,0.625,0.75,0.0,12.5,7.2,63.9,2.1,0.0,15.8,25.2,82.0,109.0,-4.3,J.J. Barea,DAL,False,False,
klebima01,18.666666666666668,0.266,0.0,1.0,2.0,0.0,28.1,16.2,0.0,0.0,0.0,34.7,6.4,36.0,110.0,-6.4,Maxi Kleber,DAL,False,False,
harride01,15.8,0.434,0.25,0.75,1.0,0.0,11.0,6.4,10.9,0.0,0.0,25.8,20.5,73.0,113.0,-12.1,Devin Harris,DAL,False,False,
poweldw01,15.5,0.798,1.0,0.0,2.0,0.0,16.9,9.8,0.0,0.0,7.8,61.5,13.1,49.0,104.0,-11.2,Dwight Powell,DAL,False,False,
brunsja01,9.666666666666666,0.25,0.25,0.0,0.0,0.0,0.0,0.0,57.2,0.0,0.0,20.0,21.6,71.0,116.0,-11.4,Jalen Brunson,DAL,False,False,
mejrisa01,8.95,1.0,1.0,0.0,0.0,0.0,9.8,5.6,0.0,4.8,0.0,0.0,18.7,200.0,104.0,18.3,Salah Mejri,DAL,False,False,
broekry01,6.15,0.551,0.5,0.8,0.2,0.0,14.2,8.2,0.0,0.0,0.0,0.0,36.9,104.0,113.0,3.7,Ryan Broekhoff,DAL,False,False,
westbru01,34.516666666666666,0.601,0.542,0.042,0.25,0.0,38.2,16.1,54.8,5.0,0.0,15.8,34.3,113.0,84.0,15.2,Russell Westbrook,OKC,True,True,
adamsst01,33.06666666666667,0.521,0.625,0.0,1.0,15.8,25.4,19.9,15.0,1.3,0.0,8.0,14.2,120.0,95.0,4.0,Steven Adams,OKC,True,True,
georgpa01,32.75,0.457,0.381,0.286,0.333,5.3,7.3,6.2,4.1,5.3,0.0,0.0,27.5,103.0,88.0,4.3,Paul George,OKC,True,True,
grantje01,27.833333333333332,0.649,0.591,0.364,0.273,0.0,17.2,7.3,0.0,4.6,4.8,0.0,16.5,133.0,85.0,9.4,Jerami Grant,OKC,True,True,
fergute01,24.933333333333334,0.363,0.333,0.333,0.333,0.0,4.8,2.0,4.6,1.7,5.3,12.7,11.8,71.0,93.0,-5.9,Terrance Ferguson,OKC,True,True,
schrode01,27.25,0.208,0.214,0.286,0.071,0.0,8.8,3.7,13.0,0.0,0.0,12.2,22.6,48.0,100.0,-15.4,Dennis Schröder,OKC,True,False,
pattepa01,18.166666666666668,0.375,0.375,0.75,0.0,0.0,19.8,8.3,6.1,0.0,0.0,0.0,8.2,88.0,99.0,-2.5,Patrick Patterson,OKC,True,False,
noelne01,14.933333333333334,0.778,0.714,0.0,0.857,11.7,24.1,16.9,0.0,0.0,8.9,0.0,24.1,164.0,93.0,12.6,Nerlens Noel,OKC,True,False,
diallha01,13.916666666666666,0.174,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,10.4,28.0,101.0,-14.1,Hamidou Diallo,OKC,True,False,
naderab01,12.633333333333333,0.833,0.833,0.5,0.0,6.9,19.0,12.0,12.3,0.0,0.0,0.0,17.8,166.0,98.0,11.7,Abdel Nader,OKC,True,False,
luwawti01,,,,,,,,,,,,,,,,,Timothé Luwawu-Cabarrot,OKC,True,False,Did Not Play
feltora01,,,,,,,,,,,,,,,,,Raymond Felton,OKC,True,False,Did Not Play
grantdo01,,,,,,,,,,,,,,,,,Donte Grantham,OKC,True,False,Did Not Play
