player_id,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,player_name,team_id,is_home,is_starter
zelleco01,29.683333333333334,0.514,0.4,0.1,0.6,11.8,12.1,11.9,18.3,3.3,0.0,0.0,18.0,125.0,128.0,3.1,Cody Zeller,CHO,False,True
walkeke02,27.666666666666668,0.235,0.2,0.35,0.15,0.0,8.7,3.7,20.0,3.6,0.0,0.0,32.6,59.0,129.0,-10.1,Kemba Walker,CHO,False,True
batumni01,25.466666666666665,0.514,0.429,0.286,0.571,3.4,28.3,13.9,13.8,1.9,3.6,25.5,19.5,85.0,126.0,-5.8,Nicolas Batum,CHO,False,True
willima02,22.383333333333333,0.357,0.357,0.429,0.0,7.8,32.2,18.1,0.0,0.0,0.0,0.0,13.2,88.0,133.0,-9.3,Marvin Williams,CHO,False,True
lambje01,17.8,0.643,0.65,0.2,0.2,9.8,13.5,11.4,32.1,0.0,0.0,8.4,28.2,121.0,136.0,7.3,Jeremy Lamb,CHO,False,True
monkma01,24.5,0.469,0.469,0.438,0.0,3.6,14.7,8.2,20.3,0.0,0.0,0.0,27.6,101.0,136.0,-1.5,Malik Monk,CHO,False,False
bridgmi02,21.7,0.5,0.5,0.167,0.0,4.0,5.5,4.7,0.0,0.0,4.2,25.0,15.6,76.0,134.0,-11.7,Miles Bridges,CHO,False,False
grahade01,21.633333333333333,0.2,0.2,0.8,0.0,0.0,11.1,4.7,28.8,0.0,8.4,16.7,11.7,59.0,130.0,-7.1,Devonte' Graham,CHO,False,False
kiddgmi01,13.633333333333333,0.0,0.0,0.5,0.0,6.4,8.8,7.4,0.0,0.0,0.0,0.0,6.2,30.0,137.0,-16.6,Michael Kidd-Gilchrist,CHO,False,False
macksh01,11.65,0.417,0.2,0.0,1.0,0.0,20.6,8.7,0.0,4.3,0.0,12.2,29.8,81.0,125.0,-10.2,Shelvin Mack,CHO,False,False
hernawi01,9.85,0.431,0.0,0.0,3.0,8.9,48.7,25.6,14.8,0.0,0.0,0.0,19.9,110.0,130.0,0.6,Willy Hernangómez,CHO,False,False
bacondw01,8.683333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,138.0,-18.6,Dwayne Bacon,CHO,False,False
kaminfr01,5.35,0.833,0.833,0.667,0.0,0.0,0.0,0.0,59.6,0.0,0.0,0.0,23.7,166.0,138.0,19.5,Frank Kaminsky,CHO,False,False
gordoaa01,31.566666666666666,0.287,0.265,0.353,0.059,7.6,24.9,17.6,14.5,1.6,0.0,10.3,27.6,75.0,89.0,-13.2,Aaron Gordon,ORL,True,True
fournev01,27.283333333333335,0.466,0.458,0.5,0.167,4.4,6.4,5.6,26.9,3.6,0.0,0.0,21.2,120.0,92.0,0.5,Evan Fournier,ORL,True,True
isaacjo01,26.7,0.81,0.778,0.444,0.222,9.0,13.1,11.4,0.0,1.9,2.9,9.2,18.3,146.0,92.0,6.1,Jonathan Isaac,ORL,True,True
vucevni01,25.616666666666667,0.594,0.577,0.154,0.231,9.4,30.7,21.7,21.5,1.9,3.0,12.3,28.6,118.0,84.0,5.9,Nikola Vučević,ORL,True,True
augusdj01,21.866666666666667,0.8,0.8,0.6,0.0,0.0,4.0,2.3,37.1,0.0,3.5,0.0,10.3,183.0,99.0,10.1,D.J. Augustin,ORL,True,True
briscis01,26.133333333333333,0.6,0.6,0.4,0.0,0.0,26.7,15.5,20.7,0.0,0.0,16.7,10.3,126.0,91.0,-1.4,Isaiah Briscoe,ORL,True,False
rosste01,21.816666666666666,0.643,0.633,0.533,0.2,0.0,4.0,2.3,14.5,0.0,3.5,0.0,33.6,129.0,99.0,8.0,Terrence Ross,ORL,True,False
iwundwe01,20.583333333333332,1.185,1.5,1.0,3.0,0.0,12.7,7.4,5.4,0.0,3.7,17.7,12.3,181.0,95.0,10.4,Wesley Iwundu,ORL,True,False
birchkh01,17.033333333333335,1.0,1.0,0.0,0.0,7.0,15.4,11.9,7.7,0.0,4.5,0.0,10.5,208.0,93.0,7.7,Khem Birch,ORL,True,False
frazime01,5.35,0.667,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,123.0,103.0,-2.0,Melvin Frazier,ORL,True,False
martija01,5.35,1.0,1.0,1.0,0.0,0.0,16.3,9.4,29.9,0.0,0.0,0.0,25.2,186.0,96.0,31.8,Jarell Martin,ORL,True,False
jeffeam01,5.35,1.0,1.0,0.0,0.0,0.0,16.3,9.4,0.0,0.0,0.0,0.0,8.4,200.0,96.0,1.4,Amile Jefferson,ORL,True,False
grantje02,5.35,0.872,0.833,0.667,0.333,0.0,0.0,0.0,29.9,9.3,0.0,0.0,28.9,176.0,84.0,31.7,Jerian Grant,ORL,True,False
